wf_window,train_start,train_end,test_start,test_end,selected_strategy,selected_k,objective,train_objective_value,train_months,train_net_nav,train_cagr_net,train_sharpe_net,train_maxdd_net,test_months,test_net_nav,test_cagr_net,test_sharpe_net,test_maxdd_net
0,2016-02-29,2019-01-31,2019-02-28,2020-01-31,B_growth_plus_quality,20,sharpe_net,0.5667653481768403,36,1.331500833943455,0.10013795348154031,0.5667653481768403,-0.20612908928869056,12,0.9546025383593378,-0.04539746164066216,-0.1280113992007175,-0.15974105760234714
1,2017-02-28,2020-01-31,2020-02-29,2021-01-31,B_growth_plus_quality,20,sharpe_net,0.4675024404778961,36,1.2579157145170499,0.07948641404778245,0.4675024404778961,-0.24955600630364017,12,1.6712088648814416,0.6712088648814416,2.2837451515117473,-0.0666651647341
2,2018-02-28,2021-01-31,2021-02-28,2022-01-31,B_growth_plus_quality,15,sharpe_net,0.6337920692135202,36,1.4090560134700194,0.12109586974582176,0.6337920692135202,-0.25493295045675735,12,1.1765585525225475,0.17655855252254748,0.8807529482754017,-0.11239926307489467
3,2019-02-28,2022-01-31,2022-02-28,2023-01-31,D_quality_filter_debt_profitaccel,15,sharpe_net,1.237710456449558,36,2.6470821616500904,0.3833194196407197,1.237710456449558,-0.35039524607816164,12,1.011027887205205,0.011027887205204978,0.17952662435442715,-0.1970932111619853
4,2020-02-29,2023-01-31,2023-02-28,2024-01-31,D_quality_filter_debt_profitaccel,15,sharpe_net,1.4430691012434511,36,3.1556408175712756,0.4667716985986363,1.4430691012434511,-0.19709321116198542,12,1.2627996426809107,0.2627996426809107,1.2037287971159938,-0.1666232165171314
5,2021-02-28,2024-01-31,2024-02-29,2025-01-31,B_growth_plus_quality,10,sharpe_net,1.1853394607355945,36,2.5662569463947373,0.369094353478882,1.1853394607355945,-0.2373360358355776,12,2.152673934185868,1.1526739341858678,2.6431057589178395,-0.11976329071823344
6,2022-02-28,2025-01-31,2025-02-28,2026-01-31,B_growth_plus_quality,10,sharpe_net,1.6456678797194182,36,4.371027344416423,0.6350379644245938,1.6456678797194182,-0.2367622641852335,12,2.5624150319432815,1.5624150319432815,2.743221354551704,-0.10313713659593227
