factor,months,valid_months,mean_ic_pearson,mean_ic_spearman,median_ic_spearman,std_ic_spearman
OpIncome_acc2,40,28,0.020329099882027347,0.021527598426644867,0.01415994750089882,0.06471081849953757
Revenue_acc2,40,28,0.007045698752121554,0.007653344340694722,0.0025145364972462827,0.08747807418208545
OpIncome_ttm_yoy,40,32,0.01064993507253751,0.004508857216488616,0.006906194344629446,0.08180606821626044
Debt_to_Equity_log,40,39,-0.006530655299790851,0.0014099322746639153,0.001640004459441828,0.10961549468105475
Quality_CFO_to_Assets,40,21,0.004789773650877053,-0.0004959128642562054,-0.010527506426291224,0.06864595450435365
Revenue_ttm_yoy,40,32,0.007657066720288581,-0.026729586795867333,-0.037218882333382136,0.10853556682375565
