ticker,name,corp_code,year,quarter,quarter_key,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,mcap,traded_value,industry4,rebalance_month,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,selected_topk
042520,한스바이오메드,00349060,2025,4,202504,126407117302.0,33886510129.0,92520607173.0,2.730307925507533,1.3164907840037212,67745961528.0,0.12305422094793572,0.11033166298595853,-25931354125.0,913.6507234287205,914.6440940967984,-28642191436.0,2.6873062758463355,3.3567083460088596,1205792797.0,-2.6107765869491315,-2.400588909301879,448853038.0,-0.3545735413837864,-1.1348179983492486,126407117302.0,0.009538962858548805,0.0035508525752362703,0,0,1205792797.0,0.009538962858548805,578928507600.0,5899290600.0,213,2026-03-31,True,passed,213,0.0,0.0,4.0,2025.0,00349060,8.249315291967747,8.249315291967747,1.0,914.6440940967984,8.581153965047863,1.0,1.0,8.581153965047863,0.11033166298595853,0.06703757302060274,21.0,1.0,0.016759393255150686,1.3164907840037212,0.9199012950221764,13.0,1.0,-0.3219654532577617,0.009538962858548805,-0.26632613077504397,56.0,1.0,-0.026632613077504398,0.0,0.0,1.0,1.0,-0.0,1
322000,HD현대에너지솔루션,01199550,2025,4,202504,530430417283.0,417784216586.0,112646200697.0,0.26962770785720197,0.23872371407604293,371610970361.0,0.15504644157424452,0.36102654694538605,26547885709.0,330.35938550168385,331.35215204500884,29705468294.0,-48.68470480595912,-47.762016226342965,-6212074189.0,-1.1792679042882137,-0.8961128016831201,1056098140.0,-0.7767304559426826,-0.8832676545341498,530430417283.0,-0.011711383786811906,0.001991021075694724,0,0,-6212074189.0,-0.011711383786811906,911680000000.0,231786703500.0,2612,2026-03-31,True,passed,2612,0.0,0.0,4.0,2025.0,01199550,3.350396249461218,3.350396249461218,2.0,331.35215204500884,3.0096846626643843,2.0,1.0,3.0096846626643843,0.36102654694538605,0.38854035068091486,10.0,1.0,0.09713508767022871,0.23872371407604293,-0.9685420145299838,75.0,1.0,0.3389897050854943,-0.011711383786811906,-0.9541320595888928,76.0,1.0,-0.09541320595888929,0.0,0.0,1.0,1.0,-0.0,1
095610,테스,00524421,2025,4,202504,487468886334.0,391753766498.0,95715119836.0,0.24432469582009406,0.21859296976161705,283547331902.0,0.4979921778457592,-0.08953404920000563,49421972958.0,0.43623734753681864,67.84288655189508,44817128622.0,0.11587494077453853,-6.021556660924148,16902311278.0,0.49347007222799144,2.712255125568911,62513702290.0,-3.620737702929877,1.61905442341408,487468886334.0,0.03467362072093153,0.12824142020659626,0,0,16902311278.0,0.03467362072093153,1306679738600.0,21480696200.0,29271,2026-03-31,True,passed,29271,0.0,0.0,4.0,2025.0,00524421,0.8514408280291123,0.8514408280291123,3.0,67.84288655189508,0.4927052947955445,3.0,1.0,0.4927052947955445,-0.08953404920000563,-0.18927951096601497,64.0,1.0,-0.047319877741503744,0.21859296976161705,-1.0038147283450698,78.0,1.0,0.3513351549207744,0.03467362072093153,0.5472025605429707,20.0,1.0,0.05472025605429707,0.0,0.0,1.0,1.0,-0.0,1
000370,한화손해보험,00135917,2025,4,202504,20492834690000.0,2707580443000.0,17785254247000.0,6.568689138297192,2.02401988710407,829575512000.0,-0.0537363199790325,5.460538639155049,365734123000.0,0.1608050385041624,-0.07946089775134535,256627771000.0,0.11112273829539054,-0.19455051012026692,-142481814000.0,-1.205841899799479,-1.391563355385668,11033001000.0,-0.41720420196326025,-0.6027974944023329,20492834690000.0,-0.006952762570691483,0.0005383833504197364,0,0,-142481814000.0,-0.006952762570691483,882546197400.0,2367103640.0,65121,2026-03-31,True,passed,65121,0.0,0.0,4.0,2025.0,00135917,0.7401464790144461,0.7401464790144461,4.0,-0.07946089775134535,-0.15607320955062015,53.0,1.0,-0.15607320955062015,5.460538639155049,6.928391808611322,1.0,1.0,1.7320979521528306,2.02401988710407,2.159620561220348,6.0,1.0,-0.7558671964271217,-0.006952762570691483,-0.8001106716064269,74.0,1.0,-0.0800110671606427,0.0,0.0,1.0,1.0,-0.0,1
298380,에이비엘바이오,01256864,2025,4,202504,280934191003.0,156697416161.0,124236774842.0,0.7928450761073937,0.5838037860418026,77906720026.0,2.0592655937064293,2.6123110693487375,-17981218588.0,-0.5976181534134928,17.741805684422815,-16578264048.0,-0.6088324276071618,29.364269320113777,-23624991896.0,0.5186080601824221,0.621631681099445,,,,280934191003.0,-0.08409439880440796,,0,0,-23624991896.0,-0.08409439880440796,8903190104800.0,125475900000.0,211,2026-03-31,True,passed,211,0.0,0.0,4.0,2025.0,01256864,0.630745246778098,0.630745246778098,5.0,17.741805684422815,0.014151394175107294,5.0,1.0,0.014151394175107294,2.6123110693487375,3.275692317346041,2.0,1.0,0.8189230793365102,0.5838037860418026,-0.36389916419011803,50.0,1.0,0.1273647074665413,-0.08409439880440796,-3.2969393420006075,86.0,1.0,-0.32969393420006077,0.0,0.0,1.0,1.0,-0.0,1
100840,SNT에너지,00648721,2025,4,202504,589839322838.0,364744033303.0,225095289535.0,0.6171322050058292,0.48065433668749946,457820946881.0,1.0383075257842291,1.0852600533981915,86996847532.0,4.0971468639461195,4.084069368219204,59509513638.0,0.6099153561241448,-0.9211218438705138,11320364085.0,0.048677353557393666,0.513187619378723,1173402894.0,0.1889469377745545,-0.3462074216847011,589839322838.0,0.01919228448610767,0.001989360235180991,0,0,11320364085.0,0.01919228448610767,980269114200.0,9006441050.0,29176,2026-03-31,True,passed,29176,0.0,0.0,4.0,2025.0,00648721,0.4082632402213108,0.4082632402213108,6.0,4.084069368219204,-0.11630413442024605,12.0,1.0,-0.11630413442024605,1.0852600533981915,1.3173310795612374,3.0,1.0,0.32933276989030935,0.48065433668749946,-0.5446357008243227,55.0,1.0,0.1906224952885129,0.01919228448610767,0.04612109462734601,40.0,1.0,0.004612109462734601,0.0,0.0,1.0,1.0,-0.0,1
041920,메디아나,00273439,2025,4,202504,146835881738.0,135432248814.0,11403632924.0,0.084201754189739,0.08084400580049247,49941574445.0,0.1350387385333769,0.4149844530359782,4370574369.0,1.180374769618802,1.9089062941197898,3000957137.0,-0.5933901542798659,-0.7851238347895226,2383860301.0,-0.19804440461810813,0.13651757544230436,107940201.0,-0.6469843092274332,-2.0802977054237335,146835881738.0,0.01623486216573095,0.0007351077932885522,0,0,2383860301.0,0.01623486216573095,479834153400.0,10100181600.0,27112,2026-03-31,True,passed,27112,0.0,0.0,4.0,2025.0,00273439,0.408205269769238,0.408205269769238,7.0,1.9089062941197898,-0.13708078744993415,13.0,1.0,-0.13708078744993415,0.4149844530359782,0.45773847874350104,8.0,1.0,0.11443461968587526,0.08084400580049247,-1.245175887586633,85.0,1.0,0.4358115606553215,0.01623486216573095,-0.04960123122024675,47.0,1.0,-0.004960123122024675,0.0,0.0,1.0,1.0,-0.0,1
003670,포스코퓨처엠,00155276,2025,4,202504,9143896515830.0,4512079082909.0,4631817432921.0,1.0265372897530871,0.7063285679793946,2063899869084.0,-0.2568297131890379,-0.056218451457201724,-33842667016.0,51.35978732913881,51.84458929691228,-9927215216.0,-0.9568625673784168,-12.249109930432835,155108192327.0,0.7752437005178336,1.2540592291175574,294637115074.0,-0.4483743612245983,-0.5535305191676603,9143896515830.0,0.01696303015442872,0.03222227138768702,0,0,155108192327.0,0.01696303015442872,17351761280000.0,302680349600.0,282,2026-03-31,True,passed,282,0.0,0.0,4.0,2025.0,00155276,0.3528762219460445,0.3528762219460445,8.0,51.84458929691228,0.33989327114062406,4.0,1.0,0.33989327114062406,-0.056218451457201724,-0.1465540390913733,59.0,1.0,-0.036638509772843324,0.7063285679793946,-0.14921353205263832,43.0,1.0,0.05222473621842341,0.01696303015442872,-0.026032756401596024,44.0,1.0,-0.002603275640159603,0.0,0.0,1.0,1.0,-0.0,1
302440,SK바이오사이언스,01319899,2025,4,202504,2955743509068.0,2037454202719.0,918289306349.0,0.45070426865228924,0.3720491410360144,500603550983.0,1.4313260040923086,0.9358406316747347,-104130697214.0,0.05376579672839199,-0.3012909048514487,-77255838835.0,1.7789985672879256,1.71281667261069,23664742479.0,-2.827794179495715,-1.6171450245638492,58439475841.0,0.19180142378808318,-2.4810191117278615,2955743509068.0,0.008006358605338501,0.019771497649140414,0,0,23664742479.0,0.008006358605338501,3858604180250.0,4796905300.0,211,2026-03-31,True,passed,211,0.0,0.0,4.0,2025.0,01319899,0.34886801662206823,0.34886801662206823,9.0,-0.3012909048514487,-0.15819207831221876,64.0,1.0,-0.15819207831221876,0.9358406316747347,1.1257086644493934,5.0,1.0,0.28142716611234836,0.3720491410360144,-0.7349316941175793,62.0,1.0,0.25722609294115273,0.008006358605338501,-0.3159316411921412,59.0,1.0,-0.03159316411921412,0.0,0.0,1.0,1.0,-0.0,1
098460,고영,00579999,2025,4,202504,410335212878.0,335165611050.0,75169601828.0,0.2242759977448468,0.20234964702508956,172360832068.0,0.10318014198694492,0.2128991497020375,12646074759.0,3.8130464141012164,4.671794582701394,6302311916.0,-0.7521078642961823,-1.165276745008475,15042890383.0,0.6337339999465961,2.9736964739126908,2717575290.0,-0.18013148599143114,-3.1335365971446834,410335212878.0,0.03666000360410823,0.006622817649354368,0,1,15042890383.0,0.03666000360410823,2131730142750.0,41699274000.0,29271,2026-03-31,True,passed,29271,1.0,0.0,4.0,2025.0,00579999,0.3369397198519973,0.3369397198519973,10.0,4.671794582701394,-0.11069031952815976,10.0,1.0,-0.11069031952815976,0.2128991497020375,0.19857488784747154,14.0,1.0,0.049643721961867886,0.20234964702508956,-1.0322759747521901,80.0,1.0,0.3612965911632665,0.03666000360410823,0.6114954375837108,19.0,0.6,0.036689726255022655,0.0,0.0,1.0,0.6,-0.0,1
