month_end,rebalance_month,ret,turnover,tcost,nav_gross,nav_net
2016-02-29,2016-05-31,-0.034819436344982954,0.0,0.0,0.965180563655017,0.965180563655017
2016-03-31,2016-05-31,0.09872838071845771,0.0,0.0,1.0604712778056054,1.0604712778056054
2016-04-30,2016-05-31,-0.028454597731048203,0.0,0.0,1.0302959941903163,1.0302959941903163
2016-05-31,2016-05-31,0.011458430556971667,1.0,0.003,1.042101569292872,1.0390106813103013
2016-06-30,2016-05-31,0.01087884072662606,0.0,0.0,1.053438426286176,1.0503139130255392
2016-07-31,2016-05-31,0.05118080142680674,0.0,0.0,1.1073542491972965,1.1040698208439117
2016-08-31,2016-08-31,-0.03483442827655917,0.2,0.0006,1.0687801970268902,1.0649477379649046
2016-09-30,2016-08-31,0.0023098430518636373,0.0,0.0,1.071248911538962,1.0674076000980406
2016-10-31,2016-08-31,-0.1060296292359244,0.0,0.0,0.9576647866290984,0.9542307680160375
2016-11-30,2016-11-30,-0.05905538923379125,0.2,0.0006,0.9011095198992213,0.8973057601311811
2016-12-31,2016-11-30,0.0720162501870297,0.0,0.0,0.9660040485301977,0.961926356247051
2017-01-31,2016-11-30,-0.07783621155065006,0.0,0.0,0.8908139530500169,0.8870536528860596
2017-02-28,2016-11-30,0.013242647842162971,0.0,0.0,0.9026106885231434,0.8988005920283341
2017-03-31,2017-03-31,0.0059804566179451285,0.6000000000000001,0.0018000000000000004,0.9080087125887496,0.9025579889114919
2017-04-30,2017-03-31,0.12522221976736725,0.0,0.0,1.0217115791472222,1.0155783037517598
2017-05-31,2017-05-31,0.0954143908629548,0.5,0.0015,1.119197567109182,1.1109557215222392
2017-06-30,2017-05-31,0.10170108412133272,0.0,0.0,1.2330211730301441,1.2239411228118484
2017-07-31,2017-05-31,-0.04883916023719149,0.0,0.0,1.1728014543846752,1.1641648661939525
2017-08-31,2017-08-31,0.008847121833317406,0.6000000000000001,0.0018000000000000004,1.1831773717379084,1.1723688778400891
2017-09-30,2017-08-31,-0.00651904836126832,0.0,0.0,1.1754641812315907,1.1647261484282039
2017-10-31,2017-08-31,-0.011455677378561768,0.0,0.0,1.1619984428013463,1.1513834214374354
2017-11-30,2017-11-30,0.0564450862846527,0.2,0.0006,1.2275875451679004,1.2156825279543277
2017-12-31,2017-11-30,-0.023576663720566094,0.0,0.0,1.1986451264279214,1.1870207898017808
2018-01-31,2017-11-30,0.006846766227957599,0.0,0.0,1.2068519693988542,1.1951480436572792
2018-02-28,2017-11-30,0.0452330614527367,0.0,0.0,1.261441578695029,1.249208248561147
2018-03-31,2018-03-31,-0.000670016123162487,0.39999999999999997,0.0012,1.2605963924988757,1.24687220899515
2018-04-30,2018-03-31,-0.0023584575883853643,0.0,0.0,1.2576233293710954,1.2439315137720985
2018-05-31,2018-05-31,0.061983867711760995,0.49999999999999994,0.0014999999999999998,1.335575687450058,1.3191693028935807
2018-06-30,2018-05-31,-0.03129957874770876,0.0,0.0,1.2937727310471896,1.2778798594161032
2018-07-31,2018-05-31,-0.02744146522595952,0.0,0.0,1.2582697116378636,1.2428129636909822
2018-08-31,2018-08-31,0.02022171910324342,0.2,0.0006,1.2837140883027236,1.2671990905623962
2018-09-30,2018-08-31,-0.027218560527131588,0.0,0.0,1.2487732386907244,1.2327077554159975
2018-10-31,2018-08-31,-0.12755568035463163,0.0,0.0,1.0894851186208723,1.0754688789954792
2018-11-30,2018-11-30,0.028219121748444178,0.49999999999999994,0.0014999999999999998,1.1202294318263528,1.104204462910022
2018-12-31,2018-11-30,-0.04837866640784855,0.0,0.0,1.066034225843772,1.0507845235528406
2019-01-31,2018-11-30,0.07286591338383186,0.0,0.0,1.1437117834083046,1.1273508976311128
