ticker,name_final,action,reason,shares,price,adv20_value,current_value,target_value,trade_value,order_side,max_day_value,day1_qty,day1_order_value,day2_qty,day2_order_value,day3_qty,day3_order_value,planned_total_qty,planned_total_value,unplanned_value,est_slippage_bps,score,score_rank,industry_code,industry_name,industry4
218410,RFHIC,HOLD,기존 보유 상위 점수 유지 (rank=1),37.0,82400,68858730195.0,3048800.0,7162304.0,4113504.0,BUY,10328809529.25,19,1565600.0,14,1153600.0,14,1153600.0,47,3872800.0,240704.0,5.000562426868609,3.688174929908726,1.0,032604,통신 및 방송 장비 제조업,032604
060280,큐렉소,HOLD,기존 보유 상위 점수 유지 (rank=2),174.0,17460,20845800862.0,3038040.0,7162304.0,4124264.0,BUY,3126870129.2999997,94,1641240.0,70,1222200.0,70,1222200.0,234,4085640.0,38624.0,5.0019599342942245,3.6266150852589103,2.0,074708,기타 상품 전문 소매업,074708
041920,메디아나,HOLD,기존 보유 상위 점수 유지 (rank=3),151.0,19900,6984348028.5,3004900.0,7162304.0,4157404.0,BUY,1047652204.275,83,1651700.0,62,1233800.0,62,1233800.0,207,4119300.0,38104.0,5.005897901970507,3.398982213481918,3.0,032701,의료용 기기 제조업,032701
098460,고영,BUY,전략 신규 편입 (rank=4),0.0,27300,71206829067.5,0.0,7162304.0,7162304.0,BUY,10681024360.125,104,2839200.0,78,2129400.0,78,2129400.0,260,7098000.0,64304.0,5.000996814504023,3.287593834218937,4.0,032902,특수 목적용 기계 제조업,032902
425420,티에프이,HOLD,전략 유지 (rank=5),46.0,69000,18201089087.5,3174000.0,7162304.0,3988304.0,BUY,2730163363.125,23,1587000.0,17,1173000.0,17,1173000.0,57,3933000.0,55304.0,5.002160859705204,3.287077917221918,5.0,032602,전자부품 제조업,032602
171090,선익시스템,HOLD,전략 유지 (rank=6),33.0,92800,22044608195.0,3062400.0,7162304.0,4099904.0,BUY,3306691229.25,17,1577600.0,13,1206400.0,13,1206400.0,43,3990400.0,109504.0,5.001810147844181,3.187160220105933,6.0,032902,특수 목적용 기계 제조업,032902
100840,SNT에너지,BUY,전략 신규 편입 (rank=7),0.0,48200,23531921710.0,0.0,7162304.0,7162304.0,BUY,3529788256.5,59,2843800.0,44,2120800.0,44,2120800.0,147,7085400.0,76904.0,5.003010973811369,2.983210090323704,7.0,032901,일반 목적용 기계 제조업,032901
353200,대덕전자,BUY,전략 신규 편입 (rank=8),0.0,85400,113008872665.0,0.0,7162304.0,7162304.0,BUY,16951330899.75,33,2818200.0,25,2135000.0,25,2135000.0,83,7088200.0,74104.0,5.000627225087096,2.9519468791680747,8.0,032602,전자부품 제조업,032602
042000,카페24,HOLD,전략 유지 (rank=9),106.0,27800,3520564037.5,2946800.0,7162304.0,4215504.0,BUY,528084605.625,60,1668000.0,45,1251000.0,45,1251000.0,150,4170000.0,45504.0,5.011844692940058,2.788513765251271,9.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301
131290,티에스이,HOLD,전략 유지 (rank=10),27.0,110300,12066630370.0,2978100.0,7162304.0,4184204.0,BUY,1809994555.5,15,1654500.0,11,1213300.0,11,1213300.0,37,4081100.0,103104.0,5.003382137245329,2.728178595844088,10.0,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702
214150,클래시스,SELL,전략 탈락 (universe_rank=68),600.0,54000,17078616882.5,32400000.0,0.0,-32400000.0,SELL,2561792532.375,420,22680000.0,180,9720000.0,0,0.0,600,32400000.0,0.0,5.018971091290887,0.233922258674435,68.0,032701,의료용 기기 제조업,032701
005930,삼성전자,SELL,전략 탈락 (universe_rank=144),100.0,179700,6439185386235.0,17970000.0,0.0,-17970000.0,SELL,965877807935.25,70,12579000.0,30,5391000.0,0,0.0,100,17970000.0,0.0,5.000027907256776,-1.934157553584053,144.0,032604,통신 및 방송 장비 제조업,032604
