ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,hold_bonus_applied,score_adj,score_rank,score_adj_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib
005690,211,0,0,3,2025,00145163,파미셀,2025-11-30,4.074332222001554,4.074332222001554,0.0,4.074332222001554,1.0,1.0,17.510378878938393,3.0,1.0,1.0,3.0,0.7533101135588725,3.0,1.0,1.0,0.75,0.16336668693169493,-0.9266634914330116,412.0,1.0,0.32433222200155404
095610,29271,0,0,3,2025,00524421,테스,2025-11-30,4.041310994137562,4.041310994137562,0.0,4.041310994137562,2.0,2.0,6.715815653251147,3.0,1.0,1.0,3.0,0.8726870165924935,3.0,1.0,1.0,0.75,0.2072515796930208,-0.8323171261073197,397.0,1.0,0.29131099413756184
060280,47812,0,0,3,2025,00356802,큐렉소,2025-11-30,3.9787687928429443,3.9787687928429443,0.0,3.9787687928429443,3.0,3.0,2.0928209578957193,2.9884116645432464,46.0,1.0,2.9884116645432464,0.4024814455797694,2.4571925632078266,49.0,1.0,0.6142981408019567,0.09462231540074532,-1.0744542499935463,441.0,1.0,0.3760589874977412
302440,211,1,0,3,2025,01319899,SK바이오사이언스,2025-11-30,3.9394205765283763,3.9394205765283763,0.0,3.9394205765283763,4.0,4.0,19.92374284725002,3.0,1.0,1.0,3.0,2.619807644486259,3.0,1.0,1.0,0.75,0.34266296017235415,-0.5412016472239329,322.0,1.0,0.18942057652837652
450080,28202,0,0,3,2025,01311408,에코프로머티,2025-11-30,3.9207299690376978,3.9207299690376978,0.0,3.9207299690376978,5.0,5.0,2.5775778375967677,3.0,1.0,1.0,3.0,0.6331963042456609,3.0,1.0,1.0,0.75,0.3675025969281667,-0.4877999115362787,310.0,1.0,0.17072996903769755
039030,29271,0,0,3,2025,00246417,이오테크닉스,2025-11-30,3.823555736317304,3.823555736317304,0.0,3.823555736317304,6.0,6.0,2.038518461415926,2.9133792067221584,48.0,1.0,2.9133792067221584,0.3638030436262798,2.203092251396592,52.0,1.0,0.550773062849148,0.11675734154468093,-1.0268670478457065,431.0,1.0,0.35940346674599727
100840,29176,0,0,3,2025,00648721,SNT에너지,2025-11-30,3.79042436788437,3.79042436788437,0.0,3.79042436788437,7.0,7.0,2.2768034669383335,3.0,1.0,1.0,3.0,0.7982554845315154,3.0,1.0,1.0,0.75,0.5406774817739702,-0.11549819395534265,245.0,1.0,0.04042436788436993
206650,212,0,0,3,2025,00927558,유바이오로직스,2025-11-30,3.7512846344031687,3.7512846344031687,0.0,3.7512846344031687,8.0,8.0,7.957919892873749,3.0,1.0,1.0,3.0,0.34734398910995345,2.094963407558996,55.0,1.0,0.523740851889749,0.2919975877863711,-0.6501250928954854,348.0,1.0,0.22754378251341986
218410,264,0,0,3,2025,01078178,RFHIC,2025-11-30,3.7179640598406585,3.7179640598406585,0.0,3.7179640598406585,9.0,9.0,3.997376733347082,3.0,1.0,1.0,3.0,0.3301657049416056,1.9821095371015744,60.0,1.0,0.4955273842753936,0.29878488357269184,-0.6355333587578992,345.0,1.0,0.2224366755652647
036810,2629,0,0,3,2025,00223434,에프에스티,2025-11-30,3.6034651255645174,3.6034651255645174,0.0,3.6034651255645174,10.0,10.0,22.835355871520576,3.0,1.0,1.0,3.0,0.5366926935750235,3.0,1.0,1.0,0.75,0.7891445083103221,0.4186710698156646,164.0,1.0,-0.1465348744354826
