file,strategy,k,v,tcost_bps,gross_nav,net_nav,cagr_gross,cagr_net,sharpe_net,avg_turnover
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_only__v=5007.csv,B_growth_only,10,5007,30.0,23.444487386990087,22.389175646900004,0.3673251719020662,0.3610938647730188,1.2098232061144536,0.8150000000000002
report__asof=2026-02-18__metric=revenue_op__k=7__strat=B_growth_plus_quality__v=3007.csv,B_growth_plus_quality,7,3007,30.0,28.36764587975093,26.331315032160905,0.3934187471912114,0.3831628335305461,1.2125118420533667,0.8666666666666666
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=3010.csv,B_growth_plus_quality,10,3010,30.0,26.987909711274156,25.10964446548544,0.3865455468380379,0.376661488281923,1.2658428171991478,0.8433333333333333
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4102.csv,B_growth_plus_quality,10,4102,30.0,25.29208411825189,23.5250400495418,0.3776502340779879,0.367790367593293,1.2585940665645867,0.8466666666666666
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4103.csv,B_growth_plus_quality,10,4103,30.0,25.29208411825189,23.5250400495418,0.3776502340779879,0.367790367593293,1.2585940665645867,0.8466666666666666
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4200.csv,B_growth_plus_quality,10,4200,30.0,25.29208411825189,23.5250400495418,0.3776502340779879,0.367790367593293,1.2585940665645867,0.8466666666666666
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4201.csv,B_growth_plus_quality,10,4201,30.0,27.650975774370664,25.74884757021717,0.3898871826029866,0.3800978016610818,1.2906932449947142,0.8333333333333334
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4202.csv,B_growth_plus_quality,10,4202,30.0,25.29208411825189,23.5250400495418,0.3776502340779879,0.367790367593293,1.2585940665645867,0.8466666666666666
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4203.csv,B_growth_plus_quality,10,4203,30.0,27.650975774370664,25.74884757021717,0.3898871826029866,0.3800978016610818,1.2906932449947142,0.8333333333333334
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4204.csv,B_growth_plus_quality,10,4204,30.0,26.37135980318855,24.584064031786685,0.3833713042903079,0.3737764502580367,1.2709600131445404,0.8200000000000001
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4205.csv,B_growth_plus_quality,10,4205,30.0,27.505135981519054,25.657036082977687,0.3891584386734785,0.3796089878494548,1.2831023989534278,0.8413793103448275
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_growth_plus_quality__v=4206.csv,B_growth_plus_quality,10,4206,30.0,23.57306671993055,22.06616665649041,0.3680670416973093,0.3591336695460356,1.2436416510008184,0.7965517241379311
report__asof=2026-02-18__metric=revenue_op__k=15__strat=B_growth_plus_quality__v=3015.csv,B_growth_plus_quality,15,3015,30.0,15.83876798785179,14.755225842734308,0.3151661864699266,0.3059559101860705,1.1926489308278534,0.8177777777777778
report__asof=2026-02-18__metric=revenue_op__k=15__strat=B_growth_plus_quality__v=4102.csv,B_growth_plus_quality,15,4102,30.0,19.74432550482519,18.38852644453185,0.3442301026321357,0.3347797605320064,1.26824898902041,0.8200000000000001
report__asof=2026-02-18__metric=revenue_op__k=20__strat=B_growth_plus_quality__v=4102.csv,B_growth_plus_quality,20,4102,30.0,18.835724589548693,17.594043556822488,0.3379643097455576,0.328946012705904,1.2461691925755776,0.785
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_no_accel__v=5003.csv,B_no_accel,10,5003,30.0,27.53526287302633,25.65124861402193,0.3893092639126252,0.379578122001778,1.2733083445304223,0.8266666666666665
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_no_debt__v=5004.csv,B_no_debt,10,5004,30.0,20.73531941957003,19.810418684116392,0.3507745898837968,0.3446756869784171,1.1819599993299064,0.7666666666666667
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_no_opincome__v=5002.csv,B_no_opincome,10,5002,30.0,27.37779780108588,25.628704841313336,0.3885192930408137,0.3794578312502765,1.2576691131848123,0.7666666666666667
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_no_revenue__v=5001.csv,B_no_revenue,10,5001,30.0,14.38237760167446,13.420159113010644,0.3026453208386317,0.2937302572345146,1.0601427614133068,0.7966666666666669
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_revenue_only__v=5005.csv,B_revenue_only,10,5005,30.0,23.209276319938493,22.389633770867132,0.3659585282218169,0.3610966267805531,1.1845362902091456,0.6095238095238097
report__asof=2026-02-18__metric=revenue_op__k=10__strat=B_revenue_plus_debt__v=5006.csv,B_revenue_plus_debt,10,5006,30.0,20.92355974913973,19.714096350955028,0.3519857775449118,0.3440258569628596,1.1666184358304308,0.6866666666666668
report__asof=2026-02-18__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=1.csv,D_quality_filter_debt_profitaccel,10,1,30.0,4.48177882305644,4.16069535642951,0.1603971493607974,0.1518737584225404,0.6455547047234853,0.9071428571428573
report__asof=2026-02-18__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=2.csv,D_quality_filter_debt_profitaccel,10,2,30.0,7.379698586721386,6.9444629252742285,0.2192323437945234,0.2119042185474724,0.9235547731500252,0.6966666666666668
report__asof=2026-02-18__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=4102.csv,D_quality_filter_debt_profitaccel,10,4102,30.0,8.198118110905742,7.616268523036117,0.2320158111685941,0.2230536615062162,0.794766861221968,0.9000000000000002
report__asof=2026-02-18__metric=revenue_op__k=15__strat=D_quality_filter_debt_profitaccel__v=4102.csv,D_quality_filter_debt_profitaccel,15,4102,30.0,8.441011489401223,7.868543769730261,0.235588432634255,0.2270126154822531,0.8274756179539209,0.8547619047619047
report__asof=2026-02-18__metric=revenue_op__k=20__strat=D_quality_filter_debt_profitaccel__v=4102.csv,D_quality_filter_debt_profitaccel,20,4102,30.0,9.897208970304591,9.244983974330465,0.2552451042706818,0.2467872336423666,0.9140979265058384,0.8321428571428572
