ticker,name_current,shares,current_price,price_date,current_value,current_weight,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,Revenue_ttm_ready,Revenue_ttm_yoy_ready,Revenue_acc2_ready,Revenue_acc2_missing_reason,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,OpIncome_ttm_ready,OpIncome_ttm_yoy_ready,OpIncome_acc2_ready,OpIncome_acc2_missing_reason,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,NetIncome_ttm_ready,NetIncome_ttm_yoy_ready,NetIncome_acc2_ready,NetIncome_acc2_missing_reason,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CFO_ttm_ready,CFO_ttm_yoy_ready,CFO_acc2_ready,CFO_acc2_missing_reason,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,CAPEX_ttm_ready,CAPEX_ttm_yoy_ready,CAPEX_acc2_ready,CAPEX_acc2_missing_reason,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,history_quarters,first_quarter_key,latest_quarter_key,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,rebalance_month,industry4,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,selected_topk,latest_available_rebalance_month_x,latest_available_year_x,latest_available_quarter_x,latest_available_rebalance_month_y,latest_available_year_y,latest_available_quarter_y,latest_available_name,latest_available_group,latest_OpIncome_acc2,latest_Revenue_acc2,latest_Debt_to_Equity_log,latest_Quality_CFO_to_Assets,latest_CFO_isnull,in_target_topk,cohort_status,score_availability_reason
005930,삼성전자,100,,,,,,,,삼성전자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not_in_target_cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,not_in_target_cohort,no_feature_history
058470,리노공업,125,,,,,2025.0,3.0,202503.0,리노공업,00369657,CFS,OFS,762438669514.0,689545505354.0,72893164160.0,0.10571189804591358,0.10048937915399032,195613261121.0,0.07560956994998969,0.29108992371518483,1.0,1.0,1.0,,90889285835.0,0.15410799132757158,0.3127021193085756,1.0,1.0,1.0,,94871490163.0,0.10499642596278691,-0.23480052553819153,1.0,1.0,1.0,,72095142773.0,-41.760514127225015,-40.82080922555088,1.0,1.0,1.0,,13009749609.0,-0.7882690397736034,-11.049741991082081,1.0,1.0,1.0,,762438669514.0,0.09455861258841382,0.017063339163126107,0.46463764938093255,0.1192086517502259,16.0,20221.0,20254.0,0.0,0.0,72095142773.0,0.09455861258841382,2025-11-30,2629,True,passed,2629,0.0,0.0,3.0,2025.0,00369657,1.2020815280171306,1.2020815280171306,1.0,0.3127021193085756,0.7071067811865476,1.0,1.0,0.7071067811865476,0.29108992371518483,0.7071067811865476,1.0,1.0,0.1767766952966369,0.10048937915399032,-0.7071067811865476,2.0,1.0,0.24748737341529164,0.09455861258841382,0.7071067811865471,1.0,1.0,0.07071067811865471,0.0,0.0,1.0,1.0,-0.0,1,2026-03-31,2025.0,4.0,2026-03-31,2025.0,4.0,리노공업,2629,0.2224448666963299,0.16889735611975354,0.07975774800642708,0.046036391573518756,0.0,1,in_target_cohort,scored_in_target_cohort
214150,클래시스,600,,,,,2025.0,3.0,202503.0,클래시스,01061327,CFS,CFS,654403558092.0,518354418849.0,136049139243.0,0.2624635467468292,0.23306500788662213,182568152852.0,0.40221786520956804,0.22178448371831183,1.0,1.0,1.0,,90337188841.0,0.47604112709547564,0.2688072711769487,1.0,1.0,1.0,,97783026518.0,1.4260861173584258,1.6850398293090185,1.0,1.0,1.0,,45669420669.0,0.07430394793482176,-17.12727377736432,1.0,1.0,1.0,,7447643381.0,2.1537705128247477,2.5464977243061067,1.0,1.0,1.0,,654403558092.0,0.06978785506936305,0.011380811257681098,0.49481351172037324,0.13804507589229803,15.0,20221.0,20253.0,0.0,0.0,45669420669.0,0.06978785506936305,2025-11-30,271,True,passed,271,0.0,0.0,3.0,2025.0,01061327,-1.2020815280171309,-1.2020815280171309,2.0,0.2688072711769487,-0.7071067811865476,2.0,1.0,-0.7071067811865476,0.22178448371831183,-0.7071067811865476,2.0,1.0,-0.1767766952966369,0.23306500788662213,0.7071067811865475,1.0,1.0,-0.2474873734152916,0.06978785506936305,-0.7071067811865479,2.0,1.0,-0.0707106781186548,0.0,0.0,1.0,1.0,-0.0,1,2025-11-30,2025.0,3.0,2025-11-30,2025.0,3.0,클래시스,271,0.2688072711769487,0.22178448371831183,0.23306500788662213,0.06978785506936305,0.0,1,in_target_cohort,scored_in_target_cohort
