action,ticker,name,target_weight,weight,delta_weight,shares,score,group_value,industry4,current_price,price_date
BUY,042520,한스바이오메드,0.1428571428571428,0.0,0.1428571428571428,,1.5299593365812467,33.0,33.0,50400.0,2026-02-27
BUY,064960,SNT모티브,0.1428571428571428,0.0,0.1428571428571428,,0.2788407455616251,25.0,25.0,37250.0,2026-02-27
BUY,100840,SNT에너지,0.1428571428571428,0.0,0.1428571428571428,,-0.0300584262050995,4.0,4.0,45950.0,2026-02-27
BUY,006650,대한유화,0.1428571428571428,0.0,0.1428571428571428,,-0.0340543621656947,51.0,51.0,189900.0,2026-02-27
BUY,003570,SNT다이내믹스,0.1428571428571428,0.0,0.1428571428571428,,-0.1219314280425173,25.0,25.0,56000.0,2026-02-27
BUY,036530,SNT홀딩스,0.1428571428571428,0.0,0.1428571428571428,,-0.1734035802354956,15.0,15.0,62700.0,2026-02-27
BUY,001720,신영증권,0.1428571428571428,0.0,0.1428571428571428,,-1.4493522854940648,2.0,2.0,225500.0,2026-02-27
SELL,005930,삼성전자,0.0,0.0,0.0,100.0,,,,,
SELL,058470,리노공업,0.0,0.0,0.0,125.0,,,,,
SELL,214150,클래시스,0.0,0.0,0.0,600.0,,,,,
