ticker,name_final,shares,current_shares,current_weight,target_shares,target_value,score,score_rank,industry_code,industry_name,industry4,target_selection_bucket,target_kept_from_previous,cohort_status,score_availability_reason,filter_status_diag,passed_filters_diag,selected_topk_diag,in_target_topk_diag,current_price_diag,price_date_diag,current_value_diag,is_current,is_target,action,reason
098460,고영,,,,,,3.287593834218937,4.0,032902,특수 목적용 기계 제조업,032902,new_or_rank_fill,0.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=4)
100840,SNT에너지,,,,,,2.9832100903237038,7.0,032901,일반 목적용 기계 제조업,032901,new_or_rank_fill,0.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=7)
353200,대덕전자,,,,,,2.9519468791680747,8.0,032602,전자부품 제조업,032602,new_or_rank_fill,0.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=8)
218410,RFHIC,37.0,37.0,0.0425673079500674,,,3.688174929908726,1.0,032604,통신 및 방송 장비 제조업,032604,keep_current_top_n,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,82400.0,2026-03-27,3048800.0,1,1,HOLD,기존 보유 상위 점수 유지 (rank=1)
060280,큐렉소,174.0,174.0,0.0424170769629437,,,3.6266150852589103,2.0,074708,기타 상품 전문 소매업,074708,keep_current_top_n,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,17460.0,2026-03-27,3038040.0,1,1,HOLD,기존 보유 상위 점수 유지 (rank=2)
041920,메디아나,151.0,151.0,0.0419543766921929,,,3.398982213481918,3.0,032701,의료용 기기 제조업,032701,keep_current_top_n,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,19900.0,2026-03-27,3004900.0,1,1,HOLD,기존 보유 상위 점수 유지 (rank=3)
425420,티에프이,46.0,46.0,0.0443153488039602,,,3.287077917221918,5.0,032602,전자부품 제조업,032602,new_or_rank_fill,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,69000.0,2026-03-27,3174000.0,1,1,HOLD,전략 유지 (rank=5)
171090,선익시스템,33.0,33.0,0.0427571909821197,,,3.187160220105933,6.0,032902,특수 목적용 기계 제조업,032902,new_or_rank_fill,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,92800.0,2026-03-27,3062400.0,1,1,HOLD,전략 유지 (rank=6)
042000,카페24,106.0,106.0,0.0411431852096755,,,2.788513765251271,9.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301,new_or_rank_fill,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,27800.0,2026-03-27,2946800.0,1,1,HOLD,전략 유지 (rank=9)
131290,티에스이,27.0,27.0,0.0415801954231487,,,2.728178595844088,10.0,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702,new_or_rank_fill,1.0,in_target_cohort,scored_in_target_cohort,passed,True,1.0,1.0,110300.0,2026-03-27,2978100.0,1,1,HOLD,전략 유지 (rank=10)
214150,클래시스,600.0,600.0,0.4523683998891977,,,0.233922258674435,68.0,032701,의료용 기기 제조업,032701,,,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,54000.0,2026-03-27,32400000.0,1,0,SELL,전략 탈락 (universe_rank=68)
005930,삼성전자,100.0,100.0,0.2508969180866939,,,-1.934157553584053,144.0,032604,통신 및 방송 장비 제조업,032604,,,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,179700.0,2026-03-27,17970000.0,1,0,SELL,전략 탈락 (universe_rank=144)
