ticker,name_current,shares,price_date,current_price,current_value,current_weight,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,Revenue_ttm_ready,Revenue_ttm_yoy_ready,Revenue_acc2_ready,Revenue_acc2_missing_reason,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,OpIncome_ttm_ready,OpIncome_ttm_yoy_ready,OpIncome_acc2_ready,OpIncome_acc2_missing_reason,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,NetIncome_ttm_ready,NetIncome_ttm_yoy_ready,NetIncome_acc2_ready,NetIncome_acc2_missing_reason,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CFO_ttm_ready,CFO_ttm_yoy_ready,CFO_acc2_ready,CFO_acc2_missing_reason,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,CAPEX_ttm_ready,CAPEX_ttm_yoy_ready,CAPEX_acc2_ready,CAPEX_acc2_missing_reason,Revenue_acc2_log1p,OpIncome_acc2_log1p,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,history_quarters,first_quarter_key,latest_quarter_key,industry_code,industry_name,industry4,industry4__ref,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,op_growth_streak2,rev_growth_streak2,rebalance_month,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,hold_bonus_applied,score_adj,score_rank,score_adj_rank,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,rev_growth_streak2__contrib,selected_topk,latest_available_rebalance_month_x,latest_available_year_x,latest_available_quarter_x,latest_available_rebalance_month_y,latest_available_year_y,latest_available_quarter_y,latest_available_name,latest_available_group,latest_OpIncome_acc2_log1p,latest_Revenue_acc2,latest_Debt_to_Equity_log,latest_op_growth_streak2,latest_rev_growth_streak2,in_target_topk,cohort_status,score_availability_reason
005930,삼성전자,100,2026-03-27,179700,17970000,0.2508969180866939,2025,4,202504,삼성전자,00126380,CFS,CFS,566942110000000.0,436320337000000.0,130621773000000.0,0.2993712690499687,0.26188050828400256,333605938000000.0,0.10880093313642902,-0.053152178629700675,1,1,1,,43601051000000.0,0.3323077357453308,-3.65110639581233,1,1,1,,45206805000000.0,0.31219251750098276,-0.9123266629782549,1,1,1,,85315148000000.0,0.16897895459249135,-0.48455243499213485,1,1,1,,52153149000000.0,-0.029557900160060213,0.08265192012209543,1,1,1,,-0.05178774182648181,-1.537105125880618,566942110000000.0,0.15048299728520784,0.09199025452528126,0.1306962677624761,0.07690564914996348,40,20161,20254,032604,통신 및 방송 장비 제조업,032604,032604,86061747000000.0,93837371000000.0,0.09034936276624736,12166062000000.0,20073660000000.0,0.6499718643551217,0,0,85315148000000.0,0.15048299728520784,1,1,2026-03-31,True,passed,032604,0.0,0.0,4.0,2025.0,00126380,-1.934157553584053,-1.934157553584053,0.5,-1.434157553584053,144.0,133.0,-1.537105125880618,-2.2622232646697373,150.0,1.0,-2.2622232646697373,-0.053152178629700675,-0.4317719251591156,111.0,1.0,-0.1079429812897789,0.26188050828400256,-0.674310549644181,124.0,1.0,0.23600869237546335,1.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.05,0,2026-03-31,2025,4,2026-03-31,2025,4,삼성전자,032604,-1.537105125880618,-0.053152178629700675,0.26188050828400256,1,1,0,in_target_cohort,scored_in_target_cohort
041920,메디아나,151,2026-03-27,19900,3004900,0.0419543766921929,2025,4,202504,메디아나,00273439,CFS,CFS,146835881738.0,135432248814.0,11403632924.0,0.084201754189739,0.08084400580049247,64944817855.0,0.13860428568030692,0.4112630857650592,1,1,1,,5950379397.0,3.5449599170978843,4.40571443774348,1,1,1,,5274496431.0,-0.1509236885373968,0.15057796065048001,1,1,1,,5504109274.0,0.07810073877417634,0.7276005406869679,1,1,1,,608496892.0,-0.23632125946726923,-1.1890472990992946,1,1,1,,0.34448510890291517,1.6874566232521577,146835881738.0,0.03748477013146562,0.004144061279829027,0.09162208153828688,0.040524014474999315,40,20161,20254,032701,의료용 기기 제조업,032701,032701,15003243410.0,19229755285.0,0.2817065456781788,1579805028.0,1873913860.0,0.1861678034866971,0,0,5504109274.0,0.03748477013146562,1,0,2026-03-31,True,passed,032701,0.0,0.0,4.0,2025.0,00273439,3.398982213481918,3.398982213481918,0.5,3.898982213481918,3.0,3.0,1.6874566232521577,2.2702636610368905,13.0,1.0,2.2702636610368905,0.4112630857650592,2.40597156979235,11.0,1.0,0.6014928924480875,0.08084400580049247,-1.0777875999912587,154.0,1.0,0.3772256599969405,1.0,1.0,1.0,1.0,0.15,0.0,0.0,73.0,1.0,0.0,1,2026-03-31,2025,4,2026-03-31,2025,4,메디아나,032701,1.6874566232521577,0.4112630857650592,0.08084400580049247,1,0,1,in_target_cohort,scored_in_target_cohort
042000,카페24,106,2026-03-27,27800,2946800,0.04114318520967555,2025,4,202504,카페24,00260879,CFS,CFS,415599634562.0,265915892693.0,149683741869.0,0.5628988186945635,0.44654231402374134,314764225560.0,0.04062129502455436,-0.04698873396669412,1,1,1,,40226994367.0,0.2593083844394921,11.546736281844609,1,1,1,,39063119745.0,0.6627182883827882,-10.182889889836705,1,1,1,,82550637228.0,0.15925869228104617,-0.8192055127711746,1,1,1,,13644251784.0,1.1623110412127082,1.4871302319821291,1,1,1,,-0.04591817153126584,2.529460574533512,415599634562.0,0.19863019686001415,0.03283027858862211,0.1278004013811664,0.09679266058401419,33,20174,20254,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301,106301,76773795757.0,87319520287.0,0.13736098920234086,10043542279.0,12989119490.0,0.29328071004976947,0,0,82550637228.0,0.19863019686001415,0,0,2026-03-31,True,passed,106301,0.0,0.0,4.0,2025.0,00260879,2.788513765251271,2.788513765251271,0.5,3.288513765251271,9.0,6.0,2.529460574533512,2.8,1.0,1.0,2.8,-0.04698873396669412,-0.3860293503874207,108.0,1.0,-0.09650733759685517,0.44654231402374134,-0.24291743670893162,88.0,1.0,0.08502110284812606,0.0,0.0,78.0,1.0,0.0,0.0,0.0,73.0,1.0,0.0,1,2026-03-31,2025,4,2026-03-31,2025,4,카페24,106301,2.529460574533512,-0.04698873396669412,0.44654231402374134,0,0,1,in_target_cohort,scored_in_target_cohort
060280,큐렉소,174,2026-03-27,17460,3038040,0.042417076962943764,2025,4,202504,큐렉소,00356802,CFS,CFS,101137762292.0,96248964468.0,4888797824.0,0.05079325113804611,0.049545356214452746,74531816400.0,0.34215967069335185,0.580228132847816,1,1,1,,2361804478.0,-1.40570345625545,4.721379518579405,1,1,1,,2771488547.0,-1.31645482261864,-2.1199748228564648,1,1,1,,-11258378658.0,-3.9244084514532718,-3.6822028469824177,1,1,1,,2513503318.0,-0.25740097555384256,-0.7391715161320945,1,1,1,,0.4575692244943136,1.7442099508906124,101137762292.0,-0.11131726076255632,0.02485227338472386,0.03168854043922107,0.023352350541246045,40,20161,20254,074708,기타 상품 전문 소매업,074708,074708,17227825501.0,20799882849.0,0.20734232232574318,341181360.0,1383167831.0,3.0540545093084805,0,0,-11258378658.0,-0.11131726076255632,1,1,2026-03-31,True,passed,074708,0.0,0.0,4.0,2025.0,00356802,3.6266150852589103,3.6266150852589103,0.5,4.12661508525891,2.0,2.0,1.7442099508906124,2.3289165066201267,12.0,1.0,2.3289165066201267,0.580228132847816,2.8,1.0,1.0,0.7,0.049545356214452746,-1.136281653253668,155.0,1.0,0.3976985786387838,1.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.05,1,2026-03-31,2025,4,2026-03-31,2025,4,큐렉소,074708,1.7442099508906124,0.580228132847816,0.049545356214452746,1,1,1,in_target_cohort,scored_in_target_cohort
131290,티에스이,27,2026-03-27,110300,2978100,0.04158019542314875,2025,4,202504,티에스이,00372226,CFS,CFS,608025581215.0,464563900422.0,143461680793.0,0.3088093600529065,0.26911783847043846,428900789083.0,0.23228511982607558,-0.1646903375082116,1,1,1,,49172057097.0,0.232417826608196,17.99578020197024,1,1,1,,40043908888.0,-0.1107609503825665,22.382549403344896,1,1,1,,48569539234.0,0.633351980333295,-9.803712268181132,1,1,1,,50810077977.0,0.6786026575969211,1.0882439622507474,1,1,1,,-0.1524552469713483,2.94421685986663,608025581215.0,0.0798807496502777,0.08356569122547063,0.11464669300826193,0.08087169128433856,40,20161,20254,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702,032702,104399326045.0,123856058356.0,0.18636837083233107,11481525703.0,19770552249.0,0.7219446927540445,0,0,48569539234.0,0.0798807496502777,0,0,2026-03-31,True,passed,032702,0.0,0.0,4.0,2025.0,00372226,2.7281785958440876,2.7281785958440876,0.5,3.2281785958440876,10.0,8.0,2.94421685986663,2.8,1.0,1.0,2.8,-0.1646903375082116,-1.2076501520977125,135.0,1.0,-0.30191253802442813,0.26911783847043846,-0.6574032396243323,120.0,1.0,0.2300911338685163,0.0,0.0,78.0,1.0,0.0,0.0,0.0,73.0,1.0,0.0,1,2026-03-31,2025,4,2026-03-31,2025,4,티에스이,032702,2.94421685986663,-0.1646903375082116,0.26911783847043846,0,0,1,in_target_cohort,scored_in_target_cohort
171090,선익시스템,33,2026-03-27,92800,3062400,0.04275719098211972,2025,4,202504,선익시스템,00327819,CFS,CFS,365622084365.0,143805770416.0,221816313949.0,1.5424715802942526,0.9331366710194042,515761033577.0,3.567286380767893,2.7579613134265983,1,1,1,,111525548096.0,13.105403877008483,16.054092699958822,1,1,1,,96523950618.0,-4.438681927901502,-6.479627030939371,1,1,1,,97303264538.0,-3.861970438962211,3.236228083110089,1,1,1,,25590215795.0,0.679777530987157,-6.972329370352765,1,1,1,,1.323876606480222,2.836390215977585,365622084365.0,0.2661307089996847,0.06999089193270208,0.21623492438451133,0.3050295725152756,34,20173,20254,032902,특수 목적용 기계 제조업,032902,032902,88763491261.0,221048965214.0,1.4903140026796382,19797084035.0,53561228179.0,1.7055109774907817,0,1,97303264538.0,0.2661307089996847,0,0,2026-03-31,True,passed,032902,1.0,0.0,4.0,2025.0,00327819,3.1871602201059335,3.1871602201059335,0.5,3.6871602201059335,6.0,5.0,2.836390215977585,2.8,1.0,1.0,2.8,2.7579613134265983,2.8,1.0,1.0,0.7,0.9331366710194042,0.8938279425544758,36.0,1.0,-0.3128397798940665,0.0,0.0,78.0,1.0,0.0,0.0,0.0,73.0,1.0,0.0,1,2026-03-31,2025,4,2026-03-31,2025,4,선익시스템,032902,2.836390215977585,2.7579613134265983,0.9331366710194042,0,0,1,in_target_cohort,scored_in_target_cohort
214150,클래시스,600,2026-03-27,54000,32400000,0.4523683998891977,2025,4,202504,클래시스,01061327,CFS,CFS,704649920208.0,551674456160.0,152975464048.0,0.2772929983251447,0.24474299343029438,336819637856.0,0.38643727792893356,0.03769648525914526,1,1,1,,170600874067.0,0.3933131280084834,0.02710759449645228,1,1,1,,131970250448.0,0.3529338917716234,0.038774420312518876,1,1,1,,163935787746.0,0.594699794554429,0.0041494238463097854,1,1,1,,19253389901.0,0.785442521571764,0.02127069465376974,1,1,1,,0.03700333857425608,0.026746691278196358,704649920208.0,0.23264855787908,0.027323340780790475,0.5065051288367477,0.24210727791843314,33,20174,20254,032701,의료용 기기 제조업,032701,032701,82997291548.0,93425243822.0,0.1256420791510911,37618140937.0,51190151685.0,0.36078366474115164,0,0,163935787746.0,0.23264855787908,0,0,2026-03-31,True,passed,032701,0.0,0.0,4.0,2025.0,01061327,0.23392225867443509,0.23392225867443509,0.5,0.7339222586744351,68.0,45.0,0.026746691278196358,-0.07671627696810675,90.0,1.0,-0.07671627696810675,0.03769648525914526,0.24246983866925756,52.0,1.0,0.06061745966731439,0.24474299343029438,-0.7143459313577927,129.0,1.0,0.25002107597522744,0.0,0.0,78.0,1.0,0.0,0.0,0.0,73.0,1.0,0.0,0,2026-03-31,2025,4,2026-03-31,2025,4,클래시스,032701,0.026746691278196358,0.03769648525914526,0.24474299343029438,0,0,0,in_target_cohort,scored_in_target_cohort
218410,RFHIC,37,2026-03-27,82400,3048800,0.04256730795006746,2025,4,202504,RFHIC,01078178,CFS,CFS,546184500788.0,396459689603.0,149724811185.0,0.37765456391021457,0.3203824618557173,185803786324.0,0.617429629657611,0.5865324602488591,1,1,1,,30889493523.0,19.19200580218858,15.143604168997992,1,1,1,,35505822915.0,0.8024376801992708,0.6884427409996445,1,1,1,,29499225878.0,-0.0901476531883112,-1.1217200077942457,1,1,1,,5208727390.0,-0.7910035598629418,-0.35949328016976545,1,1,1,,0.4615507921210316,2.781523944541956,546184500788.0,0.05400963563674987,0.009536571218123513,0.16624792279063502,0.05655505324379329,34,20173,20254,032604,통신 및 방송 장비 제조업,032604,032604,40496598375.0,68794455517.0,0.6987712123364238,7362813800.0,11485832303.0,0.5599786460714244,0,0,29499225878.0,0.05400963563674987,0,0,2026-03-31,True,passed,032604,0.0,0.0,4.0,2025.0,01078178,3.688174929908726,3.688174929908726,0.5,4.188174929908726,1.0,1.0,2.781523944541956,2.8,1.0,1.0,2.8,0.5865324602488591,2.8,1.0,1.0,0.7,0.3203824618557173,-0.5376426568820751,110.0,1.0,0.18817492990872628,0.0,0.0,78.0,1.0,0.0,0.0,0.0,73.0,1.0,0.0,1,2026-03-31,2025,4,2026-03-31,2025,4,RFHIC,032604,2.781523944541956,0.5865324602488591,0.3203824618557173,0,0,1,in_target_cohort,scored_in_target_cohort
425420,티에프이,46,2026-03-27,69000,3174000,0.04431534880396029,2025,4,202504,티에프이,01035368,CFS,CFS,143636036990.0,109192118924.0,34443918066.0,0.3154432609735661,0.27417368941909315,111742413458.0,0.5176889696562146,0.6010818700044805,1,1,1,,19055611474.0,3.339972968928418,3.863937580103367,1,1,1,,18106528316.0,11.467133485797442,12.336418292250574,1,1,1,,12808751016.0,1.8691744017646128,2.592924846245879,1,1,1,,15452193730.0,-0.15524923997049478,-0.8416338465543962,1,1,1,,0.4706795694994416,1.5818483115435626,143636036990.0,0.08917505164036063,0.1075788085901854,0.1705315903272693,0.13266595120085817,13,20224,20254,032602,전자부품 제조업,032602,032602,27219872546.0,37449464085.0,0.37581335187049775,4826605353.0,7333413860.0,0.5193730010351646,0,0,12808751016.0,0.08917505164036063,1,1,2026-03-31,True,passed,032602,0.0,0.0,4.0,2025.0,01035368,3.287077917221918,3.287077917221918,0.5,3.787077917221918,5.0,4.0,1.5818483115435626,2.161120668780813,16.0,1.0,2.161120668780813,0.6010818700044805,2.8,1.0,1.0,0.7,0.27417368941909315,-0.6455921384031585,118.0,1.0,0.22595724844110548,1.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.05,1,2026-03-31,2025,4,2026-03-31,2025,4,티에프이,032602,1.5818483115435626,0.6010818700044805,0.27417368941909315,1,1,1,in_target_cohort,scored_in_target_cohort
