ticker,name_final,action,reason,shares,price,adv20_value,current_value,target_value,trade_value,order_side,max_day_value,day1_qty,day1_order_value,day2_qty,day2_order_value,day3_qty,day3_order_value,planned_total_qty,planned_total_value,unplanned_value,est_slippage_bps,score,score_rank,industry_code,industry_name,industry4
218410,RFHIC,BUY,전략 신규 편입 (rank=1),0.0,75000,68306290820.0,0.0,11111111.111111112,11111111.111111112,BUY,10245943623.0,59,4425000.0,44,3300000.0,44,3300000.0,147,11025000.0,86111.11111111194,5.001614053386247,3.68667345602538,1.0,032604,통신 및 방송 장비 제조업,032604
060280,큐렉소,BUY,전략 신규 편입 (rank=2),0.0,14610,21053641266.5,0.0,11111111.111111112,11111111.111111112,BUY,3158046189.975,304,4441440.0,228,3331080.0,228,3331080.0,760,11103600.0,7511.111111111939,5.005273957060182,3.548409083045223,2.0,074708,기타 상품 전문 소매업,074708
041920,메디아나,BUY,전략 신규 편입 (rank=3),0.0,20200,6602646506.0,0.0,11111111.111111112,11111111.111111112,BUY,990396975.9,220,4444000.0,165,3333000.0,165,3333000.0,550,11110000.0,1111.111111111939,5.016826586111954,3.324785761567488,3.0,032701,의료용 기기 제조업,032701
425420,티에프이,BUY,전략 신규 편입 (rank=4),0.0,58100,18107035012.5,0.0,11111111.111111112,11111111.111111112,BUY,2716055251.875,76,4415600.0,57,3311700.0,57,3311700.0,190,11039000.0,72111.11111111194,5.006096525462274,3.212865933090549,4.0,032602,전자부품 제조업,032602
098460,고영,BUY,전략 신규 편입 (rank=5),0.0,24450,63744583577.5,0.0,11111111.111111112,11111111.111111112,BUY,9561687536.625,181,4425450.0,136,3325200.0,136,3325200.0,453,11075850.0,35261.11111111194,5.001737535862405,3.209456100329831,5.0,032902,특수 목적용 기계 제조업,032902
171090,선익시스템,BUY,전략 신규 편입 (rank=6),0.0,83800,20584937855.0,0.0,11111111.111111112,11111111.111111112,BUY,3087740678.25,53,4441400.0,39,3268200.0,39,3268200.0,131,10977800.0,133311.11111111194,5.005332928414615,3.181108987664899,6.0,032902,특수 목적용 기계 제조업,032902
005690,파미셀,BUY,전략 신규 편입 (rank=7),0.0,14590,13600225541.0,0.0,11111111.111111112,11111111.111111112,BUY,2040033831.1499999,304,4435360.0,228,3326520.0,228,3326520.0,760,11088400.0,22711.11111111194,5.008153100083945,3.024429438351622,7.0,032101,기초 의약물질 제조업,032101
214150,클래시스,HOLD,기존 보유 상위 점수 유지 (rank=73),600.0,50500,14941812087.5,30300000.0,11111111.111111112,-19188888.888888888,SELL,2241271813.125,265,13382500.0,113,5706500.0,0,0.0,378,19089000.0,99888.88888888806,5.012775558873458,0.2013819026637257,73.0,032701,의료용 기기 제조업,032701
005930,삼성전자,HOLD,기존 보유 상위 점수 유지 (rank=153),100.0,167200,5863104625870.0,16720000.0,11111111.111111112,-5608888.888888888,SELL,879465693880.5,23,3845600.0,10,1672000.0,0,0.0,33,5517600.0,91288.88888888806,5.000009410713866,-1.9011007202560304,153.0,032604,통신 및 방송 장비 제조업,032604
058470,리노공업,HOLD_REVIEW,평가 보류 유지 (no_feature_history),50.0,94400,112854773135.0,4720000.0,0.0,-4720000.0,REVIEW,16928215970.25,35,3304000.0,15,1416000.0,0,0.0,50,4720000.0,0.0,5.000418236630041,,,032602,전자부품 제조업,032602
