ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
080220,제주반도체,2.9209464293276586,8.0,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
100840,SNT에너지,2.906969266846313,9.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
353200,대덕전자,2.88032724620639,10.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
042000,카페24,2.7865157238507585,11.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
131290,티에스이,2.7263435244561407,12.0,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003620,KG모빌리티,2.672702389552136,13.0,033001,자동차용 엔진 및 자동차 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
053610,프로텍,2.6597683666299488,14.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
097230,HJ중공업,2.600735589316935,15.0,064102,토목 건설업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
095610,테스,2.564962440950555,16.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
251270,넷마블,2.383331131210402,17.0,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
278470,에이피알,2.347148572864394,18.0,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000250,삼천당제약,2.1670129245128718,19.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
033240,자화전자,2.0318061399546496,20.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000660,SK하이닉스,1.9447499498785572,21.0,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
035760,CJ ENM,1.9435820501396623,22.0,106002,텔레비전 방송업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
237690,에스티팜,1.9413382166698423,23.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
