ticker,name,action,reason,industry_code,industry_name,score,score_adj,hold_bonus_applied,score_rank,op_acc2,op_acc2_log1p,contrib_op_log,op_growth_streak2,contrib_op_streak,rev_acc2,contrib_rev,rev_growth_streak2,contrib_rev_streak,debt_log,contrib_debt,cfo_to_assets,cfo_isnull,score_rebuilt,price,mcap,year,quarter,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,revenue,op_income,net_income,per,pbr,psr,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps,cohort_status,score_availability_reason
218410,RFHIC,BUY,전략 신규 편입 (rank=1),032604,통신 및 방송 장비 제조업,3.68667345602538,3.68667345602538,0.0,1.0,15.143604168997992,2.781523944541956,2.8,0.0,0.0,0.5865324602488591,0.7,0.0,0.0,0.3203824618557173,0.1866734560253795,0.05400963563674987,0.0,3.6866734560253795,75000.0,1332167432600.0,2025.0,4.0,40496598375.0,68794455517.0,0.6987712123364238,7362813800.0,11485832303.0,0.5599786460714244,185803786324.0,30889493523.0,35505822915.0,37.51968897578219,3.360158592501505,7.169753959033966,147.0,11025000.0,59.0,4425000.0,44.0,3300000.0,44.0,3300000.0,5.001614053386247,,
060280,큐렉소,BUY,전략 신규 편입 (rank=2),074708,기타 상품 전문 소매업,3.548409083045223,3.548409083045223,0.0,2.0,4.721379518579405,1.7442099508906124,2.2503028904007043,1.0,0.15,0.580228132847816,0.7,1.0,0.05,0.0495453562144527,0.3981061926445193,-0.11131726076255632,0.0,3.5484090830452235,14610.0,716609425600.0,2025.0,4.0,17227825501.0,20799882849.0,0.20734232232574318,341181360.0,1383167831.0,3.0540545093084805,74531816400.0,2361804478.0,2771488547.0,258.56481578309047,7.445372836590382,9.614812307190732,760.0,11103600.0,304.0,4441440.0,228.0,3331080.0,228.0,3331080.0,5.005273957060182,,
041920,메디아나,BUY,전략 신규 편입 (rank=3),032701,의료용 기기 제조업,3.324785761567488,3.324785761567488,0.0,3.0,4.40571443774348,1.6874566232521575,2.193593537033665,1.0,0.15,0.4112630857650592,0.603744866902401,0.0,0.0,0.0808440058004924,0.3774473576314217,0.03748477013146562,0.0,3.3247857615674876,20200.0,479834153400.0,2025.0,4.0,15003243410.0,19229755285.0,0.2817065456781788,1579805028.0,1873913860.0,0.1861678034866971,64944817855.0,5950379397.0,5274496431.0,90.97250508690315,3.542982986710904,7.3883362714375265,550.0,11110000.0,220.0,4444000.0,165.0,3333000.0,165.0,3333000.0,5.016826586111954,,
425420,티에프이,BUY,전략 신규 편입 (rank=4),032602,전자부품 제조업,3.212865933090549,3.212865933090549,0.0,4.0,3.863937580103367,1.5818483115435626,2.08806705398175,1.0,0.15,0.6010818700044805,0.7,1.0,0.05,0.2741736894190931,0.2247988791088,0.08917505164036063,0.0,3.2128659330905496,58100.0,499056850000.0,2025.0,4.0,27219872546.0,37449464085.0,0.37581335187049775,4826605353.0,7333413860.0,0.5193730010351646,111742413458.0,19055611474.0,18106528316.0,27.56226048916312,4.570447527878399,4.466136308999427,190.0,11039000.0,76.0,4415600.0,57.0,3311700.0,57.0,3311700.0,5.006096525462274,,
098460,고영,BUY,전략 신규 편입 (rank=5),032902,특수 목적용 기계 제조업,3.209456100329831,3.209456100329831,0.0,5.0,5.056814388302362,1.8011839833658807,2.307232777595477,1.0,0.15,0.251005614690228,0.4181646568050199,1.0,0.05,0.2023496470250895,0.2840586659293341,0.04408646575106034,0.0,3.2094561003298305,24450.0,2131730142750.0,2025.0,4.0,60286386588.0,69145594228.0,0.14695204243280066,4696263718.0,6945453122.0,0.4789316654810568,232647218656.0,17342338477.0,14756087568.0,144.46445461416633,6.360229308943,9.162929843154703,453.0,11075850.0,181.0,4425450.0,136.0,3325200.0,136.0,3325200.0,5.001737535862405,,
171090,선익시스템,BUY,전략 신규 편입 (rank=6),032902,특수 목적용 기계 제조업,3.181108987664899,3.181108987664899,0.0,6.0,16.054092699958822,2.836390215977585,2.8,0.0,0.0,2.7579613134265983,0.7,0.0,0.0,0.9331366710194042,-0.3188910123351011,0.2661307089996847,0.0,3.181108987664899,83800.0,949440500000.0,2025.0,4.0,88763491261.0,221048965214.0,1.4903140026796382,19797084035.0,53561228179.0,1.7055109774907817,515761033577.0,111525548096.0,96523950618.0,9.836320352836307,6.602242018894425,1.8408534925860278,131.0,10977800.0,53.0,4441400.0,39.0,3268200.0,39.0,3268200.0,5.005332928414615,,
005690,파미셀,BUY,전략 신규 편입 (rank=7),032101,기초 의약물질 제조업,3.024429438351622,3.024429438351622,0.0,7.0,3.775957830994445,1.56359454669505,2.0698274327269823,0.0,0.0,0.6054405257357389,0.7,0.0,0.0,0.2380517062464205,0.2546020056246394,,1.0,3.024429438351622,14590.0,981277361400.0,2025.0,4.0,25647340058.0,34621733912.0,0.3499151893999502,8141453495.0,9617823565.0,0.1813398640558101,114061538479.0,34304034471.0,40288986397.0,24.355970431489137,7.921340456950899,8.603052128572369,760.0,11088400.0,304.0,4435360.0,228.0,3326520.0,228.0,3326520.0,5.008153100083945,,
005930,삼성전자,HOLD,기존 보유 상위 점수 유지 (rank=153),032604,통신 및 방송 장비 제조업,-1.9011007202560304,-1.4011007202560306,0.5,153.0,-3.65110639581233,-1.537105125880618,-2.2284697197736065,1.0,0.15,-0.0531521786297006,-0.1075726015702437,1.0,0.05,0.2618805082840025,0.2349416010878194,0.15048299728520784,0.0,-1.901100720256031,167200.0,1081724598060000.0,2025.0,4.0,86061747000000.0,93837371000000.0,0.09034936276624736,12166062000000.0,20073660000000.0,0.6499718643551217,333605938000000.0,43601051000000.0,45206805000000.0,23.928357645712854,2.4791982090442874,3.2425220142814126,33.0,5517600.0,23.0,3845600.0,10.0,1672000.0,0.0,0.0,5.000009410713866,in_target_cohort,scored_in_target_cohort
058470,리노공업,HOLD_REVIEW,평가 보류 유지 (no_feature_history),032602,전자부품 제조업,,,,,0.3392016081180602,,,0.0,,0.2506735649232621,,0.0,,0.07975774800642708,,,1.0,,94400.0,1486131075000.0,2025.0,4.0,96841827642.0,84759949290.0,-0.12475888411218013,48261344084.0,40353726844.0,-0.16384991736319252,372534084608.0,176997188289.0,151960670406.0,9.77970859847774,2.0324022923410374,3.989248598725632,50.0,4720000.0,35.0,3304000.0,15.0,1416000.0,0.0,0.0,5.000418236630041,not_in_target_cohort,no_feature_history
214150,클래시스,HOLD,기존 보유 상위 점수 유지 (rank=73),032701,의료용 기기 제조업,0.2013819026637257,0.7013819026637258,0.5,73.0,0.02710759449645228,0.0267466912781963,-0.1097160406895251,0.0,0.0,0.0376964852591452,0.0620167109802217,0.0,0.0,0.2447429934302943,0.2490812323730291,0.23264855787908,0.0,0.2013819026637257,50500.0,4153058780600.0,2025.0,4.0,82997291548.0,93425243822.0,0.1256420791510911,37618140937.0,51190151685.0,0.36078366474115164,336819637856.0,170600874067.0,131970250448.0,31.469659006492698,7.528096931490888,12.330215681710195,378.0,19089000.0,265.0,13382500.0,113.0,5706500.0,0.0,0.0,5.012775558873458,in_target_cohort,scored_in_target_cohort
