ticker,industry_code,industry_name
352910,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
053980,105802,소프트웨어 개발 및 공급업
036220,032701,의료용 기기 제조업
052420,032202,플라스틱제품 제조업
332190,032701,의료용 기기 제조업
052300,074608,상품 종합 도매업
039200,032102,의약품 제조업
226400,032701,의료용 기기 제조업
031510,033003,자동차 신품 부품 제조업
342870,074703,가전제품 및 정보통신장비 소매업
368970,031009,동물용 사료 및 조제식품 제조업
138080,032604,통신 및 방송 장비 제조업
080580,032602,전자부품 제조업
067170,033004,자동차 재제조 부품 제조업
353590,074502,자동차 부품 및 내장품 판매업
173130,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
440320,105802,소프트웨어 개발 및 공급업
049480,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
394280,105802,소프트웨어 개발 및 공급업
476060,137001,자연과학 및 공학 연구개발업
382150,137001,자연과학 및 공학 연구개발업
005320,074604,생활용품 도매업
244460,032101,기초 의약물질 제조업
226950,137001,자연과학 및 공학 연구개발업
057540,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
131030,032102,의약품 제조업
082210,032703,사진장비 및 광학기기 제조업
109080,032604,통신 및 방송 장비 제조업
380540,032606,마그네틱 및 광학 매체 제조업
153710,032103,의료용품 및 기타 의약 관련제품 제조업
432430,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
338840,137001,자연과학 및 공학 연구개발업
122990,032602,전자부품 제조업
232140,032902,특수 목적용 기계 제조업
112290,032004,기타 화학제품 제조업
065530,106102,전기 통신업
067900,053802,폐기물 처리업
007530,032509,기타 금속 가공제품 제조업
155650,032602,전자부품 제조업
273640,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
251370,032001,기초 화학물질 제조업
209640,032902,특수 목적용 기계 제조업
096250,105802,소프트웨어 개발 및 공급업
273060,137103,광고업
019210,032509,기타 금속 가공제품 제조업
122870,105902,오디오물 출판 및 원판 녹음업
011690,032601,반도체 제조업
079000,032202,플라스틱제품 제조업
403490,031003,"과실, 채소 가공 및 저장 처리업"
316140,116409,기타 금융업
