ticker,industry_code,industry_name
039310,105802,소프트웨어 개발 및 공급업
075580,033101,선박 및 보트 건조업
067770,032602,전자부품 제조업
053450,032703,사진장비 및 광학기기 제조업
252500,032004,기타 화학제품 제조업
321370,032602,전자부품 제조업
347000,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
331920,032101,기초 의약물질 제조업
352770,032103,의료용품 및 기타 의약 관련제품 제조업
471820,031008,기타 식품 제조업
049180,032101,기초 의약물질 제조업
299660,137001,자연과학 및 공학 연구개발업
108860,105802,소프트웨어 개발 및 공급업
208370,032701,의료용 기기 제조업
318160,031309,기타 섬유제품 제조업
308430,032102,의약품 제조업
068270,032101,기초 의약물질 제조업
068760,032102,의약품 제조업
068940,032602,전자부품 제조업
007720,074608,상품 종합 도매업
290690,032804,전구 및 조명장치 제조업
950200,137309,"그외 기타 전문, 과학 및 기술 서비스업"
032680,106309,기타 정보 서비스업
258790,105802,소프트웨어 개발 및 공급업
066910,074607,기타 전문 도매업
215090,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
336370,032602,전자부품 제조업
248070,032602,전자부품 제조업
035610,137105,회사 본부 및 경영 컨설팅 서비스업
357780,032004,기타 화학제품 제조업
036830,137105,회사 본부 및 경영 컨설팅 서비스업
304100,105802,소프트웨어 개발 및 공급업
328380,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
004430,032004,기타 화학제품 제조업
086980,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
017550,032902,특수 목적용 기계 제조업
050960,105802,소프트웨어 개발 및 공급업
126720,064202,건물설비 설치 공사업
084180,032901,일반 목적용 기계 제조업
253840,032103,의료용품 및 기타 의약 관련제품 제조업
185190,074602,산업용 농·축산물 및 동·식물 도매업
298830,105802,소프트웨어 개발 및 공급업
236200,032604,통신 및 방송 장비 제조업
094840,032604,통신 및 방송 장비 제조업
192440,033309,그외 기타 제품 제조업
424960,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
099440,032902,특수 목적용 기계 제조업
053210,106002,텔레비전 방송업
276040,105802,소프트웨어 개발 및 공급업
204210,126801,부동산 임대 및 공급업
060240,033101,선박 및 보트 건조업
115570,032202,플라스틱제품 제조업
078860,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
330730,116409,기타 금융업
352090,032202,플라스틱제품 제조업
253450,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
408900,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
415380,074705,기타 생활용품 소매업
026890,116402,신탁업 및 집합투자업
013810,032902,특수 목적용 기계 제조업
347700,105802,소프트웨어 개발 및 공급업
049830,032509,기타 금속 가공제품 제조업
020710,137302,전문디자인업
033170,032601,반도체 제조업
048870,032701,의료용 기기 제조업
025320,032602,전자부품 제조업
134790,033201,가구 제조업
340810,105802,소프트웨어 개발 및 공급업
269620,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
056090,032701,의료용 기기 제조업
429270,032601,반도체 제조업
418250,105802,소프트웨어 개발 및 공급업
131090,105802,소프트웨어 개발 및 공급업
462870,105802,소프트웨어 개발 및 공급업
016590,031702,"골판지, 종이 상자 및 종이용기 제조업"
290520,032902,특수 목적용 기계 제조업
029530,032603,컴퓨터 및 주변장치 제조업
004970,010301,어로 어업
001000,126801,부동산 임대 및 공급업
025870,074603,음·식료품 및 담배 도매업
215600,137001,자연과학 및 공학 연구개발업
065350,032805,가정용 기기 제조업
416180,033003,자동차 신품 부품 제조업
011930,032601,반도체 제조업
004170,074701,종합 소매업
035510,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
031430,074704,"섬유, 의복, 신발 및 가죽제품 소매업"
031440,095601,음식점업
006880,074602,산업용 농·축산물 및 동·식물 도매업
162300,032401,1차 철강 제조업
002800,032102,의약품 제조업
472220,116601,금융 지원 서비스업
000091,116601,금융 지원 서비스업
005800,031401,봉제의복 제조업
001720,116601,금융 지원 서비스업
009270,031401,봉제의복 제조업
017000,064101,건물 건설업
002700,074605,기계장비 및 관련 물품 도매업
012790,032102,의약품 제조업
138070,032509,기타 금속 가공제품 제조업
226330,105802,소프트웨어 개발 및 공급업
002870,074607,기타 전문 도매업
019170,032102,의약품 제조업
481850,116402,신탁업 및 집합투자업
404990,126801,부동산 임대 및 공급업
293940,126801,부동산 임대 및 공급업
452980,116601,금융 지원 서비스업
474660,116601,금융 지원 서비스업
474930,116601,금융 지원 서비스업
487360,116601,금융 지원 서비스업
487830,116601,금융 지원 서비스업
496070,116601,금융 지원 서비스업
055550,116409,기타 금융업
056700,032202,플라스틱제품 제조업
187270,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
004080,074605,기계장비 및 관련 물품 도매업
243840,032802,일차전지 및 이차전지 제조업
257720,074608,상품 종합 도매업
222800,032602,전자부품 제조업
