ticker,name,action,reason,score,score_adj,hold_bonus_applied,score_rank,op_acc2,op_acc2_log1p,contrib_op_log,op_growth_streak2,contrib_op_streak,rev_acc2,contrib_rev,rev_growth_streak2,contrib_rev_streak,debt_log,contrib_debt,cfo_to_assets,cfo_isnull,score_rebuilt,price,mcap,year,quarter,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,revenue,op_income,net_income,per,pbr,psr,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps,cohort_status,score_availability_reason,industry_code,industry_name,industry4
098460,고영,BUY,전략 신규 편입 (rank=4),3.287593834218937,3.287593834218937,0.0,4.0,5.056814388302362,1.8011839833658807,2.3877974439691103,1,0.15,0.251005614690228,0.4151126553664516,1,0.05,0.2023496470250895,0.2846837348833755,0.0440864657510603,0,3.287593834218937,27300,2131730142750.0,2025,4,60286386588.0,69145594228.0,0.1469520424328006,4696263718.0,6945453122.0,0.4789316654810568,232647218656.0,17342338477.0,14756087568.0,144.46445461416633,6.360229308943,9.162929843154703,260,7098000.0,104,2839200.0,78,2129400.0,78,2129400.0,5.000996814504023,,,032902,특수 목적용 기계 제조업,032902
100840,SNT에너지,BUY,전략 신규 편입 (rank=7),2.983210090323704,2.983210090323704,0.0,7.0,3.934856679672202,1.596323630857286,2.1760804729685863,0,0.0,1.1457911592997267,0.7,1,0.05,0.4806543366874994,0.0571296173551172,0.1746086939735732,0,2.983210090323703,48200,980269114200.0,2025,4,148299040553.0,201884235798.0,0.3613320426429151,24317080233.0,46752685574.0,0.9226274341338602,606119987434.0,111313927765.0,84373067879.0,11.6182703656789,2.68755352986315,1.6172855779759958,147,7085400.0,59,2843800.0,44,2120800.0,44,2120800.0,5.003010973811369,,,032901,일반 목적용 기계 제조업,032901
353200,대덕전자,BUY,전략 신규 편입 (rank=8),2.9519468791680747,2.9519468791680747,0.0,8.0,3.882902995542157,1.5857399191320751,2.1651425273828964,1,0.15,0.2133497499140821,0.3592193585399511,1,0.05,0.272182914576249,0.2275849932452278,0.0607396628346708,0,2.9519468791680747,85400,2841473187500.0,2025,4,286173331095.0,317887737499.0,0.1108223686765272,24447836803.0,28949052994.0,0.1841151111761207,1065294559811.0,49061483387.0,47605327690.0,59.68813419378859,3.166674297271026,2.667312210816248,83,7088200.0,33,2818200.0,25,2135000.0,25,2135000.0,5.000627225087096,,,032602,전자부품 제조업,032602
005930,삼성전자,SELL,전략 탈락 (universe_rank=144),-1.934157553584053,-1.434157553584053,0.5,144.0,-3.65110639581233,-1.537105125880618,-2.2622232646697373,1,0.15,-0.0531521786297006,-0.1079429812897789,1,0.05,0.2618805082840025,0.2360086923754633,0.1504829972852078,0,-1.9341575535840527,179700,1081724598060000.0,2025,4,86061747000000.0,93837371000000.0,0.0903493627662473,12166062000000.0,20073660000000.0,0.6499718643551217,333605938000000.0,43601051000000.0,45206805000000.0,23.92835764571285,2.4791982090442874,3.2425220142814126,100,17970000.0,70,12579000.0,30,5391000.0,0,0.0,5.000027907256776,in_target_cohort,scored_in_target_cohort,032604,통신 및 방송 장비 제조업,032604
214150,클래시스,SELL,전략 탈락 (universe_rank=68),0.233922258674435,0.7339222586744351,0.5,68.0,0.0271075944964522,0.0267466912781963,-0.0767162769681067,0,0.0,0.0376964852591452,0.0606174596673143,0,0.0,0.2447429934302943,0.2500210759752274,0.23264855787908,0,0.2339222586744349,54000,4153058780600.0,2025,4,82997291548.0,93425243822.0,0.1256420791510911,37618140937.0,51190151685.0,0.3607836647411516,336819637856.0,170600874067.0,131970250448.0,31.469659006492694,7.528096931490888,12.330215681710197,600,32400000.0,420,22680000.0,180,9720000.0,0,0.0,5.018971091290887,in_target_cohort,scored_in_target_cohort,032701,의료용 기기 제조업,032701
041920,메디아나,HOLD,기존 보유 상위 점수 유지 (rank=3),3.398982213481918,3.898982213481918,0.5,3.0,4.40571443774348,1.6874566232521575,2.2702636610368905,1,0.15,0.4112630857650592,0.6014928924480875,0,0.0,0.0808440058004924,0.3772256599969405,0.0374847701314656,0,3.398982213481918,19900,479834153400.0,2025,4,15003243410.0,19229755285.0,0.2817065456781788,1579805028.0,1873913860.0,0.1861678034866971,64944817855.0,5950379397.0,5274496431.0,90.97250508690315,3.542982986710904,7.3883362714375265,207,4119300.0,83,1651700.0,62,1233800.0,62,1233800.0,5.005897901970507,in_target_cohort,scored_in_target_cohort,032701,의료용 기기 제조업,032701
042000,카페24,HOLD,전략 유지 (rank=9),2.788513765251271,3.288513765251271,0.5,9.0,11.546736281844607,2.529460574533512,2.8,0,0.0,-0.0469887339666941,-0.0965073375968551,0,0.0,0.4465423140237413,0.085021102848126,0.1986301968600141,0,2.7885137652512704,27800,823391183300.0,2025,4,76773795757.0,87319520287.0,0.1373609892023408,10043542279.0,12989119490.0,0.2932807100497694,314764225560.0,40226994367.0,39063119745.0,21.07847987244778,3.096434646915239,2.615898238864652,150,4170000.0,60,1668000.0,45,1251000.0,45,1251000.0,5.011844692940058,in_target_cohort,scored_in_target_cohort,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301
060280,큐렉소,HOLD,기존 보유 상위 점수 유지 (rank=2),3.6266150852589103,4.12661508525891,0.5,2.0,4.721379518579405,1.7442099508906124,2.3289165066201267,1,0.15,0.580228132847816,0.7,1,0.05,0.0495453562144527,0.3976985786387838,-0.1113172607625563,0,3.62661508525891,17460,716609425600.0,2025,4,17227825501.0,20799882849.0,0.2073423223257431,341181360.0,1383167831.0,3.0540545093084805,74531816400.0,2361804478.0,2771488547.0,258.56481578309047,7.445372836590382,9.614812307190732,234,4085640.0,94,1641240.0,70,1222200.0,70,1222200.0,5.0019599342942245,in_target_cohort,scored_in_target_cohort,074708,기타 상품 전문 소매업,074708
131290,티에스이,HOLD,전략 유지 (rank=10),2.728178595844088,3.228178595844088,0.5,10.0,17.99578020197024,2.94421685986663,2.8,0,0.0,-0.1646903375082116,-0.3019125380244281,0,0.0,0.2691178384704384,0.2300911338685163,0.0798807496502777,0,2.728178595844088,110300,962344323000.0,2025,4,104399326045.0,123856058356.0,0.186368370832331,11481525703.0,19770552249.0,0.7219446927540445,428900789083.0,49172057097.0,40043908888.0,24.03222736550544,2.071500437562684,2.243745750753956,37,4081100.0,15,1654500.0,11,1213300.0,11,1213300.0,5.003382137245329,in_target_cohort,scored_in_target_cohort,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702
171090,선익시스템,HOLD,전략 유지 (rank=6),3.187160220105933,3.6871602201059335,0.5,6.0,16.054092699958822,2.836390215977585,2.8,0,0.0,2.7579613134265983,0.7,0,0.0,0.9331366710194042,-0.3128397798940665,0.2661307089996847,0,3.187160220105933,92800,949440500000.0,2025,4,88763491261.0,221048965214.0,1.4903140026796382,19797084035.0,53561228179.0,1.7055109774907815,515761033577.0,111525548096.0,96523950618.0,9.836320352836308,6.602242018894425,1.840853492586028,43,3990400.0,17,1577600.0,13,1206400.0,13,1206400.0,5.001810147844181,in_target_cohort,scored_in_target_cohort,032902,특수 목적용 기계 제조업,032902
