account,source_file
매도가능금융자산처분손실,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산처분이익,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
외화환산손실,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
외화환산이익,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
감가상각비,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유형자산처분손실,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유형자산처분이익,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
무형자산상각비,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
대손상각비(환입),finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
주식보상비용,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
하자보수비(환입),finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
지분법손실,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
무형자산손상차손(환입),finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타의대손상각비,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
지분법적용투자주식손상차손,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
운전자본의 변동,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
퇴직금지급,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
퇴직보험예치금,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
영업에서 창출된 현금,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
법인세납부,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
투자활동현금흐름,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
투자활동으로인한현금유입액,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
이자수취,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타유동금융자산의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
단기매매금융자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(유동)의 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(비유동)의 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
통화선도의 결제,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유형자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
무형자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
보증금의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
단기대여금의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
장기대여금의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
투자활동으로인한현금유출액,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타유동금융자산의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(유동)의 취득,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(비유동)의 취득,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
보증금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유형자산의 취득,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
무형자산의 취득,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
장기미수금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
단기대여금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
장기대여금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
재무활동현금흐름,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
재무활동으로인한현금유입액,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
신주인수권행사,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
단기차입금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
장기차입금의 증가,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자기신주인수권 처분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유상증자,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
이자의지급,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
재무활동으로인한현금유출액,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
단기차입금의 감소,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
주식매수선택권의 행사,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
신주인수권부사채의 상환,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자기신주인수권 취득,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
배당금 지급,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
현금및현금성자산에 대한 환율변동효과,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
현금및현금성자산의순증가(감소),finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기초현금및현금성자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기말현금및현금성자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기초자본,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
연결범위변동,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
주식선택권,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
주식선택권행사,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자기신주인수권,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
현금배당,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기말자본,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유동자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
현금및현금성자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타금융자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매출채권,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타채권,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
재고자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타유동자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
비유동자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
비유동매도가능금융자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
유형자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
무형자산,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타비유동채권,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
