ticker,industry4,industry_name,name,market,asof
012450,31321,"항공기,우주선 및 부품 제조업",,,2025-11-16
012510,62022,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,2025-11-16
012630,649,기타 금융업,,,2025-11-16
012750,75320,"경비, 경호 및 탐정업",,,2025-11-16
014620,24133,1차 철강 제조업,,,2025-11-16
014680,20129,기초 화학물질 제조업,,,2025-11-16
015750,303,자동차 신품 부품 제조업,,,2025-11-16
015760,35120,전기업,,,2025-11-16
016360,66121,금융 지원 서비스업,,,2025-11-16
016610,66121,금융 지원 서비스업,,,2025-11-16
017670,61220,전기 통신업,,,2025-11-16
017800,29162,일반 목적용 기계 제조업,,,2025-11-16
017960,2512,"구조용 금속제품, 탱크 및 증기발생기 제조업",,,2025-11-16
018290,204,기타 화학제품 제조업,,,2025-11-16
018670,46713,기타 전문 도매업,,,2025-11-16
018880,29172,일반 목적용 기계 제조업,,,2025-11-16
021240,969,그외 기타 개인 서비스업,,,2025-11-16
023160,2413,1차 철강 제조업,,,2025-11-16
023530,47111,종합 소매업,,,2025-11-16
023590,631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",,,2025-11-16
024110,64121,은행 및 저축기관,,,2025-11-16
025320,2629,전자부품 제조업,,,2025-11-16
025980,551,일반 및 생활 숙박시설 운영업,,,2025-11-16
027360,649,기타 금융업,,,2025-11-16
028050,72129,"건축기술, 엔지니어링 및 관련 기술 서비스업",,,2025-11-16
028300,213,의료용품 및 기타 의약 관련제품 제조업,,,2025-11-16
028670,50112,해상 운송업,,,2025-11-16
029780,64913,기타 금융업,,,2025-11-16
030000,71310,광고업,,,2025-11-16
030200,612,전기 통신업,,,2025-11-16
030520,582,소프트웨어 개발 및 공급업,,,2025-11-16
030530,201,기초 화학물질 제조업,,,2025-11-16
030610,66121,금융 지원 서비스업,,,2025-11-16
031980,29271,특수 목적용 기계 제조업,,,2025-11-16
032190,46510,기계장비 및 관련 물품 도매업,,,2025-11-16
032350,75210,여행사 및 기타 여행보조 서비스업,,,2025-11-16
032640,61220,전기 통신업,,,2025-11-16
032820,281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,,2025-11-16
033100,2811,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,,2025-11-16
033240,26292,전자부품 제조업,,,2025-11-16
033500,201,기초 화학물질 제조업,,,2025-11-16
033780,12000,담배 제조업,,,2025-11-16
034020,29119,일반 목적용 기계 제조업,,,2025-11-16
034220,2621,전자부품 제조업,,,2025-11-16
034310,715,회사 본부 및 경영 컨설팅 서비스업,,,2025-11-16
034730,64992,기타 금융업,,,2025-11-16
035250,91249,유원지 및 기타 오락관련 서비스업,,,2025-11-16
035420,63120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",,,2025-11-16
035760,602,텔레비전 방송업,,,2025-11-16
035900,59201,오디오물 출판 및 원판 녹음업,,,2025-11-16
036460,35200,연료용 가스 제조 및 배관공급업,,,2025-11-16
036530,64992,기타 금융업,,,2025-11-16
036540,2611,반도체 제조업,,,2025-11-16
036570,582,소프트웨어 개발 및 공급업,,,2025-11-16
036620,467,기타 전문 도매업,,,2025-11-16
036810,2629,전자부품 제조업,,,2025-11-16
036830,715,회사 본부 및 경영 컨설팅 서비스업,,,2025-11-16
036930,29229,특수 목적용 기계 제조업,,,2025-11-16
038500,239,기타 비금속 광물제품 제조업,,,2025-11-16
039030,29271,특수 목적용 기계 제조업,,,2025-11-16
039200,212,의약품 제조업,,,2025-11-16
039440,29271,특수 목적용 기계 제조업,,,2025-11-16
039490,66121,금융 지원 서비스업,,,2025-11-16
041190,6491,기타 금융업,,,2025-11-16
041510,59201,오디오물 출판 및 원판 녹음업,,,2025-11-16
041960,21230,의약품 제조업,,,2025-11-16
042520,213,의료용품 및 기타 의약 관련제품 제조업,,,2025-11-16
042660,3111,선박 및 보트 건조업,,,2025-11-16
042700,29271,특수 목적용 기계 제조업,,,2025-11-16
043260,26291,전자부품 제조업,,,2025-11-16
044490,25912,기타 금속 가공제품 제조업,,,2025-11-16
045100,721,"건축기술, 엔지니어링 및 관련 기술 서비스업",,,2025-11-16
047040,41112,건물 건설업,,,2025-11-16
047050,461,상품 중개업,,,2025-11-16
048410,204,기타 화학제품 제조업,,,2025-11-16
050890,2642,통신 및 방송 장비 제조업,,,2025-11-16
051600,42311,전기 및 통신 공사업,,,2025-11-16
051900,20422,기타 화학제품 제조업,,,2025-11-16
