industry4,industry_name,source,n,name_candidates,has_conflict,asof
21212,의약품 제조업,KIND+local_code_join,1,1,False,2025-11-16
21230,의약품 제조업,KIND+local_code_join,1,1,False,2025-11-16
21309,의료용품 및 기타 의약 관련제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
22232,플라스틱제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
23999,기타 비금속 광물제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
24133,1차 철강 제조업,KIND+local_code_join,1,1,False,2025-11-16
24199,1차 철강 제조업,KIND+local_code_join,1,1,False,2025-11-16
24213,1차 비철금속 제조업,KIND+local_code_join,1,1,False,2025-11-16
25912,기타 금속 가공제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
26291,전자부품 제조업,KIND+local_code_join,1,1,False,2025-11-16
26292,전자부품 제조업,KIND+local_code_join,1,1,False,2025-11-16
26299,전자부품 제조업,KIND+local_code_join,2,1,False,2025-11-16
27212,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KIND+local_code_join,1,1,False,2025-11-16
27219,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KIND+local_code_join,1,1,False,2025-11-16
27309,사진장비 및 광학기기 제조업,KIND+local_code_join,1,1,False,2025-11-16
28111,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KIND+local_code_join,2,1,False,2025-11-16
28121,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KIND+local_code_join,1,1,False,2025-11-16
28201,일차전지 및 이차전지 제조업,KIND+local_code_join,1,1,False,2025-11-16
28202,일차전지 및 이차전지 제조업,KIND+local_code_join,3,1,False,2025-11-16
28302,절연선 및 케이블 제조업,KIND+local_code_join,2,1,False,2025-11-16
28519,가정용 기기 제조업,KIND+local_code_join,1,1,False,2025-11-16
28520,가정용 기기 제조업,KIND+local_code_join,1,1,False,2025-11-16
29111,일반 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
29119,일반 목적용 기계 제조업,KIND+local_code_join,2,1,False,2025-11-16
29162,일반 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
29172,일반 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
29176,일반 목적용 기계 제조업,KIND+local_code_join,2,1,False,2025-11-16
29229,특수 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
29271,특수 목적용 기계 제조업,KIND+local_code_join,15,1,False,2025-11-16
29280,특수 목적용 기계 제조업,KIND+local_code_join,2,1,False,2025-11-16
29299,특수 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
30121,자동차용 엔진 및 자동차 제조업,KIND+local_code_join,2,1,False,2025-11-16
31113,선박 및 보트 건조업,KIND+local_code_join,1,1,False,2025-11-16
31321,"항공기,우주선 및 부품 제조업",KIND+local_code_join,1,1,False,2025-11-16
35120,전기업,KIND+local_code_join,1,1,False,2025-11-16
35200,연료용 가스 제조 및 배관공급업,KIND+local_code_join,2,1,False,2025-11-16
35300,"증기, 냉·온수 및 공기조절 공급업",KIND+local_code_join,1,1,False,2025-11-16
41112,건물 건설업,KIND+local_code_join,1,1,False,2025-11-16
41221,토목 건설업,KIND+local_code_join,2,1,False,2025-11-16
42311,전기 및 통신 공사업,KIND+local_code_join,1,1,False,2025-11-16
46431,생활용품 도매업,KIND+local_code_join,1,1,False,2025-11-16
46510,기계장비 및 관련 물품 도매업,KIND+local_code_join,1,1,False,2025-11-16
46713,기타 전문 도매업,KIND+local_code_join,1,1,False,2025-11-16
46800,상품 종합 도매업,KIND+local_code_join,2,1,False,2025-11-16
47111,종합 소매업,KIND+local_code_join,3,1,False,2025-11-16
47812,기타 상품 전문 소매업,KIND+local_code_join,1,1,False,2025-11-16
