23:48:28 [INFO] year range 2015..2024
23:48:28 [INFO] mode=missing_only metric=revenue_op merge_existing=False
23:48:28 [INFO] primary fs_div=CFS (fallback enabled)
23:48:28 [INFO] universe=data\processed\universe__asof=2025-11-30__src=phase1__mcap_top=800__trd_bot=0.1__v=1.parquet rows=419
23:48:28 [INFO] union tickers rows=474
23:48:28 [INFO] input tickers rows=474 mode=missing_only
23:48:28 [INFO] corp_codes rows=3914
23:48:28 [CHECK] corp_code missing ratio=0.000
23:48:28 [INFO] corp_code usable rows: 474 -> 474
23:48:28 [INFO] no existing fundamentals cache at data\processed\fundamentals_quarterly__asof=2025-11-30__src=dart__fs=CFS__y=2015-2024__v=1.parquet
23:48:28 [INFO] no existing rows; all ticker-year pairs are missing (4740)
23:48:28 [1/4740] 005930 삼성전자 corp=00126380
23:48:39 [2/4740] 005930 삼성전자 corp=00126380
23:48:49 [3/4740] 005930 삼성전자 corp=00126380
23:48:59 [4/4740] 005930 삼성전자 corp=00126380
23:49:10 [5/4740] 005930 삼성전자 corp=00126380
23:49:20 [6/4740] 005930 삼성전자 corp=00126380
23:49:30 [7/4740] 005930 삼성전자 corp=00126380
23:49:40 [8/4740] 005930 삼성전자 corp=00126380
23:49:51 [9/4740] 005930 삼성전자 corp=00126380
23:50:01 [10/4740] 005930 삼성전자 corp=00126380
23:50:11 [11/4740] 000660 SK하이닉스 corp=00164779
23:50:22 [12/4740] 000660 SK하이닉스 corp=00164779
23:50:33 [13/4740] 000660 SK하이닉스 corp=00164779
23:50:43 [14/4740] 000660 SK하이닉스 corp=00164779
23:50:53 [15/4740] 000660 SK하이닉스 corp=00164779
23:51:04 [16/4740] 000660 SK하이닉스 corp=00164779
23:51:14 [17/4740] 000660 SK하이닉스 corp=00164779
23:51:24 [18/4740] 000660 SK하이닉스 corp=00164779
23:51:34 [19/4740] 000660 SK하이닉스 corp=00164779
23:51:45 [20/4740] 000660 SK하이닉스 corp=00164779
23:51:55 [21/4740] 207940 삼성바이오로직스 corp=00877059
23:52:08 [22/4740] 207940 삼성바이오로직스 corp=00877059
23:52:19 [23/4740] 207940 삼성바이오로직스 corp=00877059
23:52:29 [24/4740] 207940 삼성바이오로직스 corp=00877059
23:52:39 [25/4740] 207940 삼성바이오로직스 corp=00877059
23:52:49 [26/4740] 207940 삼성바이오로직스 corp=00877059
23:53:00 [27/4740] 207940 삼성바이오로직스 corp=00877059
23:53:10 [28/4740] 207940 삼성바이오로직스 corp=00877059
23:53:20 [29/4740] 207940 삼성바이오로직스 corp=00877059
23:53:30 [30/4740] 207940 삼성바이오로직스 corp=00877059
23:53:41 [31/4740] 005380 현대자동차 corp=00164742
23:53:52 [32/4740] 005380 현대자동차 corp=00164742
23:54:02 [33/4740] 005380 현대자동차 corp=00164742
23:54:12 [34/4740] 005380 현대자동차 corp=00164742
23:54:23 [35/4740] 005380 현대자동차 corp=00164742
23:54:33 [36/4740] 005380 현대자동차 corp=00164742
23:54:43 [37/4740] 005380 현대자동차 corp=00164742
23:54:54 [38/4740] 005380 현대자동차 corp=00164742
23:55:04 [39/4740] 005380 현대자동차 corp=00164742
23:55:14 [40/4740] 005380 현대자동차 corp=00164742
23:55:24 [41/4740] 373220 LG에너지솔루션 corp=01515323
23:55:38 [42/4740] 373220 LG에너지솔루션 corp=01515323
23:55:48 [43/4740] 373220 LG에너지솔루션 corp=01515323
23:55:59 [44/4740] 373220 LG에너지솔루션 corp=01515323
23:56:09 [45/4740] 373220 LG에너지솔루션 corp=01515323
23:56:19 [46/4740] 373220 LG에너지솔루션 corp=01515323
23:56:29 [47/4740] 373220 LG에너지솔루션 corp=01515323
23:56:39 [48/4740] 373220 LG에너지솔루션 corp=01515323
23:56:50 [49/4740] 373220 LG에너지솔루션 corp=01515323
23:57:00 [50/4740] 373220 LG에너지솔루션 corp=01515323
23:57:10 [51/4740] 402340 SK스퀘어 corp=01596425
23:57:25 [52/4740] 402340 SK스퀘어 corp=01596425
23:57:35 [53/4740] 402340 SK스퀘어 corp=01596425
23:57:46 [54/4740] 402340 SK스퀘어 corp=01596425
23:57:56 [55/4740] 402340 SK스퀘어 corp=01596425
23:58:06 [56/4740] 402340 SK스퀘어 corp=01596425
23:58:16 [57/4740] 402340 SK스퀘어 corp=01596425
23:58:26 [58/4740] 402340 SK스퀘어 corp=01596425
23:58:36 [59/4740] 402340 SK스퀘어 corp=01596425
23:58:46 [60/4740] 402340 SK스퀘어 corp=01596425
23:58:57 [61/4740] 105560 KB금융 corp=00688996
23:59:12 [62/4740] 105560 KB금융 corp=00688996
23:59:22 [63/4740] 105560 KB금융 corp=00688996
23:59:32 [64/4740] 105560 KB금융 corp=00688996
23:59:43 [65/4740] 105560 KB금융 corp=00688996
23:59:53 [66/4740] 105560 KB금융 corp=00688996
00:00:03 [67/4740] 105560 KB금융 corp=00688996
00:00:13 [68/4740] 105560 KB금융 corp=00688996
00:00:23 [69/4740] 105560 KB금융 corp=00688996
00:00:34 [70/4740] 105560 KB금융 corp=00688996
00:00:44 [71/4740] 000270 기아 corp=00106641
00:00:55 [72/4740] 000270 기아 corp=00106641
00:01:05 [73/4740] 000270 기아 corp=00106641
00:01:15 [74/4740] 000270 기아 corp=00106641
00:01:26 [75/4740] 000270 기아 corp=00106641
