23:27:28 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.parquet rows=474
23:27:28 [INFO] corp_codes rows=3913
23:27:28 [CHECK] corp_code missing ratio=0.000
23:27:28 [INFO] year range 2016..2025
23:41:35 [134/474] 023530 None corp=00120526
23:41:42 [135/474] 023590 None corp=00176914
23:41:48 [136/474] 024110 None corp=00149646
23:41:54 [137/474] 025320 None corp=00203023
23:42:00 [138/474] 025980 None corp=00161781
23:42:07 [139/474] 026960 None corp=00144395
23:42:13 [140/474] 027360 None corp=00156895
23:42:19 [141/474] 028050 None corp=00126308
23:42:26 [142/474] 028260 None corp=00149655
23:42:32 [143/474] 028300 None corp=00199252
23:42:38 [144/474] 028670 None corp=00122737
23:42:45 [145/474] 029780 None corp=00126292
23:42:51 [146/474] 030000 None corp=00148276
23:42:57 [147/474] 030190 None corp=00158325
23:43:04 [148/474] 030200 None corp=00190321
23:43:10 [149/474] 030520 None corp=00204262
23:43:16 [150/474] 030530 None corp=00216647
23:43:23 [151/474] 030610 None corp=00113359
23:43:29 [152/474] 031980 None corp=00208444
23:43:35 [153/474] 032190 None corp=00238782
23:43:41 [154/474] 032350 None corp=00231372
23:43:48 [155/474] 032640 None corp=00231363
23:43:55 [156/474] 032820 None corp=00231044
23:44:01 [157/474] 032830 None corp=00126256
23:44:07 [158/474] 033100 None corp=00185356
23:44:13 [159/474] 033240 None corp=00146861
23:44:19 [160/474] 033500 None corp=00231105
23:44:26 [161/474] 033780 None corp=00244455
23:44:33 [162/474] 034020 None corp=00159616
23:44:40 [163/474] 034220 None corp=00105873
23:44:47 [164/474] 034230 None corp=00171265
23:44:54 [165/474] 034310 None corp=00158316
23:45:01 [166/474] 034730 None corp=00181712
23:45:08 [167/474] 035250 None corp=00255619
23:45:15 [168/474] 035420 None corp=00266961
23:45:22 [169/474] 035720 None corp=00258801
23:45:29 [170/474] 035760 None corp=00265324
23:45:36 [171/474] 035900 None corp=00258689
23:45:43 [172/474] 036460 None corp=00261285
23:45:51 [173/474] 036530 None corp=00225159
23:45:58 [174/474] 036540 None corp=00301246
23:46:04 [175/474] 036570 None corp=00261443
23:46:11 [176/474] 036620 None corp=00261009
23:46:17 [177/474] 036810 None corp=00223434
23:46:24 [178/474] 036830 None corp=00247975
23:46:31 [179/474] 036930 None corp=00252135
23:46:38 [180/474] 038500 None corp=00239639
23:46:45 [181/474] 039030 None corp=00246417
23:46:52 [182/474] 039130 None corp=00269940
23:46:59 [183/474] 039200 None corp=00263654
23:47:06 [184/474] 039440 None corp=00298340
23:47:13 [185/474] 039490 None corp=00296290
23:47:19 [186/474] 041190 None corp=00231664
23:47:26 [187/474] 041510 None corp=00260930
23:47:33 [188/474] 041920 None corp=00273439
23:47:39 [189/474] 041960 None corp=00187415
23:47:45 [190/474] 042000 None corp=00260879
23:47:51 [191/474] 042520 None corp=00349060
23:47:58 [192/474] 042660 None corp=00111704
23:48:04 [193/474] 042700 None corp=00161383
23:48:10 [194/474] 043260 None corp=00317210
23:48:17 [195/474] 044490 None corp=00186799
23:48:23 [196/474] 045100 None corp=00216762
23:48:29 [197/474] 047040 None corp=00124540
23:48:35 [198/474] 047050 None corp=00124504
23:50:12 [199/474] 047810 None corp=00309503
23:50:20 [200/474] 048410 None corp=00313649
23:50:26 [201/474] 050890 None corp=00364403
23:50:34 [202/474] 051600 None corp=00159218
23:50:41 [203/474] 051900 None corp=00356370
23:50:48 [204/474] 051910 None corp=00356361
23:50:55 [205/474] 052400 None corp=00349732
23:51:02 [206/474] 052690 None corp=00159209
23:51:08 [207/474] 053610 None corp=00325112
23:51:15 [208/474] 053800 None corp=00298270
23:51:22 [209/474] 055550 None corp=00382199
23:51:29 [210/474] 056080 None corp=00234227
23:51:36 [211/474] 056190 None corp=00358271
23:51:43 [212/474] 057050 None corp=00412597
23:51:50 [213/474] 058470 None corp=00369657
23:51:56 [214/474] 058610 None corp=00220686
23:52:03 [215/474] 059090 None corp=00366942
23:52:10 [216/474] 060250 None corp=00357740
23:52:16 [217/474] 060280 None corp=00356802
23:52:22 [218/474] 060370 None corp=00225742
23:52:28 [219/474] 062040 None corp=00366438
23:52:34 [220/474] 064260 None corp=00389970
23:52:40 [221/474] 064350 None corp=00302926
23:52:47 [222/474] 064400 None corp=00139834
23:52:52 [223/474] 064760 None corp=00245472
23:52:58 [224/474] 064960 None corp=00398792
23:53:06 [225/474] 065350 None corp=00136226
23:53:13 [226/474] 066570 None corp=00401731
23:53:19 [227/474] 066970 None corp=00398701
23:53:25 [228/474] 067160 None corp=00399694
23:53:32 [229/474] 067310 None corp=00445054
23:53:38 [230/474] 068270 None corp=00413046
23:53:44 [231/474] 068760 None corp=00541349
23:53:50 [232/474] 069260 None corp=00426086
23:53:57 [233/474] 069620 None corp=00427483
23:54:03 [234/474] 069960 None corp=00428251
23:54:09 [235/474] 071050 None corp=00432102
23:54:15 [236/474] 071320 None corp=00159698
23:54:21 [237/474] 071970 None corp=00406046
23:54:28 [238/474] 073240 None corp=00481454
23:54:34 [239/474] 074600 None corp=00468374
23:54:40 [240/474] 075580 None corp=00415628
23:54:46 [241/474] 077970 None corp=00480455
23:54:53 [242/474] 078160 None corp=00453929
23:54:59 [243/474] 078600 None corp=00177816
23:55:05 [244/474] 078930 None corp=00500254
23:55:12 [245/474] 079160 None corp=00303873
23:55:18 [246/474] 079370 None corp=00442570
23:55:25 [247/474] 079550 None corp=00503668
23:55:31 [248/474] 079900 None corp=00372129
23:55:37 [249/474] 080220 None corp=00447487
23:55:43 [250/474] 081660 None corp=00195229
23:55:49 [251/474] 082270 None corp=00492894
23:55:56 [252/474] 082740 None corp=00361008
23:56:02 [253/474] 082920 None corp=00154718
23:56:08 [254/474] 083450 None corp=00540863
23:56:14 [255/474] 083650 None corp=00409788
23:56:21 [256/474] 084370 None corp=00531014
23:56:27 [257/474] 085620 None corp=00112332
23:56:33 [258/474] 085660 None corp=00525679
23:56:39 [259/474] 086280 None corp=00360595
23:56:46 [260/474] 086450 None corp=00114808
23:56:52 [261/474] 086520 None corp=00536541
23:56:58 [262/474] 086790 None corp=00547583
23:57:05 [263/474] 086900 None corp=00580199
23:57:11 [264/474] 087010 None corp=00415868
23:57:17 [265/474] 088350 None corp=00113058
23:57:23 [266/474] 089010 None corp=00371485
23:57:29 [267/474] 089030 None corp=00535676
23:57:35 [268/474] 089970 None corp=00544577
23:57:42 [269/474] 090360 None corp=00536523
23:57:48 [270/474] 090430 None corp=00583424
23:57:54 [271/474] 090460 None corp=00447609
23:58:01 [272/474] 090710 None corp=00540429
23:58:07 [273/474] 093370 None corp=00595191
23:58:13 [274/474] 094170 None corp=00695969
23:58:19 [275/474] 095340 None corp=00572905
23:58:26 [276/474] 095610 None corp=00524421
23:58:32 [277/474] 096530 None corp=00788773
23:58:38 [278/474] 096770 None corp=00631518
23:58:45 [279/474] 097230 None corp=00633835
23:58:51 [280/474] 097950 None corp=00635134
23:58:57 [281/474] 098460 None corp=00579999
23:59:03 [282/474] 099190 None corp=00550994
23:59:10 [283/474] 099320 None corp=00449254
23:59:16 [284/474] 100090 None corp=00480367
23:59:22 [285/474] 100790 None corp=00340096
23:59:28 [286/474] 100840 None corp=00648721
23:59:34 [287/474] 101490 None corp=00411048
23:59:40 [288/474] 102710 None corp=00530185
23:59:47 [289/474] 103140 None corp=00684714
23:59:53 [290/474] 103590 None corp=00683469
00:00:00 [291/474] 104830 None corp=00623661
00:00:06 [292/474] 105560 None corp=00688996
00:00:12 [293/474] 105630 None corp=00728638
00:00:18 [294/474] 105840 None corp=00173944
00:00:25 [295/474] 108320 None corp=00525934
00:00:31 [296/474] 108490 None corp=00946030
00:00:37 [297/474] 111770 None corp=00776820
00:00:44 [298/474] 112040 None corp=00444329
00:00:50 [299/474] 112610 None corp=00670340
00:00:56 [300/474] 114090 None corp=00557508
00:01:03 [301/474] 114810 None corp=00625942
00:01:09 [302/474] 115180 None corp=01042650
00:01:15 [303/474] 117730 None corp=00867098
00:01:21 [304/474] 119850 None corp=00626464
00:01:27 [305/474] 120110 None corp=00795135
00:01:33 [306/474] 121600 None corp=00439965
00:01:40 [307/474] 122640 None corp=00530556
00:01:46 [308/474] 122870 None corp=00613318
00:01:52 [309/474] 124500 None corp=00620868
00:01:58 [310/474] 126340 None corp=00563518
00:02:04 [311/474] 127120 None corp=00642541
00:02:11 [312/474] 128940 None corp=00828497
00:02:17 [313/474] 130660 None corp=00194947
00:02:23 [314/474] 131290 None corp=00372226
00:02:30 [315/474] 131970 None corp=00563545
00:02:35 [316/474] 137400 None corp=00612294
00:02:42 [317/474] 138040 None corp=00860332
00:02:48 [318/474] 138930 None corp=00858364
00:02:54 [319/474] 139130 None corp=00878915
00:03:00 [320/474] 139480 None corp=00872984
00:03:06 [321/474] 140410 None corp=00808022
00:03:13 [322/474] 140860 None corp=00244747
00:03:19 [323/474] 141080 None corp=00842619
00:03:25 [324/474] 145020 None corp=00888347
00:03:31 [325/474] 145720 None corp=00526599
00:03:37 [326/474] 160190 None corp=00650771
00:03:43 [327/474] 161390 None corp=00937324
00:03:50 [328/474] 161580 None corp=00938721
00:03:56 [329/474] 161890 None corp=00939331
00:04:02 [330/474] 166090 None corp=00660750
00:04:08 [331/474] 171090 None corp=00327819
00:04:15 [332/474] 174900 None corp=00991191
00:04:20 [333/474] 175330 None corp=00980122
00:04:27 [334/474] 178320 None corp=00838005
00:04:33 [335/474] 178920 None corp=00767460
00:04:39 [336/474] 180640 None corp=00983040
00:04:45 [337/474] 181710 None corp=00983271
00:04:51 [338/474] 183300 None corp=00997812
00:04:57 [339/474] 185750 None corp=00992871
00:05:04 [340/474] 189300 None corp=00664181
00:05:10 [341/474] 192080 None corp=01010110
00:05:17 [342/474] 192650 None corp=00415646
00:05:23 [343/474] 192820 None corp=01009789
00:05:29 [344/474] 195870 None corp=01032413
00:05:35 [345/474] 195940 None corp=01012066
00:05:41 [346/474] 196170 None corp=00989619
00:05:48 [347/474] 200710 None corp=00657002
00:05:54 [348/474] 204270 None corp=00447575
00:06:00 [349/474] 204320 None corp=01042775
00:06:07 [350/474] 206650 None corp=00927558
00:06:13 [351/474] 207940 None corp=00877059
00:06:19 [352/474] 211050 None corp=01013694
00:06:25 [353/474] 213420 None corp=01061558
00:06:31 [354/474] 214150 None corp=01061327
00:06:37 [355/474] 214320 None corp=00565154
00:06:43 [356/474] 214370 None corp=00549891
00:06:50 [357/474] 214430 None corp=00612489
00:06:56 [358/474] 214450 None corp=00970453
00:07:02 [359/474] 215600 None corp=00919966
00:07:09 [360/474] 218410 None corp=01078178
