ticker,name,score,score_rank,industry4,is_current,is_target,action,reason
240810,원익IPS,3.088777312440422,11.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
003160,디아이,3.0677007276507164,12.0,27212,0,0,CHECK,후보군 참고용 (비보유/비선정)
025980,아난티,2.99461215643094,13.0,551,0,0,CHECK,후보군 참고용 (비보유/비선정)
171090,선익시스템,2.8921417289054205,14.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
251270,넷마블,2.6495581276474014,15.0,5821,0,0,CHECK,후보군 참고용 (비보유/비선정)
126340,비나텍,2.6447770702616986,16.0,282,0,0,CHECK,후보군 참고용 (비보유/비선정)
000250,삼천당제약,2.6247368712631425,17.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
042000,카페24,2.5048959337519654,18.0,63112,0,0,CHECK,후보군 참고용 (비보유/비선정)
003620,KG모빌리티,2.449966883270477,19.0,301,0,0,CHECK,후보군 참고용 (비보유/비선정)
095610,테스,2.4071323613090336,20.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
039030,이오테크닉스,2.394937343917353,21.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
131290,티에스이,2.383727858088088,22.0,27212,0,0,CHECK,후보군 참고용 (비보유/비선정)
097230,HJ중공업,2.374528961502222,23.0,41221,0,0,CHECK,후보군 참고용 (비보유/비선정)
030200,케이티,2.333803673192461,24.0,612,0,0,CHECK,후보군 참고용 (비보유/비선정)
052400,코나아이,2.317196522267816,25.0,58221,0,0,CHECK,후보군 참고용 (비보유/비선정)
033240,자화전자,2.291243096087286,26.0,26292,0,0,CHECK,후보군 참고용 (비보유/비선정)
237690,에스티팜,2.1842297018050094,27.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
124500,아이티센글로벌,2.135918841229697,28.0,62021,0,0,CHECK,후보군 참고용 (비보유/비선정)
326030,에스케이바이오팜,2.117807920985764,29.0,7011,0,0,CHECK,후보군 참고용 (비보유/비선정)
018880,한온시스템,2.097317806610433,30.0,29172,0,0,CHECK,후보군 참고용 (비보유/비선정)
