ticker,name,score,score_rank,industry4,is_current,is_target,action,reason
009970,영원무역홀딩스,1.7086211897543582,71.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
457190,이수스페셜티케미컬,1.6315444423220002,72.0,20111,0,0,CHECK,후보군 참고용 (비보유/비선정)
277810,레인보우로보틱스,1.6299390705603876,73.0,29280,0,0,CHECK,후보군 참고용 (비보유/비선정)
004020,현대제철,1.607112147805183,74.0,2411,0,0,CHECK,후보군 참고용 (비보유/비선정)
004690,삼천리,1.5976231971611272,75.0,35200,0,0,CHECK,후보군 참고용 (비보유/비선정)
403870,HPSP,1.4759087366036518,76.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
051910,LG화학,1.4674441352929928,77.0,20111,0,0,CHECK,후보군 참고용 (비보유/비선정)
086520,에코프로,1.4086544851741103,78.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
041960,코미팜,1.3289387985797598,79.0,21230,0,0,CHECK,후보군 참고용 (비보유/비선정)
056080,유진로봇,1.3146224365559316,80.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
087010,펩트론,1.3021812378180089,81.0,211,0,0,CHECK,후보군 참고용 (비보유/비선정)
068760,셀트리온제약,1.2966366236470648,82.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
041510,에스엠,1.2953486713125526,83.0,59201,0,0,CHECK,후보군 참고용 (비보유/비선정)
003550,LG,1.290652417708688,84.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
036570,엔씨소프트,1.22183015675075,85.0,582,0,0,CHECK,후보군 참고용 (비보유/비선정)
035720,카카오,1.1856971607272395,86.0,63120,0,0,CHECK,후보군 참고용 (비보유/비선정)
358570,지아이이노베이션,1.1022360150762822,88.0,70113,0,0,CHECK,후보군 참고용 (비보유/비선정)
376300,디어유,1.0503569994527855,89.0,58222,0,0,CHECK,후보군 참고용 (비보유/비선정)
010130,고려아연,1.049033768122202,90.0,24213,0,0,CHECK,후보군 참고용 (비보유/비선정)
058610,에스피지,1.043316461138858,91.0,28111,0,0,CHECK,후보군 참고용 (비보유/비선정)
214450,파마리서치,1.0255708004939077,92.0,213,0,0,CHECK,후보군 참고용 (비보유/비선정)
000500,가온전선,1.0255273876288498,93.0,28302,0,0,CHECK,후보군 참고용 (비보유/비선정)
185750,종근당,0.9934775560820136,94.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
036810,에프에스티,0.9582284905087668,95.0,2629,0,0,CHECK,후보군 참고용 (비보유/비선정)
001060,JW중외제약,0.9127114874200846,96.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
023160,태광,0.8760260201529988,97.0,2413,0,0,CHECK,후보군 참고용 (비보유/비선정)
064960,SNT모티브,0.8753757764503415,98.0,303,0,0,CHECK,후보군 참고용 (비보유/비선정)
012630,HDC,0.8635163697470294,99.0,649,0,0,CHECK,후보군 참고용 (비보유/비선정)
025980,아난티,0.8103829846231081,100.0,551,0,0,CHECK,후보군 참고용 (비보유/비선정)
053800,안랩,0.8032682917153564,101.0,58221,0,0,CHECK,후보군 참고용 (비보유/비선정)
119850,지엔씨에너지,0.8025661082384874,102.0,28111,0,0,CHECK,후보군 참고용 (비보유/비선정)
069960,현대백화점,0.7946011393562679,103.0,47111,0,0,CHECK,후보군 참고용 (비보유/비선정)
060370,LS마린솔루션,0.7896300500873749,104.0,423,0,0,CHECK,후보군 참고용 (비보유/비선정)
007070,GS리테일,0.7865580981608317,105.0,47122,0,0,CHECK,후보군 참고용 (비보유/비선정)
