ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,rev_growth_streak2__contrib,score_adj,hold_bonus_applied,selection_bucket,kept_from_previous,rebalance_month_end,w,group_value,price_date,current_price
192080,105802,0,1,1,2016,01010110,더블유게임즈,2016-05-31,0.4650944690737143,0.4650944690737143,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.03849848439947489,-1.3288413402106125,247.0,1.0,0.4650944690737143,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.4650944690737143,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,105802,2016-05-31,34212.0
214370,032101,0,1,1,2016,00549891,케어젠,2016-05-31,0.45486002026101674,0.45486002026101674,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.054161289345080355,-1.2996000578886193,246.0,1.0,0.45486002026101674,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.45486002026101674,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032101,2016-05-31,18400.0
214450,032103,0,1,1,2016,00970453,파마리서치,2016-05-31,0.4510707025114588,0.4510707025114588,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.05996046288871186,-1.2887734357470253,245.0,1.0,0.4510707025114588,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.4510707025114588,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032103,2016-05-31,54000.0
145020,032101,0,1,1,2016,00888347,휴젤,2016-05-31,0.4393847078415421,0.4393847078415421,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07784471424997752,-1.2553848795472633,244.0,1.0,0.4393847078415421,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.4393847078415421,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032101,2016-05-31,115945.0
213420,032602,0,1,1,2016,01061558,덕산네오룩스,2016-05-31,0.431484171088207,0.431484171088207,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.08993569915768918,-1.2328119173948773,243.0,1.0,0.431484171088207,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.431484171088207,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032602,2016-05-31,12575.0
000240,116409,0,1,1,2016,00160047,한국앤컴퍼니,2016-05-31,0.4299825970738362,0.4299825970738362,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.09223370868696651,-1.2285217059252462,242.0,1.0,0.4299825970738362,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.4299825970738362,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,116409,2016-05-31,23350.0
023160,032401,0,1,1,2016,00153375,태광,2016-05-31,0.419796207800452,0.419796207800452,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.10782296329255671,-1.19941773657272,241.0,1.0,0.419796207800452,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.419796207800452,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032401,2016-05-31,9490.0
026960,074603,0,1,1,2016,00144395,동서,2016-05-31,0.4196777706162977,0.4196777706162977,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1080042196110617,-1.1990793446179935,240.0,1.0,0.4196777706162977,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.4196777706162977,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,074603,2016-05-31,33300.0
140860,032702,0,1,1,2016,00244747,파크시스템스,2016-05-31,0.41820520372145614,0.41820520372145614,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1102578366319062,-1.194872010632732,239.0,1.0,0.41820520372145614,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.41820520372145614,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032702,2016-05-31,14700.0
121600,032004,0,1,1,2016,00439965,나노신소재,2016-05-31,0.41701144360137415,0.41701144360137415,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.11208476764254255,-1.1914612674324976,238.0,1.0,0.41701144360137415,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.41701144360137415,0.0,new_or_rank_fill,0.0,2016-05-31,0.1,032004,2016-05-31,14250.0
214370,032101,0,1,2,2016,00549891,케어젠,2016-08-31,0.5178678771789447,0.5178678771789447,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.03427247828369094,-1.4796225062255564,151.0,1.0,0.5178678771789447,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0178678771789447,0.5,keep_current_top_n,1.0,2016-08-31,0.1,032101,2016-08-31,19152.0
192080,105802,0,1,2,2016,01010110,더블유게임즈,2016-08-31,0.5151275252981753,0.5151275252981753,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.03805862984857294,-1.471792929423358,150.0,1.0,0.5151275252981753,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0151275252981753,0.5,keep_current_top_n,1.0,2016-08-31,0.1,105802,2016-08-31,31968.0
214450,032103,0,1,2,2016,00970453,파마리서치,2016-08-31,0.5096195363928424,0.5096195363928424,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.04566863094355016,-1.456055818265264,149.0,1.0,0.5096195363928424,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0096195363928424,0.5,keep_current_top_n,1.0,2016-08-31,0.1,032103,2016-08-31,49550.0
145020,032101,0,1,2,2016,00888347,휴젤,2016-08-31,0.49816165492330994,0.49816165492330994,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.06149918035602988,-1.4233190140665999,148.0,1.0,0.49816165492330994,0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.9981616549233099,0.5,new_or_rank_fill,1.0,2016-08-31,0.1,032101,2016-08-31,142646.0
