"Pattern","File","Line","Text"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\backtest_quarterly_rebalance_v2.py","768","Path(rf""data/processed/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\backtest_quarterly_rebalance_v2.py","769","Path(rf""data/features/features_live/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\backtest_quarterly_rebalance_v2.py","770","Path(rf""data/features/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_fundamentals_quarterly.py","328","f""features_live__asof=*__metric={metric}__v=*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_krx_master.py","98","""features_live__asof=*__*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_prices.py","45","f""features_live__asof=*__metric={metric}__v=*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\make_prices_daily.py","47","f""features_live__asof=*__metric={metric}__v=*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\make_returns_monthly_fdr.py","42","p_feat = Path(f""data/processed/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet"")"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","222","root / f""features_live__asof={asof}__metric=revenue_op__v=2.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","223","root / f""features_live__asof={asof}__metric=revenue_op__v=3.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","768","Path(rf""data/processed/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","769","Path(rf""data/features/features_live/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","770","Path(rf""data/features/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_intermediate\build_corpcode_ticker_map.py","14","f""data/processed/features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet"""
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_fundamentals_quarterly.py","328","f""features_live__asof=*__metric={metric}__v=*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_krx_master.py","98","""features_live__asof=*__*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\make_features_live.py","645","p_out = FEATURES_LIVE_DIR / f""features_live__asof={args.asof}__metric={args.metric}__v={args.out_v}.parquet"""
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\make_features_live.py","668","meta_path = FEATURES_LIVE_DIR / f""features_live__asof={args.asof}__metric={args.metric}__v={args.out_v}.meta.json"""
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\make_prices_daily.py","47","f""features_live__asof=*__metric={metric}__v=*.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\live\run_live_rebalance.ps1","96","$FEATURES = "".\data\features\features_live\features_live__asof=${ASOF}__metric=${METRIC}__v=${FEATV}.parquet"""
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\live\score_latest_rebalance.py","380","Path(rf""data/features/features_live/features_live__asof={asof}__metric={metric}__v={feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\live\score_latest_rebalance.py","381","Path(rf""data/processed/features_live__asof={asof}__metric={metric}__v={feat_v}.parquet""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\archive_old_versions_safe.ps1","79","if ($name -match ""^features_live__asof=$([regex]::Escape($KeepAsof))__metric=revenue_op__v=$([regex]::Escape($KeepFeatV))(\.meta\.json|\.parquet)$"") {"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","156","""features_live_a"": DATA_DIR / ""features"" / ""features_live"" / f""features_live__asof={asof}__metric={metric}__v={feat_v}.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","157","""features_live_b"": DATA_DIR / ""processed"" / f""features_live__asof={asof}__metric={metric}__v={feat_v}.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","203","(DATA_DIR / ""processed"", f""features_live__asof={asof}__metric={metric}__v=*.parquet"", ""processed features_live""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","204","(DATA_DIR / ""features"" / ""features_live"", f""features_live__asof={asof}__metric={metric}__v=*.parquet"", ""features/features_live""),"
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\factor_ic_analyzer.py","22","p = PRO / f""features_live__asof={asof}__metric={metric}__v={feat_v}.parquet"""
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\step7_archive_and_prune_processed.ps1","65","""features_live__asof=$ASOF__metric=$Metric__v=2.parquet"","
"features_live__asof","C:\Users\chanw\ai_inv_adv\scripts\ops\validate_run_outputs.py","115","features_live = base / ""features"" / ""features_live"" / f""features_live__asof={args.asof}__metric={args.metric}__v={args.feat_v}.parquet"""
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","21","$HOLDINGS = "".\current_portfolio\20260314_holdings_clean_manual.csv"""
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","21","$HOLDINGS = "".\current_portfolio\20260314_holdings_clean_manual.csv"""
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\live\score_latest_rebalance.py","81","""Use --holdings_csv .\\data\\portfolio\\current\\YYYYMMDD_holdings_clean.csv"""
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","58","r""20260314_holdings_clean_manual\.csv"","
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","142","""make_holdings_clean.py 실행 시 --master 경로를 명시해야 합니다."""
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","235","cur_files = sorted(cur_dir.glob(""*holdings_clean*.csv""))"
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","240","results.append(CheckResult(""WARN"", ""holdings"", ""data/portfolio/current 아래 holdings_clean csv가 없습니다.""))"
"holdings_clean","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","257","old_files = list(old_dir.glob(""*holdings_clean*.csv""))"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\attach_liquidity_features.py","24","mkt_path = base / f""krx_marketdata__asof={args.asof}__src=pykrx__lookback=365d__v=1.parquet"""
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\backtest_quarterly_rebalance_v2.py","514","(Path(rf""data/processed/krx_marketdata__asof={asof}__src=pykrx__lookback=365d__v=1.parquet""), ""krx_marketdata""),"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\backtest_quarterly_rebalance_v2.py","524","(""data/processed/krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"", ""krx_marketdata""),"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\build_universe.py","74","p = _pick_best_path(root, ""krx_marketdata__asof=*__*.parquet"", asof)"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\build_universe.py","83","p = _pick_best_path(root, ""krx_marketdata__asof=*__*.parquet"", asof)"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_fundamentals_quarterly.py","323","""krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_krx_marketdata.py","84","cands = list(processed_dir.glob(""krx_marketdata__asof=*.parquet""))"
