wf_window,train_start,train_end,test_start,test_end,selected_strategy,selected_k,objective,train_objective_value,train_months,train_net_nav,train_cagr_net,train_sharpe_net,train_maxdd_net,test_months,test_net_nav,test_cagr_net,test_sharpe_net,test_maxdd_net
0,2016-02-29,2019-01-31,2019-02-28,2020-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.3573942345169164,36,1.1432413527160195,0.045633065800117834,0.3573942345169164,-0.2477353329136558,12,1.0664334867660534,0.06643348676605343,0.49241163791095605,-0.09371853777140648
1,2017-02-28,2020-01-31,2020-02-29,2021-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.23500658300483457,36,1.0783754032751331,0.02547086144309496,0.23500658300483457,-0.2477353329136558,12,1.267222854859347,0.26722285485934694,0.930418325473335,-0.13738118473899863
2,2018-02-28,2021-01-31,2021-02-28,2022-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.25459501875379836,36,1.1023581235183197,0.03301723867374351,0.25459501875379836,-0.2651666334009859,12,1.110797772856895,0.11079777285689496,0.6137896368230694,-0.12943168144469408
3,2019-02-28,2022-01-31,2022-02-28,2023-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.7195660446065691,36,1.5011419825842944,0.14500466746997254,0.7195660446065691,-0.2232583759752359,12,1.3427881725834472,0.3427881725834472,1.1066116657491878,-0.125255649954379
4,2020-02-29,2023-01-31,2023-02-28,2024-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.9261979385469661,36,1.8901466660572446,0.23641757073785707,0.9261979385469661,-0.13738118473899863,12,1.326784112214727,0.32678411221472703,0.9140606057648083,-0.11611570625024437
5,2021-02-28,2024-01-31,2024-02-29,2025-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,0.9079115547782675,36,1.9789862190883059,0.2554928872679325,0.9079115547782675,-0.12943168144469408,12,1.5456184974994964,0.5456184974994964,1.753810227578207,-0.08049335839180294
6,2022-02-28,2025-01-31,2025-02-28,2026-01-31,D_quality_filter_debt_profitaccel_liq,10,sharpe_net,1.235537249786697,36,2.7536584797542054,0.40164067512167034,1.235537249786697,-0.125255649954379,12,2.091648497566704,1.091648497566704,2.6676222792837527,-0.017900394972984124
