month_end,rebalance_month,ret,turnover,tcost,nav_gross,nav_net,wf_window,selected_strategy,selected_k,ret_net,wf_nav_net,wf_nav_gross
2019-02-28,2019-02-28,0.0260965684960561,1.0,0.003,1.3828399320200329,1.3622539341571869,0,B_growth_plus_quality,20,0.0230965684960561,1.023096568496056,1.0260965684960561
2019-03-31,2019-02-28,-0.0342966570565331,0.0,0.0,1.3354131451074622,1.3155331781534845,0,B_growth_plus_quality,20,-0.0342966570565331,0.988007776350631,0.9909048863794615
2019-04-30,2019-02-28,0.0365560715927923,0.0,0.0,1.3842306036459666,1.363623903196757,0,B_growth_plus_quality,20,0.0365560715927923,1.0241254593571403,1.027128476347597
2019-05-31,2019-02-28,-0.0803261999545658,0.0,0.0,1.2730406193942714,1.2540891768857487,0,B_growth_plus_quality,20,-0.0803261999545658,0.9418613529302571,0.9446231489774713
2019-06-30,2019-02-28,0.0112840830276065,0.0,0.0,1.287405715441032,1.2682404232817504,0,B_growth_plus_quality,20,0.0112840830276065,0.9524893946372158,0.9552823550203322
2019-07-31,2019-02-28,-0.0965457671161788,0.0,0.0,1.1631121430540248,1.1457971787282664,0,B_growth_plus_quality,20,-0.0965457671161788,0.8605305753619411,0.8630538872423443
2019-08-31,2019-08-31,0.0058453538438415,0.8500000000000002,0.00255,1.1699109450902443,1.149572985865451,0,B_growth_plus_quality,20,0.0032953538438415,0.8633663281012033,0.8680987425995786
2019-09-30,2019-08-31,0.0197968444744128,0.0,0.0,1.193071490119109,1.1723309034786158,0,B_growth_plus_quality,20,0.0197968444744128,0.8804582570230677,0.8852843583952558
2019-10-31,2019-08-31,0.0460571616839277,0.0,0.0,1.2480209766400097,1.2263251374471955,0,B_growth_plus_quality,20,0.0460571616839277,0.9210096653227282,0.9260580432261182
2019-11-30,2019-11-30,-0.0216349760402098,0.8,0.0024,1.2210200727127236,1.196850442151145,0,B_growth_plus_quality,20,-0.0240349760402098,0.8988732200838948,0.9060227996490775
2019-12-31,2019-11-30,0.1217871443322488,0.0,0.0,1.3697246205407612,1.3426114396935225,0,B_growth_plus_quality,20,0.1217871443322488,1.0083444226746452,1.0163647291182478
2020-01-31,2019-11-30,-0.0532971503653051,0.0,0.0,1.2967222014807398,1.271054075909998,0,B_growth_plus_quality,20,-0.0532971503653051,0.9546025383593378,0.9621953853244399
2020-02-29,2020-02-29,-0.0505104930624707,0.9000000000000001,0.0027,1.231224123718895,1.2034206618217638,1,B_growth_plus_quality,20,-0.0532104930624707,0.9038076666145514,0.9135944219892685
2020-03-31,2020-02-29,-0.0200308953480263,0.0,0.0,1.2065616021467165,1.1793150684851594,1,B_growth_plus_quality,20,-0.0200308953480263,0.8857035898298514,0.8952943077318609
2020-04-30,2020-02-29,0.1200617902248846,0.0,0.0,1.351423548117056,1.32090574684667,1,B_growth_plus_quality,20,0.1200617902248846,0.9920427484334303,1.002784945096297
2020-05-31,2020-02-29,0.135834416997418,0.0,0.0,1.5349933778921183,1.5003302088781263,1,B_growth_plus_quality,20,0.135834416997418,1.1267962968034015,1.1389976534872401
2020-06-30,2020-02-29,0.0305317987041701,0.0,0.0,1.5818594867181548,1.5461379888053792,1,B_growth_plus_quality,20,0.0305317987041701,1.1611994145180071,1.1737733005680344
2020-07-31,2020-02-29,0.1330329485124407,0.0,0.0,1.7922989183686473,1.751825284263254,1,B_growth_plus_quality,20,0.1330329485124407,1.3156771964422573,1.3299238236277793
2020-08-31,2020-08-31,0.0144673284501968,0.8500000000000001,0.00255,1.818228695501619,1.7727023615631785,1,B_growth_plus_quality,20,0.0119173284501968,1.3313565537266938,1.349164268397944
2020-09-30,2020-08-31,0.0538229098478261,0.0,0.0,1.916091054662333,1.8681143609566224,1,B_growth_plus_quality,20,0.0538229098478261,1.403014037493238,1.4217802151858345
2020-10-31,2020-08-31,-0.0666651647341,0.0,0.0,1.7883545288577334,1.743576209341311,1,B_growth_plus_quality,20,-0.0666651647341,1.3094818755594966,1.3269970029247866
2020-11-30,2020-11-30,0.1081668804141952,0.9000000000000001,0.0027,1.9817952593188723,1.927465752904947,1,B_growth_plus_quality,20,0.1054668804141952,1.447588843933686,1.4705341290501472
2020-12-31,2020-11-30,0.0398728141852194,0.0,0.0,2.0608150134468426,2.0043192367189,1,B_growth_plus_quality,20,0.0398728141852194,1.5053082849244503,1.5291684631307871
2021-01-31,2020-11-30,0.0598096353562024,0.0,0.0,2.184071607937686,2.1241968394044792,1,B_growth_plus_quality,20,0.0598096353562024,1.5953402245444521,1.6206274713088438
2021-02-28,2021-02-28,-0.0201560827381601,1.0,0.003,1.8713567504798616,1.811927486750272,2,B_growth_plus_quality,15,-0.0231560827381601,1.558398394309386,1.5879619699094076
2021-03-31,2021-02-28,0.0568891141791166,0.0,0.0,1.9778165783277717,1.915006436428288,2,B_growth_plus_quality,15,0.0568891141791166,1.6470542984998047,1.6782997197276788
2021-04-30,2021-02-28,0.1122795400832553,0.0,0.0,2.199884914111452,2.13002247836693,2,B_growth_plus_quality,15,0.1122795400832553,1.8319847976275114,1.8667384403805587
2021-05-31,2021-02-28,-0.0041521824975232,0.0,0.0,2.1907505904745124,2.1211782363129235,2,B_growth_plus_quality,15,-0.0041521824975232,1.8243780624150738,1.8589874017009567
2021-06-30,2021-02-28,0.0507164351061714,0.0,0.0,2.30185765063012,2.2287568346835114,2,B_growth_plus_quality,15,0.0507164351061714,1.9169040140266704,1.9532686156225132
2021-07-31,2021-02-28,-0.0241438595205688,0.0,0.0,2.24628192287696,2.174946042761405,2,B_growth_plus_quality,15,-0.0241438595205688,1.8706225527975961,1.9061091725609876
2021-08-31,2021-08-31,-0.0040241095796249,0.9333333333333332,0.0028,2.2372426382725723,2.160103972635829,2,B_growth_plus_quality,15,-0.0068241095796249,1.8578572195151877,1.8984387803798741
2021-09-30,2021-08-31,-0.0037978577384603,0.0,0.0,2.228745909005996,2.151900205047476,2,B_growth_plus_quality,15,-0.0037978577384603,1.8508013420970975,1.8912287799668153
2021-10-31,2021-08-31,0.0160979889152116,0.0,0.0,2.2646242359439968,2.186541470694971,2,B_growth_plus_quality,15,0.0160979889152116,1.8805955215864352,1.9216737599028502
2021-11-30,2021-11-30,0.0271880462916245,0.9333333333333332,0.0028,2.326194944503977,2.239866945300837,2,B_growth_plus_quality,15,0.0243880462916245,1.9264595722227067,1.973920315044489
2021-12-31,2021-11-30,0.0977142624610371,0.0,0.0,2.5534973678467763,2.4587338918717645,2,B_growth_plus_quality,15,0.0977142624610371,2.114702148483454,2.1668004827859195
2022-01-31,2021-11-30,-0.1123992630748947,0.0,0.0,2.2664861454371152,2.1823740143281105,2,B_growth_plus_quality,15,-0.1123992630748947,1.8770111853710172,1.9232537052904561
2022-02-28,2022-02-28,0.0706366147220362,0.7333333333333334,0.0022,1.7859093039835627,1.712283550532259,3,D_quality_filter_debt_profitaccel,15,0.0684366147220362,2.0054674766932057,2.059105836283787
2022-03-31,2022-02-28,0.0560127745930286,0.0,0.0,1.8859430392711864,1.808193303087573,3,D_quality_filter_debt_profitaccel,15,0.0560127745930286,2.117799274418872,2.17444206735474
2022-04-30,2022-02-28,0.0060770401084923,0.0,0.0,1.8974039907631692,1.8191817663143437,3,D_quality_filter_debt_profitaccel,15,0.0060770401084923,2.130669225551251,2.1876562390116474
2022-05-31,2022-02-28,0.0344057119946022,0.0,0.0,1.962685526006776,1.8817720102319864,3,D_quality_filter_debt_profitaccel,15,0.0344057119946022,2.2039764172813294,2.2629241095142767
2022-06-30,2022-02-28,-0.1373577526579036,0.0,0.0,1.6930954529802895,1.623296035891975,3,D_quality_filter_debt_profitaccel,15,-0.1373577526579036,1.901243169692548,1.952093939396008
2022-07-31,2022-02-28,0.0512322480763938,0.0,0.0,1.7798365392443902,1.7064611411042194,3,D_quality_filter_debt_profitaccel,15,0.0512322480763938,1.998648131415786,2.0521041003675693
2022-08-31,2022-08-31,0.0914271916829269,0.8,0.0024,1.9425619956821645,1.8583825842127712,3,D_quality_filter_debt_profitaccel,15,0.0890271916829269,2.1765821617180627,2.239722215305195
2022-09-30,2022-08-31,-0.1462271499791584,0.0,0.0,1.6585066913957354,1.5866365953524344,3,D_quality_filter_debt_profitaccel,15,-0.1462271499791584,1.8583067555145547,1.9122140190161092
2022-10-31,2022-08-31,-0.0477419174079924,0.0,0.0,1.5793264019145172,1.5108875220606202,3,D_quality_filter_debt_profitaccel,15,-0.0477419174079924,1.7695876278740645,1.820921255253837
2022-11-30,2022-11-30,0.1287833282230761,0.7333333333333334,0.0022,1.7827173123036444,1.70214069317377,3,D_quality_filter_debt_profitaccel,15,0.12658332822307608,1.993587919392742,2.0554255549375675
2022-12-31,2022-11-30,-0.0732970245111169,0.0,0.0,1.6520494377673318,1.5773788450648427,3,D_quality_filter_debt_profitaccel,15,-0.0732970245111169,1.8474638567999457,1.9047689776565326
2023-01-31,2022-11-30,0.0271977154093207,0.0,0.0,1.6969814082178565,1.6202799459855994,3,D_quality_filter_debt_profitaccel,15,0.0271977154093207,1.897710653006197,1.956574342231338
2023-02-28,2023-02-28,-0.0030020379316033,0.6666666666666667,0.002,1.6918870056611606,1.6121752442359631,4,D_quality_filter_debt_profitaccel,15,-0.0050020379316033006,1.8882182323366523,1.9507006318399578
2023-03-31,2023-02-28,0.0546273730737168,0.0,0.0,1.7843103483179863,1.7002441427630517,4,D_quality_filter_debt_profitaccel,15,0.0546273730737168,1.9913666341591008,2.057262283010614
2023-04-30,2023-02-28,0.0501380191741289,0.0,0.0,1.8737721347745504,1.785491016193606,4,D_quality_filter_debt_profitaccel,15,0.0501380191741289,2.0912098126452903,2.160409338802413
2023-05-31,2023-02-28,0.0280309581333349,0.0,0.0,1.926295763035825,1.8355400401159745,4,D_quality_filter_debt_profitaccel,15,0.0280309581333349,2.1498284273515695,2.220967682529249
2023-06-30,2023-02-28,0.0733393416581524,0.0,0.0,2.067569026135761,1.9701573382452588,4,D_quality_filter_debt_profitaccel,15,0.0733393416581524,2.307495428891515,2.3838519902099766
2023-07-31,2023-02-28,0.016800954532256,0.0,0.0,2.1023061593361687,2.003257862106508,4,D_quality_filter_debt_profitaccel,15,0.016800954532256,2.3462635546757102,2.4239029791091227
2023-08-31,2023-08-31,-0.011325460282303,0.8,0.0024,2.078496574427366,1.9757622258849536,4,D_quality_filter_debt_profitaccel,15,-0.013725460282302999,2.3140600074441937,2.3964511621910662
2023-09-30,2023-08-31,-0.0495255641478396,0.0,0.0,1.9755578589994989,1.8779114870260103,4,D_quality_filter_debt_profitaccel,15,-0.0495255641478396,2.1994548801035663,2.2777655664308076
2023-10-31,2023-08-31,-0.1109971874909959,0.0,0.0,1.756276492924821,1.6694685936090892,4,D_quality_filter_debt_profitaccel,15,-0.1109971874909959,1.955321574398725,2.024939994793153
2023-11-30,2023-11-30,0.1174127172304921,0.7333333333333334,0.0022,1.962485688167163,1.861812606609761,4,D_quality_filter_debt_profitaccel,15,0.1152127172304921,2.180599486044606,2.262693701810516
2023-12-31,2023-11-30,0.0816656793314172,0.0,0.0,2.122753415069518,2.013858797916344,4,D_quality_filter_debt_profitaccel,15,0.0816656793314172,2.358679624422178,2.447478120087791
2024-01-31,2023-11-30,0.0160041701784967,0.0,0.0,2.156726321971276,2.04608893683366,4,D_quality_filter_debt_profitaccel,15,0.0160041701784967,2.3964283345279833,2.4866479764298233
2024-02-29,2024-02-29,0.1943287011401316,1.0000000000000002,0.003,4.598698855210374,4.345447089563157,5,B_growth_plus_quality,10,0.1913287011401316,2.8549338551486314,2.969875047882167
2024-03-31,2024-02-29,0.1402634339808213,0.0,0.0,5.243728148485853,4.954954420527251,5,B_growth_plus_quality,10,0.1402634339808213,3.2553766814598832,3.386439920592076
2024-04-30,2024-02-29,0.0493161886866897,0.0,0.0,5.502328835278288,5.19931388766392,5,B_growth_plus_quality,10,0.0493161886866897,3.4159194521290086,3.5534462306921335
