ticker,name_current,shares,current_price,price_date,current_value,current_weight,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,Revenue_ttm_ready,Revenue_ttm_yoy_ready,Revenue_acc2_ready,Revenue_acc2_missing_reason,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,OpIncome_ttm_ready,OpIncome_ttm_yoy_ready,OpIncome_acc2_ready,OpIncome_acc2_missing_reason,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,NetIncome_ttm_ready,NetIncome_ttm_yoy_ready,NetIncome_acc2_ready,NetIncome_acc2_missing_reason,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CFO_ttm_ready,CFO_ttm_yoy_ready,CFO_acc2_ready,CFO_acc2_missing_reason,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,CAPEX_ttm_ready,CAPEX_ttm_yoy_ready,CAPEX_acc2_ready,CAPEX_acc2_missing_reason,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,history_quarters,first_quarter_key,latest_quarter_key,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,rebalance_month,industry4,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,selected_topk,latest_available_rebalance_month_x,latest_available_year_x,latest_available_quarter_x,latest_available_rebalance_month_y,latest_available_year_y,latest_available_quarter_y,latest_available_name,latest_available_group,latest_OpIncome_acc2,latest_Revenue_acc2,latest_Debt_to_Equity_log,latest_Quality_CFO_to_Assets,latest_CFO_isnull,in_target_topk,cohort_status,score_availability_reason
005930,삼성전자,100,,,,,2025.0,4.0,202504.0,삼성전자,00126380,CFS,CFS,566942110000000.0,436320337000000.0,130621773000000.0,0.2993712690499687,0.26188050828400256,247544191000000.0,0.11620943587097132,-0.04168330706387158,1.0,1.0,1.0,,31434989000000.0,0.33523919840595284,-4.360398964655245,1.0,1.0,1.0,,32981058000000.0,0.35443337036071654,-1.1707793528689163,1.0,1.0,1.0,,28799652000000.0,0.30775123056109877,0.2036139453988175,1.0,1.0,1.0,,12759490000000.0,-0.18955302253227924,-0.18049774206135205,1.0,1.0,1.0,,566942110000000.0,0.05079822347293977,0.022505807515338736,0.12698738303255114,0.05544655873242508,40.0,20161.0,20254.0,0.0,0.0,28799652000000.0,0.05079822347293977,2026-03-31,264,True,passed,264,0.0,0.0,4.0,2025.0,00126380,0.1883823917296287,0.1883823917296287,126.0,-4.360398964655245,-0.11341692947486885,388.0,1.0,-0.11341692947486885,-0.04168330706387158,-0.055825146454145685,252.0,1.0,-0.013956286613536421,0.26188050828400256,-0.8054125775780281,320.0,1.0,0.2818944021523098,0.05079822347293977,0.3386120566572415,55.0,1.0,0.03386120566572415,0.0,0.0,1.0,1.0,-0.0,0,2026-03-31,2025,4,2026-03-31,2025,4,삼성전자,264,-4.360398964655245,-0.04168330706387158,0.26188050828400256,0.05079822347293977,0,0,in_target_cohort,scored_in_target_cohort
058470,리노공업,125,,,,,2025.0,4.0,202504.0,리노공업,00369657,CFS,OFS,791928165325.0,731218952370.0,60709212955.0,0.08302467100754368,0.07975774800642708,275692256966.0,0.3175242980591715,0.16889735611975354,1.0,1.0,1.0,,128735844205.0,0.3763827201123744,0.2224448666963299,1.0,1.0,1.0,,110046204125.0,0.23996383280751,0.15419064657997894,1.0,1.0,1.0,,36457515117.0,0.19683847740269633,0.13509541616485987,1.0,1.0,1.0,,13298241899.0,6.7727269668781185,7.743968073826015,1.0,1.0,1.0,,791928165325.0,0.046036391573518756,0.016792232529755428,0.46695487795609897,0.16256000208322935,40.0,20161.0,20254.0,0.0,0.0,36457515117.0,0.046036391573518756,2026-03-31,2629,True,passed,2629,0.0,0.0,4.0,2025.0,00369657,0.36982222021920474,0.36982222021920474,22.0,0.2224448666963299,-0.033486395633012714,129.0,1.0,-0.033486395633012714,0.16889735611975354,-0.053282650979965714,92.0,1.0,-0.013320662744991428,0.07975774800642708,-1.108853459447411,391.0,1.0,0.38809871080659386,0.046036391573518756,0.28530567790614997,63.0,1.0,0.028530567790614997,0.0,0.0,1.0,1.0,-0.0,0,2026-03-31,2025,4,2026-03-31,2025,4,리노공업,2629,0.2224448666963299,0.16889735611975354,0.07975774800642708,0.046036391573518756,0,0,in_target_cohort,scored_in_target_cohort
214150,클래시스,600,,,,,,,,클래시스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,False,not_in_target_cohort,,,,,,,,,,0.2688072711769487,,,,,0.22178448371831183,,,,,0.23306500788662213,,,,,0.06978785506936305,,,,,0.0,,,,,0,2025-11-30,2025,3,2025-11-30,2025,3,클래시스,271,0.2688072711769487,0.22178448371831183,0.23306500788662213,0.06978785506936305,0,0,not_in_target_cohort,no_feature_history
