ticker,name,industry4,group_value,year,quarter,rebalance_month,rebalance_month_end,hold_start_month,hold_end_month,w,score,score_adj,hold_bonus_applied,score_rank,current_price,price_date,CFO_isnull,CFO_warn,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__contrib,stock_forward_ret_to_next_rebalance,portfolio_gross_ret_to_next_rebalance,portfolio_net_ret_to_next_rebalance,corp_code,score_total,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,selection_bucket,kept_from_previous
192080,더블유게임즈,105802,105802,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4650944690737143,0.4650944690737143,0.0,1.0,34212.0,2016-05-31,1,0,,0.0,,0.0,0.03849848439947489,0.4650944690737143,0,0.0,0,0.0,0.039893444220648444,0.060396279732516156,0.05722944104704575,01010110,0.4650944690737143,0.0,1.0,1.0,0.0,1.0,1.0,-1.3288413402106125,247.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
214370,케어젠,032101,032101,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.45486002026101674,0.45486002026101674,0.0,2.0,18400.0,2016-05-31,1,0,,0.0,,0.0,0.054161289345080355,0.45486002026101674,0,0.0,0,0.0,0.26912442396313363,0.060396279732516156,0.05722944104704575,00549891,0.45486002026101674,0.0,1.0,1.0,0.0,1.0,1.0,-1.2996000578886193,246.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
214450,파마리서치,032103,032103,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4510707025114588,0.4510707025114588,0.0,3.0,54000.0,2016-05-31,1,0,,0.0,,0.0,0.05996046288871186,0.4510707025114588,0,0.0,0,0.0,-0.09446254071661253,0.060396279732516156,0.05722944104704575,00970453,0.4510707025114588,0.0,1.0,1.0,0.0,1.0,1.0,-1.2887734357470253,245.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
145020,휴젤,032101,032101,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4393847078415421,0.4393847078415421,0.0,4.0,115945.0,2016-05-31,1,0,,0.0,,0.0,0.07784471424997752,0.4393847078415421,0,0.0,0,0.0,0.15050447620240703,0.060396279732516156,0.05722944104704575,00888347,0.4393847078415421,0.0,1.0,1.0,0.0,1.0,1.0,-1.2553848795472633,244.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
213420,덕산네오룩스,032602,032602,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.431484171088207,0.431484171088207,0.0,5.0,12575.0,2016-05-31,1,0,,0.0,,0.0,0.08993569915768918,0.431484171088207,0,0.0,0,0.0,0.11946870184193137,0.060396279732516156,0.05722944104704575,01061558,0.431484171088207,0.0,1.0,1.0,0.0,1.0,1.0,-1.2328119173948773,243.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
000240,한국앤컴퍼니,116409,116409,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4299825970738362,0.4299825970738362,0.0,6.0,23350.0,2016-05-31,1,0,,0.0,,0.0,0.09223370868696651,0.4299825970738362,0,0.0,0,0.0,-0.09030837004405301,0.060396279732516156,0.05722944104704575,00160047,0.4299825970738362,0.0,1.0,1.0,0.0,1.0,1.0,-1.2285217059252462,242.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
023160,태광,032401,032401,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.419796207800452,0.419796207800452,0.0,7.0,9490.0,2016-05-31,1,0,,0.0,,0.0,0.10782296329255671,0.419796207800452,0,0.0,0,0.0,-0.19069767441860463,0.060396279732516156,0.05722944104704575,00153375,0.419796207800452,0.0,1.0,1.0,0.0,1.0,1.0,-1.19941773657272,241.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
026960,동서,074603,074603,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4196777706162977,0.4196777706162977,0.0,8.0,33300.0,2016-05-31,1,0,,0.0,,0.0,0.1080042196110617,0.4196777706162977,0,0.0,0,0.0,0.010852713178294504,0.060396279732516156,0.05722944104704575,00144395,0.4196777706162977,0.0,1.0,1.0,0.0,1.0,1.0,-1.1990793446179935,240.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
140860,파크시스템스,032702,032702,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.41820520372145614,0.41820520372145614,0.0,9.0,14700.0,2016-05-31,1,0,,0.0,,0.0,0.1102578366319062,0.41820520372145614,0,0.0,0,0.0,0.3730769230769231,0.060396279732516156,0.05722944104704575,00244747,0.41820520372145614,0.0,1.0,1.0,0.0,1.0,1.0,-1.194872010632732,239.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
121600,나노신소재,032004,032004,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.41701144360137415,0.41701144360137415,0.0,10.0,14250.0,2016-05-31,1,0,,0.0,,0.0,0.11208476764254255,0.41701144360137415,0,0.0,0,0.0,0.015432098765432167,0.060396279732516156,0.05722944104704575,00439965,0.41701144360137415,0.0,1.0,1.0,0.0,1.0,1.0,-1.1914612674324976,238.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
214370,케어젠,032101,032101,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.5178678771789447,1.0178678771789447,0.5,1.0,19152.0,2016-08-31,1,0,,0.0,,0.0,0.03427247828369094,0.5178678771789447,0,0.0,0,0.0,-0.3129992737835876,-0.08927745997717917,-0.0901223007652997,00549891,0.5178678771789447,0.0,1.0,1.0,0.0,1.0,1.0,-1.4796225062255564,151.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,keep_current_top_n,1.0
192080,더블유게임즈,105802,105802,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.5151275252981753,1.0151275252981753,0.5,2.0,31968.0,2016-08-31,1,0,,0.0,,0.0,0.03805862984857294,0.5151275252981753,0,0.0,0,0.0,-0.06085598250546709,-0.08927745997717917,-0.0901223007652997,01010110,0.5151275252981753,0.0,1.0,1.0,0.0,1.0,1.0,-1.471792929423358,150.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,keep_current_top_n,1.0
214450,파마리서치,032103,032103,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.5096195363928424,1.0096195363928424,0.5,3.0,49550.0,2016-08-31,1,0,,0.0,,0.0,0.04566863094355016,0.5096195363928424,0,0.0,0,0.0,-0.23471223021582732,-0.08927745997717917,-0.0901223007652997,00970453,0.5096195363928424,0.0,1.0,1.0,0.0,1.0,1.0,-1.456055818265264,149.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,keep_current_top_n,1.0
145020,휴젤,032101,032101,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.49816165492330994,0.9981616549233099,0.5,4.0,142646.0,2016-08-31,1,0,,0.0,,0.0,0.06149918035602988,0.49816165492330994,0,0.0,0,0.0,-0.020278250090041805,-0.08927745997717917,-0.0901223007652997,00888347,0.49816165492330994,0.0,1.0,1.0,0.0,1.0,1.0,-1.4233190140665999,148.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,1.0
000240,한국앤컴퍼니,116409,116409,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.4905384613050197,0.9905384613050197,0.5,5.0,21400.0,2016-08-31,1,0,,0.0,,0.0,0.07203161111787185,0.4905384613050197,0,0.0,0,0.0,0.04842615012106544,-0.08927745997717917,-0.0901223007652997,00160047,0.4905384613050197,0.0,1.0,1.0,0.0,1.0,1.0,-1.401538460871485,147.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,1.0
026960,동서,074603,074603,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.468847618095701,0.9688476180957011,0.5,7.0,30850.0,2016-08-31,1,0,,0.0,,0.0,0.10200032445606959,0.468847618095701,0,0.0,0,0.0,-0.16717791411042948,-0.08927745997717917,-0.0901223007652997,00144395,0.468847618095701,0.0,1.0,1.0,0.0,1.0,1.0,-1.3395646231305745,145.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,1.0
023160,태광,032401,032401,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.466606668180574,0.9666066681805741,0.5,8.0,8200.0,2016-08-31,1,0,,0.0,,0.0,0.10509648742970866,0.466606668180574,0,0.0,0,0.0,-0.027586206896551668,-0.08927745997717917,-0.0901223007652997,00153375,0.466606668180574,0.0,1.0,1.0,0.0,1.0,1.0,-1.3331619090873543,144.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,1.0
058470,리노공업,032602,032602,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.4799235701237971,0.4799235701237971,0.0,6.0,8259.0,2016-08-31,1,0,,0.0,,0.0,0.08669746010568605,0.4799235701237971,0,0.0,0,0.0,0.022568000950231593,-0.08927745997717917,-0.0901223007652997,00369657,0.4799235701237971,0.0,1.0,1.0,0.0,1.0,1.0,-1.371210200353706,146.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
064760,티씨케이,032309,032309,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.455157135017371,0.455157135017371,0.0,9.0,33050.0,2016-08-31,1,0,,0.0,,0.0,0.12091550257416403,0.455157135017371,0,0.0,0,0.0,-0.10312075983717772,-0.08927745997717917,-0.0901223007652997,00245472,0.455157135017371,0.0,1.0,1.0,0.0,1.0,1.0,-1.3004489571924887,143.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
031980,피에스케이홀딩스,032902,032902,2016,2,2016-08-31,2016-08-31,2016-08-31,2016-10-31,0.1,0.45417692644183083,0.45417692644183083,0.0,10.0,11612.0,2016-08-31,1,0,,0.0,,0.0,0.12226978786074914,0.45417692644183083,0,0.0,0,0.0,-0.04483319772172489,-0.08927745997717917,-0.0901223007652997,00208444,0.45417692644183083,0.0,1.0,1.0,0.0,1.0,1.0,-1.297648361262374,142.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,new_or_rank_fill,0.0
145020,휴젤,032101,032101,2016,3,2016-11-30,2016-11-30,2016-11-30,2017-02-28,0.1,0.6373728475932158,1.1373728475932157,0.5,1.0,94563.0,2016-11-30,1,0,,0.0,,0.0,0.07998311902593205,0.4373728475932157,1,0.15,1,0.05,0.07463579782504626,0.05578954303238559,0.053439216636948395,00888347,0.6373728475932158,0.0,1.0,1.0,0.0,1.0,1.0,-1.2496367074091879,111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,keep_current_top_n,1.0
214450,파마리서치,032103,032103,2016,3,2016-11-30,2016-11-30,2016-11-30,2017-02-28,0.1,0.6106440341173,1.1106440341172998,0.5,2.0,40450.0,2016-11-30,1,0,,0.0,,0.0,0.044871413976505056,0.4606440341172999,1,0.15,0,0.0,-0.11398354876615746,0.05578954303238559,0.053439216636948395,00970453,0.6106440341173,0.0,1.0,1.0,0.0,1.0,1.0,-1.3161258117637142,113.0,1.0,1.0,1.0,1.0,0.0,44.0,1.0,keep_current_top_n,1.0
064760,티씨케이,032309,032309,2016,3,2016-11-30,2016-11-30,2016-11-30,2017-02-28,0.1,0.5965661928051097,1.0965661928051098,0.5,3.0,30450.0,2016-11-30,1,0,,0.0,,0.0,0.1415524431981617,0.39656619280510963,1,0.15,1,0.05,-0.009077155824508298,0.05578954303238559,0.053439216636948395,00245472,0.5965661928051097,0.0,1.0,1.0,0.0,1.0,1.0,-1.1330462651574562,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,keep_current_top_n,1.0
