ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib
042520,213,0,0,4,2025,00349060,한스바이오메드,2026-03-31,8.296162708701095,8.296162708701095,1.0,914.6440940967984,8.632060750359692,1.0,1.0,8.632060750359692,0.11033166298595853,0.06439576839360289,22.0,1.0,0.016098942098400723,1.3164907840037212,0.9312056162504833,13.0,1.0,-0.3259219656876691,0.009538962858548805,-0.2607501806932759,56.0,1.0,-0.02607501806932759,0,0.0,1.0,1.0,-0.0
322000,2612,0,0,4,2025,01199550,HD현대에너지솔루션,2026-03-31,3.366680354265009,3.366680354265009,2.0,331.35215204500884,3.0287196723429495,2.0,1.0,3.0287196723429495,0.36102654694538605,0.3876582855591019,10.0,1.0,0.09691457138977548,0.23872371407604293,-0.9604939394530507,76.0,1.0,0.3361728788085677,-0.011711383786811906,-0.9512676827628354,77.0,1.0,-0.09512676827628354,0,0.0,1.0,1.0,-0.0
095610,29271,0,0,4,2025,00524421,테스,2026-03-31,0.8531489632554318,0.8531489632554318,3.0,67.84288655189508,0.4973418402033017,3.0,1.0,0.4973418402033017,-0.08953404920000563,-0.19332426240992268,65.0,1.0,-0.04833106560248067,0.21859296976161705,-0.9958274740711909,79.0,1.0,0.3485396159249168,0.03467362072093153,0.5559857272969406,20.0,1.0,0.05559857272969407,0,0.0,1.0,1.0,-0.0
000370,65121,0,0,4,2025,00135917,한화손해보험,2026-03-31,0.7454425564605515,0.7454425564605515,4.0,-0.07946089775134535,-0.15514802317653106,53.0,1.0,-0.15514802317653106,5.460538639155049,6.9633054994463475,1.0,1.0,1.7408263748615869,2.02401988710407,2.1730625325803388,6.0,1.0,-0.7605718864031186,-0.006952762570691483,-0.7966390882138588,75.0,1.0,-0.07966390882138588,0,0.0,1.0,1.0,-0.0
298380,211,0,0,4,2025,01256864,에이비엘바이오,2026-03-31,0.6325554744915396,0.6325554744915396,5.0,17.741805684422815,0.016050356062037627,5.0,1.0,0.016050356062037627,2.6123110693487375,3.2906130250966497,2.0,1.0,0.8226532562741624,0.5838037860418026,-0.3548085023728705,50.0,1.0,0.12418297583050467,-0.08409439880440796,-3.3033111367516503,87.0,1.0,-0.33033111367516504,0,0.0,1.0,1.0,-0.0
100840,29176,0,0,4,2025,00648721,SNT에너지,2026-03-31,0.4080744569412443,0.4080744569412443,6.0,4.084069368219204,-0.11515144772785575,12.0,1.0,-0.11515144772785575,1.0852600533981915,1.3215327333097757,3.0,1.0,0.33038318332744393,0.48065433668749946,-0.5358566833380702,55.0,1.0,0.18754983916832457,0.01919228448610767,0.05292882173331499,40.0,1.0,0.0052928821733315,0,0.0,1.0,1.0,-0.0
041920,27112,0,0,4,2025,00273439,메디아나,2026-03-31,0.40710643473261854,0.40710643473261854,7.0,1.9089062941197898,-0.13604695429291003,13.0,1.0,-0.13604695429291003,0.4149844530359782,0.45723516829535804,8.0,1.0,0.11430879207383951,0.08084400580049247,-1.2376048127881432,86.0,1.0,0.4331616844758501,0.01623486216573095,-0.04317087524161067,47.0,1.0,-0.004317087524161068,0,0.0,1.0,1.0,-0.0
003670,282,0,0,4,2025,00155276,포스코퓨처엠,2026-03-31,0.35302690899293365,0.35302690899293365,8.0,51.84458929691228,0.34365565027954614,4.0,1.0,0.34365565027954614,-0.056218451457201724,-0.15036493345546753,60.0,1.0,-0.03759123336386688,0.7063285679793946,-0.13975268741874652,43.0,1.0,0.04891344059656128,0.01696303015442872,-0.01950948519306894,44.0,1.0,-0.001950948519306894,0,0.0,1.0,1.0,-0.0
302440,211,0,0,4,2025,01319899,SK바이오사이언스,2026-03-31,0.3481495122881268,0.3481495122881268,9.0,-0.3012909048514487,-0.15727901299742317,65.0,1.0,-0.15727901299742317,0.9358406316747347,1.128861476454151,5.0,1.0,0.28221536911353773,0.3720491410360144,-0.7264808043504111,62.0,1.0,0.25426828152264386,0.008006358605338501,-0.31055125350631646,59.0,1.0,-0.031055125350631648,0,0.0,1.0,1.0,-0.0
098460,29271,1,0,4,2025,00579999,고영,2026-03-31,0.3354078966091007,0.3354078966091007,10.0,4.671794582701394,-0.1095055188207805,10.0,1.0,-0.1095055188207805,0.2128991497020375,0.19665305027951716,15.0,1.0,0.04916326256987929,0.20234964702508956,-1.0243377962560205,81.0,1.0,0.35851822868960714,0.03666000360410823,0.6205320695065796,19.0,0.6,0.037231924170394774,0,0.0,1.0,0.6,-0.0
