ticker,name,action,reason,score,score_rank,industry4,cohort_status,score_availability_reason,price,mcap,revenue,op_income,net_income,op_acc2,rev_acc2,debt_log,cfo_to_assets,cfo_isnull,per,pbr,psr,contrib_op,contrib_rev,contrib_debt,contrib_cfo,contrib_missing,score_rebuilt,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps
042520,한스바이오메드,BUY,전략 신규 편입 (rank=1),8.443955453094892,1.0,,,,53000,578928507600.0,67745961528.0,-25931354125.0,-28642191436.0,914.6440940967984,0.1103316629859585,1.3164907840037212,0.0095389628585488,0.0,,17.084335489140685,8.545579611571736,8.732952231581828,0.0196830573609776,-0.2825454432705652,-0.0261343925773468,-0.0,8.443955453094892,187,9911000.0,75,3975000.0,56,2968000.0,56,2968000.0,5.007689415331828
322000,HD현대에너지솔루션,BUY,전략 신규 편입 (rank=2),3.4047762946613718,2.0,,,,131000,911680000000.0,371610970361.0,26547885709.0,29705468294.0,331.35215204500884,0.361026546945386,0.2387237140760429,-0.0117113837868119,0.0,30.690645606961997,2.1821791341232553,2.4533183159645477,3.0664811086646195,0.1007558046224914,0.3334930839356511,-0.0959537025613909,-0.0,3.404776294661371,74,9694000.0,30,3930000.0,22,2882000.0,22,2882000.0,5.000351902506155
095610,테스,BUY,전략 신규 편입 (rank=3),0.8630782011069345,3.0,,,,65800,1306679738600.0,283547331902.0,49421972958.0,44817128622.0,67.84288655189508,-0.0895340492000056,0.218592969761617,0.0346736207209315,0.0,29.155811154723825,3.3354618394120044,4.608330220689985,0.5065835069842635,-0.0449519368374581,0.3449995721417308,0.0564470588183982,-0.0,0.8630782011069343,150,9870000.0,60,3948000.0,45,2961000.0,45,2961000.0,5.00363439801185
000370,한화손해보험,BUY,전략 신규 편입 (rank=4),0.8293607202908178,4.0,,,,7150,882546197400.0,829575512000.0,365734123000.0,256627771000.0,-0.0794608977513453,5.460538639155049,2.02401988710407,-0.0069527625706914,0.0,3.4390128315458113,0.32595382334130707,1.0638527591928244,-0.1532576337493383,1.7498977754481,-0.6869604590853666,-0.0803189623225772,-0.0,0.8293607202908179,1397,9988550.0,559,3996850.0,419,2995850.0,419,2995850.0,5.00394274368381
298380,에이비엘바이오,BUY,전략 신규 편입 (rank=5),0.6511500122346644,5.0,,,,190500,8903190104800.0,77906720026.0,-17981218588.0,-16578264048.0,17.741805684422815,2.612311069348737,0.5838037860418026,-0.0840943988044079,0.0,,56.8177212038541,114.28013015858859,0.0198695521097338,0.8288034544824042,0.1362495187594886,-0.3337725131169623,-0.0,0.6511500122346644,50,9525000.0,20,3810000.0,15,2857500.0,15,2857500.0,5.000813668516492
100840,SNT에너지,BUY,전략 신규 편입 (rank=6),0.4229474406647745,6.0,,,,53300,980269114200.0,457820946881.0,86996847532.0,59509513638.0,4.084069368219204,1.0852600533981915,0.4806543366874994,0.0191922844861076,0.0,16.472477327961993,2.68755352986315,2.1411626551346905,-0.1128104368644906,0.3349672057473376,0.1952084873858181,0.0055821843961093,-0.0,0.42294744066477447,187,9967100.0,75,3997500.0,56,2984800.0,56,2984800.0,5.006230583330559
041920,메디아나,BUY,전략 신규 편입 (rank=7),0.4038645978038731,7.0,,,,19850,479834153400.0,49941574445.0,4370574369.0,3000957137.0,1.9089062941197896,0.4149844530359782,0.0808440058004924,0.0162348621657309,0.0,159.89370440648185,3.542982986710904,9.607910017503254,-0.1339413626641235,0.1182053656751655,0.4237352018065782,-0.0041346070137471,-0.0,0.40386459780387307,503,9984550.0,201,3989850.0,151,2997350.0,151,2997350.0,5.011919089278296
003670,포스코퓨처엠,BUY,전략 신규 편입 (rank=8),0.3814615555059292,8.0,,,,199200,17351761280000.0,2063899869084.0,-33842667016.0,-9927215216.0,51.84458929691228,-0.0562184514572017,0.7063285679793946,0.0169630301544287,0.0,,3.845624369866558,8.407268947451922,0.3511658115291861,-0.0341779354178451,0.0662158460697469,-0.0017421666751587,-0.0,0.3814615555059292,50,9960000.0,20,3984000.0,15,2988000.0,15,2988000.0,5.00097816013201
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=9),0.357349548253499,9.0,,,,42850,3858604180250.0,500603550983.0,-104130697214.0,-77255838835.0,-0.3012909048514487,0.9358406316747347,0.3720491410360144,0.0080063586053385,0.0,,1.8938360308176054,7.707904134265788,-0.1554126323680534,0.2866461438172989,0.2572858941306479,-0.0311698573263943,-0.0,0.35734954825349907,233,9984050.0,93,3985050.0,70,2999500.0,70,2999500.0,5.015014113575794
098460,고영,BUY,전략 신규 편입 (rank=10),0.3378197972095684,10.0,,,,29050,2131730142750.0,172360832068.0,12646074759.0,6302311916.0,4.671794582701394,0.2128991497020375,0.2023496470250895,0.0366600036041082,0.0,338.2457376217874,6.360229308943,12.367833905031205,-0.1071008980967187,0.0528525732140698,0.3542840575326391,0.0377840645595782,-0.0,0.3378197972095684,343,9964150.0,137,3979850.0,103,2992150.0,103,2992150.0,5.001285346011021
005930,삼성전자,SELL,전략 탈락 (universe_rank=18),0.2053595775437866,18.0,,in_target_cohort,scored_in_target_cohort,199400,1081724598060000.0,247544191000000.0,31434989000000.0,32981058000000.0,-4.360398964655245,-0.0416833070638715,0.2618805082840025,0.0507982234729397,0.0,32.79835953291735,2.4791982090442874,4.369824206700936,-0.1948454051315018,-0.0294773844165698,0.3202569424754689,0.1094254246163894,-0.0,0.20535957754378667,100,19940000.0,70,13958000.0,30,5982000.0,0,0.0,5.000031065813463
058470,리노공업,SELL,전략 탈락 (no_feature_history),,,,not_in_target_cohort,no_feature_history,111700,1486131075000.0,195613261121.0,90889285835.0,94871490163.0,,,0.10048937915399032,0.09455861258841382,0.0,15.66467515632629,2.1552327779107885,7.597292057212459,,,,,,,124,13850800.0,87,9717900.0,37,4132900.0,0,0.0,5.000995449546946
214150,클래시스,SELL,전략 탈락 (no_feature_history),,,,not_in_target_cohort,no_feature_history,53400,4153058780600.0,182568152852.0,90337188841.0,97783026518.0,0.2688072711769487,0.22178448371831183,0.23306500788662213,0.06978785506936305,0.0,42.47218488206131,8.012006128590201,22.747991452631407,,,,,,,600,32040000.0,420,22428000.0,180,9612000.0,0,0.0,5.007095148812029
