ticker,industry,cap_bucket,peer_count,revenue_growth,peer_revenue_growth_median,revenue_growth_diff,revenue_growth_pctile,op_growth,peer_op_growth_median,op_growth_diff,op_growth_pctile,quality_score,peer_quality_score_median,quality_score_diff,quality_score_pctile,final_score,peer_final_score_median,final_score_diff,final_score_pctile,explain_text,CFO_safe,Debt_to_Equity_log,OpIncome_ttm_yoy,Revenue_ttm_yoy,CFO_safe__raw,Debt_to_Equity_log__raw,OpIncome_ttm_yoy__raw,Revenue_ttm_yoy__raw,final_score_feat,peer_revenue_growth_mean,peer_op_growth_mean,peer_quality_score_mean,peer_final_score_mean
036530,ALL,2.0,473,0.0,-0.010707339376961052,0.010707339376961052,0.5161290322580645,0.0,-0.013341388105592069,0.013341388105592069,0.5161290322580645,0.00038756458537486617,0.04729912440623113,-0.04691155982085626,0.2468354430379747,1.1836205244907498,0.6345651410305435,0.5490553834602063,0.609704641350211,"성장성은 peer 대비 매출 양호, 영업이익 양호 수준 / 품질은 peer 대비 열위 수준 / 종합 점수는 peer 상위 40%권",0.0,0.0,0.0,0.0,0.0,0.0015502583414994647,0.13565758683828455,0.13027055462620618,1.1836205244907498,0.03803692768637366,-0.20218446710223073,0.028623746511974874,-1.3166757205683952
115180,ALL,,473,-0.09232739484570857,-0.007395051278607267,-0.0849323435671013,0.41687344913151364,0.153466321837332,-0.013341388105592069,0.16680770994292407,0.7096774193548387,0.09538448318643088,0.04726048177711495,0.04812400140931593,0.8734177215189873,1.1449233529741842,0.6345651410305435,0.5103582119436407,0.6075949367088608,"성장성은 peer 대비 매출 보통 이하, 영업이익 양호 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 40%권",0.0,0.35630713103126455,0.153466321837332,-0.09232739484570857,0.0,0.02523080171445894,0.09976136267092128,0.04225856334200517,1.1449233529741842,0.038266597822805774,-0.2025662241217266,0.028422907360598434,-1.3165939083664573
196170,ALL,,473,0.6473860583674278,-0.010707339376961052,0.6580933977443888,0.8610421836228288,-1.2054509305911503,-0.011703963047537302,-1.193746967543613,0.0967741935483871,0.09622650964662921,0.04726048177711495,0.04896602786951426,0.8776371308016878,1.1392415500483515,0.6345651410305435,0.504676409017808,0.6054852320675106,"성장성은 peer 대비 매출 우수, 영업이익 열위 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 40%권",0.0,0.364205318090458,-1.2054509305911503,0.6473860583674278,0.0,0.020700720496058894,-0.8268264992348384,0.19285786547568806,1.1392415500483515,0.03642651460585767,-0.19918583294653136,0.02842112717780732,-1.316581896098115
192080,ALL,,473,-0.11621597424587349,-0.007395051278607267,-0.10882092296726623,0.38957816377171217,0.08489457690526221,-0.013341388105592069,0.09823596501085428,0.6203473945409429,0.096352908371106,0.04726048177711495,0.049092426593991045,0.879746835443038,1.1075868845739494,0.6345651410305435,0.47302174354340587,0.5970464135021097,"성장성은 peer 대비 매출 보통 이하, 영업이익 양호 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 41%권",0.0,0.36539093495305147,0.08489457690526221,-0.11621597424587349,0.0,0.020020698531372533,0.05300520705496514,0.037395053869515804,1.1075868845739494,0.03832602214967185,-0.20239564764179604,0.028420859950060013,-1.3165149729152938
002790,ALL,,473,-1.4699084259932533,-0.007395051278607267,-1.4625133747146462,0.03225806451612903,-0.38627528209373657,-0.011703963047537302,-0.3745713190461993,0.2704714640198511,0.09193642098723154,0.04726048177711495,0.04467593921011659,0.8375527426160337,1.0940019729604094,0.6345651410305435,0.45943683192986584,0.5928270042194093,"성장성은 peer 대비 매출 열위, 영업이익 보통 이하 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 42%권",0.0,0.3239643941597947,-0.38627528209373657,-1.4699084259932533,0.0,0.04378128978913141,-0.268265474779503,-0.23820509596046058,1.0940019729604094,0.041693416308247425,-0.2012235833159279,0.028430197132689766,-1.3164862521719252
000240,ALL,,473,-0.09968576884202714,-0.007395051278607267,-0.09229071756341987,0.4119106699751861,0.1243693739918596,-0.013341388105592069,0.13771076209745167,0.6724565756823822,0.09143489305605407,0.04726048177711495,0.04417441127893912,0.8312236286919831,1.0882422298149304,0.6345651410305435,0.45367708878438684,0.5907172995780591,"성장성은 peer 대비 매출 보통 이하, 영업이익 양호 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 42%권",0.0,0.31926007475525153,0.1243693739918596,-0.09968576884202714,0.0,0.046479497468964744,0.07992139180887015,0.040760461632660006,1.0882422298149304,0.03828490223573194,-0.20249384365444925,0.028431257445440672,-1.3164740751251058
145020,ALL,,473,0.23426765379745623,-0.010707339376961052,0.2449749931744173,0.7146401985111662,0.16972294093421458,-0.013341388105592069,0.18306432903980666,0.739454094292804,0.08978239639240514,0.04726048177711495,0.04252191461529019,0.8164556962025317,1.0750818281225998,0.6345651410305435,0.44051668709205627,0.5864978902953587,"성장성은 peer 대비 매출 양호, 영업이익 양호 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 42%권",0.0,0.303759697532999,0.16972294093421458,0.23426765379745623,0.0,0.05536988803662157,0.11084605962644067,0.1087505085571816,1.0750818281225998,0.037454172328668545,-0.20260666347271386,0.02843475109589236,-1.3164462518657138
214370,ALL,,473,0.07548888536270489,-0.010707339376961052,0.08619622473966594,0.5905707196029777,0.15044810894886457,-0.013341388105592069,0.16378949705445664,0.7022332506203474,0.08814249886180876,0.04726048177711495,0.040882017084693814,0.8037974683544303,1.0750056690669654,0.6345651410305435,0.44044052803642186,0.5843881856540084,"성장성은 peer 대비 매출 양호, 영업이익 양호 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 43%권",0.0,0.28837749986250233,0.15044810894886457,0.07548888536270489,0.0,0.06419249558473272,0.09770337170634735,0.0764245158149226,1.0750056690669654,0.03784914438945151,-0.20255871612946671,0.02843821810969912,-1.3164460908529112
214450,ALL,,473,1.0972317922404227,-0.010707339376961052,1.1079391316173837,0.9205955334987593,0.4913002162142628,-0.013341388105592069,0.5046416043198548,0.9354838709677419,0.07458014313978455,0.04726048177711495,0.027319661362669598,0.6962025316455697,1.062560838618337,0.6345651410305435,0.42799569758779343,0.5822784810126582,"성장성은 peer 대비 매출 매우 우수, 영업이익 매우 우수 수준 / 품질은 peer 대비 양호 수준 / 종합 점수는 peer 상위 43%권",0.0,0.16116294364696815,0.4913002162142628,1.0972317922404227,0.0,0.13715762891217004,0.33011592275219526,0.2844425910134125,1.062560838618337,0.03530749536736763,-0.20340660694355975,0.028466891166193886,-1.3164197804291298
131290,ALL,,473,0.5102958412197968,-0.010707339376961052,0.5210031805967578,0.8188585607940446,0.26353370709466784,-0.013341388105592069,0.2768750952002599,0.8387096774193549,0.08500694561522612,0.04726048177711495,0.03774646383811117,0.7784810126582279,1.054209382183182,0.6345651410305435,0.41964424115263843,0.5759493670886076,"성장성은 peer 대비 매출 우수, 영업이익 우수 수준 / 품질은 peer 대비 우수 수준 / 종합 점수는 peer 상위 43%권",0.0,0.25896608912163627,0.26353370709466784,0.5102958412197968,0.0,0.08106169333926819,0.17481163007233524,0.1649474753886775,1.054209382183182,0.03676753504652342,-0.20284002358754086,0.02844484718633037,-1.3164021240730301
