ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,score,score_adj,rebalance_month_end,w,group_value,price_date,current_price
115180,70113,0,1,1,2016,01042650,큐리언트,2016-05-31,0.5080040537818631,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.05134198445487137,-1.451440153662466,281.0,1.0,0.5080040537818631,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.5080040537818631,0.5080040537818631,2016-05-31,0.1,70113,2016-05-31,20112
196170,70113,0,1,1,2016,00989619,알테오젠,2016-05-31,0.5080040537818631,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.05134198445487137,-1.451440153662466,281.0,1.0,0.5080040537818631,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.5080040537818631,0.5080040537818631,2016-05-31,0.1,70113,2016-05-31,4922
192080,5821,0,1,1,2016,01010110,더블유게임즈,2016-05-31,0.5080040537818631,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.05134198445487137,-1.451440153662466,281.0,1.0,0.5080040537818631,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.5080040537818631,0.5080040537818631,2016-05-31,0.1,5821,2016-05-31,34212
214370,211,0,1,1,2016,00549891,케어젠,2016-05-31,0.5057856115262919,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.054161289345080355,-1.4451017472179768,280.0,1.0,0.5057856115262919,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.5057856115262919,0.5057856115262919,2016-05-31,0.1,211,2016-05-31,18400
214450,213,0,1,1,2016,00970453,파마리서치,2016-05-31,0.5012223833060093,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.05996046288871186,-1.4320639523028837,279.0,1.0,0.5012223833060093,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.5012223833060093,0.5012223833060093,2016-05-31,0.1,213,2016-05-31,54000
145020,211,0,1,1,2016,00888347,휴젤,2016-05-31,0.48714970210474096,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07784471424997752,-1.3918562917278314,278.0,1.0,0.48714970210474096,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.48714970210474096,0.48714970210474096,2016-05-31,0.1,211,2016-05-31,115945
213420,262,0,1,1,2016,01061558,덕산네오룩스,2016-05-31,0.4776356009786466,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.08993569915768918,-1.3646731456532761,277.0,1.0,0.4776356009786466,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4776356009786466,0.4776356009786466,2016-05-31,0.1,262,2016-05-31,12575
000240,64992,0,1,1,2016,00160047,한국앤컴퍼니,2016-05-31,0.4758273533282564,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.09223370868696651,-1.3595067237950182,276.0,1.0,0.4758273533282564,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4758273533282564,0.4758273533282564,2016-05-31,0.1,64992,2016-05-31,23350
023160,2413,0,1,1,2016,00153375,태광,2016-05-31,0.4635605490993122,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.10782296329255671,-1.3244587117123208,275.0,1.0,0.4635605490993122,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4635605490993122,0.4635605490993122,2016-05-31,0.1,2413,2016-05-31,9490
026960,4632,0,1,1,2016,00144395,동서,2016-05-31,0.4634179229231022,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1080042196110617,-1.3240512083517206,274.0,1.0,0.4634179229231022,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4634179229231022,0.4634179229231022,2016-05-31,0.1,4632,2016-05-31,33300
