ticker,name,corp_code,year,quarter,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Debt_to_Equity,Debt_to_Equity_log,CFO_isnull,CFO_warn,CFO_safe,industry,market_cap,cap_bucket,peer_key,score_core,z_Revenue_ttm_yoy,z_OpIncome_ttm_yoy,z_Debt_to_Equity_log,z_CFO_safe,z_rev_cagr,z_ebit_cagr,z_gross_margin,z_ebit_margin,z_roic,z_fcf_conv,z_fcf_stability,z_capex_ratio,z_capex_growth,z_rd_ratio,z_rev_vol,z_ebit_vol,p_pattern_razor,p_pattern_commodity,p_pattern_platform,p_pattern_rnd,p_pattern_infra,score_pattern,score_total,weight
000100,유한양행,00145109,2019,4,2215115469018.0,2.113716748132944,2.7970828754996955,79833308186.0,88.92437882186991,89.91239099310485,34827850406.0,0.28455592268270036,0.3744861731804664,-0.27945375497885044,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
383800,LX홀딩스,01562589,2024,2,98898000000.0,1.9650127417178833,,66908000000.0,6.8254970760233915,,,,,-12.961916461916461,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
003030,세아제강지주,00124197,2023,3,31690639902.0,1.3202605468396666,1.280668442823278,19556332528.0,4.409922972524306,4.763782622742404,,,,-0.8492452034702771,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
229640,LS에코에너지,01093007,2020,2,39703620402.0,4.093619473678637,4.05319375965411,37651319974.0,5.092084313901235,5.068398255359652,,,,-0.1810444297920524,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
086520,에코프로,00536541,2023,3,134220074341.0,4.357499286830004,4.996273248804343,109439025583.0,11.047934981069286,10.793494428859535,5812410239.0,,,-2.605451387011884,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
042700,한미반도체,00161383,2024,4,555547131225.0,2.5366835033718527,3.051787891782385,255609648684.0,5.754811719147414,6.4093293058108385,53733752441.0,0.9597920579429757,-0.9999639712296575,-0.712830120824322,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
222080,씨아이에스,01090471,2024,2,416104030125.0,1.7684431676213257,1.1767807890127722,60852755581.0,9.761385742118303,10.308983769094413,5269350483.0,-0.6175735777373781,0.04419649371058609,-0.6775696437210015,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
066970,엘앤에프,00398701,2021,4,966422607511.0,1.7149149634248562,1.5742564345631003,41750154998.0,91.72848527779847,92.77821366231733,172462955838.0,2.1515249064803763,2.5078192148384413,-3.7219566453882806,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
000880,한화,00160588,2022,4,6161034000000.0,2.853497838400416,3.562697534434564,353186000000.0,8.846278226930583,9.71848782172064,180926000000.0,0.800473688400605,1.2521320061820933,-8.489772714395258,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
025980,아난티,00161781,2021,4,134866148969.0,1.2807020202907808,1.4527143005878682,63258545219.0,300.27946424230595,301.2635289637699,35612306952.0,0.0029170923995121,-0.44991348238681983,-0.546001805523363,0.0,1,0,0.0,ALL,,,ALL|nan,12.190806030802582,5.990657540473594,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.190806030802582,0.03333333333333333
002790,아모레퍼시픽홀딩스,00154462,2023,1,151607946413.0,2.8207392862881915,2.848183117207211,127091715545.0,7.88167182730189,8.1622599208016,739124430.0,1.1404737978351411,0.0787676509094637,0.03371595277947609,0.03316003117078722,1,0,0.0,ALL,,,ALL|nan,12.171241268090702,6.0,6.0,0.3424825361814031,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.171241268090702,0.03333333333333333
003090,대웅,00111810,2023,1,170418666993.0,3.1377411001139377,3.7153851411668857,105439873395.0,8.201818311171067,9.001171285996314,1505900049.0,3.1558560983528254,1.6921514200172698,0.04969346470844056,0.04849818317421587,1,0,0.0,ALL,,,ALL|nan,12.157870250240805,6.0,6.0,0.3157405004816088,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.157870250240805,0.03333333333333333
000990,DB하이텍,00160843,2022,4,3695360368394.0,34.29112210554583,35.20569912211114,1651986182480.0,20.288475120394274,21.153794049419844,203398333217.0,-0.07957684640534823,-0.7931889325646494,0.08062020271403111,0.07753513808318668,1,0,0.0,ALL,,,ALL|nan,12.13255731539,6.0,6.0,0.26511463078000214,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.13255731539,0.03333333333333333
000990,DB하이텍,00160843,2022,4,2479091501608.0,17.529824118661136,18.465232710821,1110857981764.0,9.880178114858966,10.756350618369712,216193007574.0,0.0266351116838639,-0.5608908185774466,0.08062020271403111,0.07753513808318668,1,0,0.0,ALL,,,ALL|nan,12.13255731539,6.0,6.0,0.26511463078000214,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.13255731539,0.03333333333333333
036620,감성코퍼레이션,00261009,2022,4,117401158387.0,1.3990465923058024,-2.087432714760969,16247551642.0,13.005189914249643,11.641606245967457,3039922371.0,0.2288370761378078,,0.12324961586502607,0.11622592698278654,1,0,0.0,ALL,,,ALL|nan,12.098828660928401,6.0,6.0,0.1976573218568008,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.098828660928401,0.03333333333333333
096770,SK이노베이션,00631518,2018,1,4105661960000.0,1.4288709680416427,,2685247781000.0,4.24788915906412,,611987447000.0,3.127621741894936,,0.14327045554296627,0.1338929758455255,1,0,0.0,ALL,,,ALL|nan,12.083427429694945,6.0,6.0,0.16685485938989048,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.083427429694945,0.03333333333333333
003030,세아제강지주,00124197,2022,1,29721888790.0,1.7526291924737873,1.937892006709109,20084883848.0,4.676062001362046,5.1248887161848025,38402000.0,-0.7160500208034286,,0.15739324384136116,0.14617027278214084,1,0,0.0,ALL,,,ALL|nan,12.072724709024863,6.0,6.0,0.1454494180497244,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.072724709024863,0.03333333333333333
000070,삼양홀딩스,00126937,2019,4,177390000000.0,9.107116403623726,9.997487745639404,81477000000.0,7.47218467297494,8.347502310272041,1305000000.0,-0.05159883720930236,0.08516402351842667,0.15966484129508346,0.14813103345195128,1,0,0.0,ALL,,,ALL|nan,12.07101541797666,6.0,6.0,0.14203083595332178,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.07101541797666,0.03333333333333333
000070,삼양홀딩스,00126937,2018,1,160095000000.0,5.405593566198536,6.26564653698621,77132000000.0,4.588870371712194,5.469302517539752,1594000000.0,0.18249258160237392,1.5571451663716902,0.16062093711714617,0.14895515251958594,1,0,0.0,ALL,,,ALL|nan,12.070296993047679,6.0,6.0,0.1405939860953571,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.070296993047679,0.03333333333333333
