ticker,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,Revenue_ttm_ready,Revenue_ttm_yoy_ready,Revenue_acc2_ready,Revenue_acc2_missing_reason,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,OpIncome_ttm_ready,OpIncome_ttm_yoy_ready,OpIncome_acc2_ready,OpIncome_acc2_missing_reason,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,NetIncome_ttm_ready,NetIncome_ttm_yoy_ready,NetIncome_acc2_ready,NetIncome_acc2_missing_reason,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CFO_ttm_ready,CFO_ttm_yoy_ready,CFO_acc2_ready,CFO_acc2_missing_reason,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,CAPEX_ttm_ready,CAPEX_ttm_yoy_ready,CAPEX_acc2_ready,CAPEX_acc2_missing_reason,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,history_quarters,first_quarter_key,latest_quarter_key,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,rebalance_month,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,industry4,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,hold_bonus_applied,score_adj,score_rank,score_adj_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,selected_topk
005690,2025,3,202503,파미셀,00145163,CFS,OFS,130023689333.0,110426481370.0,19597207963.0,0.17746837280214248,0.16336668693169493,100912625003.0,0.7832264966605003,0.7533101135588725,1,1,1,,27828344330.0,18.780652486930077,17.510378878938393,1,1,1,,28770929242.0,7.436402210260946,6.880055617840583,1,1,1,,23880365146.0,2.5473718247340313,2.858917800685539,1,1,1,,1191892746.0,-0.8495947830896442,-2.283016209628914,1,1,1,,130023689333.0,0.1836616486465068,0.009166735324264466,0.27576672719763956,0.21402518627762987,41,20154,20254,0,0,23880365146.0,0.1836616486465068,2025-11-30,26762784575.0,25647340058.0,-0.041678940914166816,8164543412.0,8141453495.0,-0.0028280720470005875,211,True,passed,211,0,0,3,2025,00145163,4.074332222001554,4.074332222001554,0.0,4.074332222001554,1.0,1.0,17.510378878938393,3.0,1.0,1.0,3.0,0.7533101135588725,3.0,1.0,1.0,0.75,0.16336668693169493,-0.9266634914330116,412.0,1.0,0.32433222200155404,1
095610,2025,3,202503,테스,00524421,CFS,CFS,456069678925.0,370700338320.0,85369340605.0,0.2302920493460854,0.2072515796930208,320731821144.0,0.7870260040904451,0.8726870165924935,1,1,1,,67071751544.0,6.581470816234998,6.715815653251147,1,1,1,,67202580757.0,3.6590649345928554,3.683389675237735,1,1,1,,76838023930.0,6.755714454692648,7.2680844580408595,1,1,1,,-53228535972.0,1.095085342670182,4.001381207084897,1,1,1,,456069678925.0,0.16847869411339644,-0.11671141150506818,0.20912097622482734,0.14706470226675572,41,20154,20254,0,0,76838023930.0,0.16847869411339644,2025-11-30,82064274419.0,67568400439.0,-0.17664049408379137,20368092326.0,8416197598.0,-0.5867949995858636,29271,True,passed,29271,0,0,3,2025,00524421,4.041310994137562,4.041310994137562,0.0,4.041310994137562,2.0,2.0,6.715815653251147,3.0,1.0,1.0,3.0,0.8726870165924935,3.0,1.0,1.0,0.75,0.2072515796930208,-0.8323171261073197,397.0,1.0,0.29131099413756184,1
060280,2025,3,202503,큐렉소,00356802,CFS,CFS,103653920153.0,94295676839.0,9358243314.0,0.09924360933299435,0.09462231540074532,68568580340.0,0.1856284872032019,0.4024814455797694,1,1,1,,-493914381.0,-0.9036375668438726,2.0928209578957193,1,1,1,,-4354855074.0,-0.6411280763763819,7.257858193906988,1,1,1,,-7108643440.0,-2.601316614360986,-0.6639058126819224,1,1,1,,3466682826.0,1.201182722600541,1.2622175738960562,1,1,1,,103653920153.0,-0.06858055565585146,0.03344478260815364,-0.007203217254184149,-0.004765033298026258,41,20154,20254,0,0,-7108643440.0,-0.06858055565585146,2025-11-30,16794769259.0,17227825501.0,0.025785185573057715,-205403768.0,341181360.0,2.661027756803371,47812,True,passed,47812,0,0,3,2025,00356802,3.9787687928429443,3.9787687928429443,0.0,3.9787687928429443,3.0,3.0,2.0928209578957193,2.9884116645432464,46.0,1.0,2.9884116645432464,0.4024814455797694,2.4571925632078266,49.0,1.0,0.6142981408019567,0.09462231540074532,-1.0744542499935463,441.0,1.0,0.3760589874977412,1
302440,2025,3,202503,SK바이오사이언스,01319899,CFS,CFS,2922779031548.0,2074814862145.0,847964169403.0,0.4086938959586744,0.34266296017235415,624031259808.0,2.1000056364653372,2.619807644486259,1,1,1,,-122667971135.0,0.27669251507949433,19.92374284725002,1,1,1,,-2440732817.0,-0.9435987762101438,0.9994122229864194,1,1,1,,65895236741.0,-2.229169385374967,3.3871196452087085,1,1,1,,250977133325.0,0.8381100307512648,-1.2753064985253209,1,1,1,,2922779031548.0,0.022545404914205817,0.08586934921045819,-0.19657343956253426,-0.04196963568266432,21,20204,20254,0,1,65895236741.0,0.022545404914205817,2025-11-30,161859526907.0,150764791550.0,-0.06854545771269137,-37395041197.0,-19370985552.0,0.4819905278362408,211,True,passed,211,1,0,3,2025,01319899,3.9394205765283763,3.9394205765283763,0.0,3.9394205765283763,4.0,4.0,19.92374284725002,3.0,1.0,1.0,3.0,2.619807644486259,3.0,1.0,1.0,0.75,0.34266296017235415,-0.5412016472239329,322.0,1.0,0.18942057652837652,1
450080,2025,3,202503,에코프로머티,01311408,CFS,OFS,1808769767946.0,1252503478277.0,556266289669.0,0.44412354880980043,0.3675025969281667,365397733574.0,-0.0868536903128675,0.6331963042456609,1,1,1,,-78259371013.0,0.42190000289464535,2.5775778375967677,1,1,1,,115123995490.0,-4.526543429271994,-1.5142873536394474,1,1,1,,56993811265.0,-1.6525060291703801,-3.793609073155731,1,1,1,,364202313367.0,0.4200353598417157,0.4218163069777333,1,1,1,,1808769767946.0,0.031509710232342586,0.2013536049867642,-0.21417585228987465,-0.04326662928575462,13,20224,20254,0,0,56993811265.0,0.031509710232342586,2025-11-30,78068573064.0,63153785110.0,-0.1910472725276146,-28789921739.0,-25140832974.0,0.1267488254425088,28202,True,passed,28202,0,0,3,2025,01311408,3.9207299690376978,3.9207299690376978,0.0,3.9207299690376978,5.0,5.0,2.5775778375967677,3.0,1.0,1.0,3.0,0.6331963042456609,3.0,1.0,1.0,0.75,0.3675025969281667,-0.4877999115362787,310.0,1.0,0.17072996903769755,1
039030,2025,3,202503,이오테크닉스,00246417,CFS,CFS,750578006024.0,667865123931.0,82712882093.0,0.12384668569929012,0.11675734154468093,370297955362.0,0.22648043451931277,0.3638030436262798,1,1,1,,74958722465.0,1.7359343654426396,2.038518461415926,1,1,1,,57024859966.0,1.0046448634430423,1.1763870447227287,1,1,1,,101168497603.0,1.112529046450788,1.3781237051409518,1,1,1,,2176557350.0,-0.9680242050260143,-19.08529993266093,1,1,1,,750578006024.0,0.13478745285771818,0.0028998416320906743,0.20242812950917058,0.09986799754775011,41,20154,20254,0,0,101168497603.0,0.13478745285771818,2025-11-30,94250015346.0,100513672313.0,0.06645788803328648,25825067486.0,26002275946.0,0.006861877905878321,29271,True,passed,29271,0,0,3,2025,00246417,3.823555736317304,3.823555736317304,0.0,3.823555736317304,6.0,6.0,2.038518461415926,2.9133792067221584,48.0,1.0,2.9133792067221584,0.3638030436262798,2.203092251396592,52.0,1.0,0.550773062849148,0.11675734154468093,-1.0268670478457065,431.0,1.0,0.35940346674599727,1
100840,2025,3,202503,SNT에너지,00648721,CFS,CFS,568675277474.0,331170086401.0,237505191073.0,0.7171698194546923,0.5406774817739702,499950810248.0,0.7429745438162199,0.7982554845315154,1,1,1,,73599004769.0,2.6072409290487104,2.2768034669383335,1,1,1,,64506937746.0,3.998760144484848,4.467720962405766,1,1,1,,102465606794.0,3.933376402097034,5.827297077131954,1,1,1,,6431641054.0,0.4238437920377671,-0.825963705518038,1,1,1,,568675277474.0,0.18018298113669054,0.011309865768332187,0.14721249222996818,0.12942184702651324,41,20154,20254,0,0,102465606794.0,0.18018298113669054,2025-11-30,140680573296.0,148299040553.0,0.05415436601164759,27364301022.0,24317080233.0,-0.11135752331295196,29176,True,passed,29176,0,0,3,2025,00648721,3.79042436788437,3.79042436788437,0.0,3.79042436788437,7.0,7.0,2.2768034669383335,3.0,1.0,1.0,3.0,0.7982554845315154,3.0,1.0,1.0,0.75,0.5406774817739702,-0.11549819395534265,245.0,1.0,0.04042436788436993,1
206650,2025,3,202503,유바이오로직스,00927558,CFS,OFS,232658786701.0,173742680630.0,58916106071.0,0.33909978744064,0.2919975877863711,153687143281.0,0.784951370951241,0.34734398910995345,1,1,1,,63669963231.0,1.3430541295094613,7.957919892873749,1,1,1,,49080778796.0,-23.24393635293924,-22.610443996730577,1,1,1,,74243882379.0,2.542943081213436,2.415794006648646,1,1,1,,-10498551842.0,-0.4449717334497688,0.06877184469024666,1,1,1,,232658786701.0,0.31911058865107067,-0.045124243923321705,0.41428295088149625,0.27366240550727644,37,20164,20254,0,0,74243882379.0,0.31911058865107067,2025-11-30,36234094390.0,41115380764.0,0.134715285594309,11240277023.0,18907297050.0,0.6821024082690884,212,True,passed,212,0,0,3,2025,00927558,3.7512846344031687,3.7512846344031687,0.0,3.7512846344031687,8.0,8.0,7.957919892873749,3.0,1.0,1.0,3.0,0.34734398910995345,2.094963407558996,55.0,1.0,0.523740851889749,0.2919975877863711,-0.6501250928954854,348.0,1.0,0.22754378251341986,1
218410,2025,3,202503,RFHIC,01078178,CFS,CFS,502765939613.0,372911023923.0,129854915690.0,0.34821956809947485,0.29878488357269184,155662482434.0,0.3831373898160346,0.3301657049416056,1,1,1,,21866212577.0,1.894916962401969,3.997376733347082,1,1,1,,14354987061.0,-0.6809412887988417,100.77998191973623,1,1,1,,43777097561.0,1.3905288384953867,1.435266123460285,1,1,1,,22374214934.0,0.03397491529202257,0.437713402779337,1,1,1,,502765939613.0,0.08707252045493986,0.04450224880234005,0.14047195082007732,0.043491833583299895,34,20173,20254,0,0,43777097561.0,0.08707252045493986,2025-11-30,44638672150.0,40496598375.0,-0.09279115115882765,8305469280.0,7362813800.0,-0.11349815985352726,264,True,passed,264,0,0,3,2025,01078178,3.7179640598406585,3.7179640598406585,0.0,3.7179640598406585,9.0,9.0,3.997376733347082,3.0,1.0,1.0,3.0,0.3301657049416056,1.9821095371015744,60.0,1.0,0.4955273842753936,0.29878488357269184,-0.6355333587578992,345.0,1.0,0.2224366755652647,1
036810,2025,3,202503,에프에스티,00223434,CFS,CFS,520233958872.0,236307547258.0,283926411614.0,1.2015122449898303,0.7891445083103221,288072722971.0,0.4377516720313459,0.5366926935750235,1,1,1,,6925047036.0,-1.5104254166010442,22.835355871520576,1,1,1,,-1896377723.0,-0.9006937164969535,0.8052715477680703,1,1,1,,25617196945.0,-1.8457944972580995,0.1297126456917328,1,1,1,,50904938171.0,-0.14421300175758134,-1.2167931448263452,1,1,1,,520233958872.0,0.04924168541504791,0.0978500870673166,0.024039232054251583,0.013311409064904701,41,20154,20254,0,0,25617196945.0,0.04924168541504791,2025-11-30,75999145398.0,65499988910.0,-0.13814834934020584,1730010718.0,-1872319549.0,-2.0822589302594134,2629,True,passed,2629,0,0,3,2025,00223434,3.6034651255645174,3.6034651255645174,0.0,3.6034651255645174,10.0,10.0,22.835355871520576,3.0,1.0,1.0,3.0,0.5366926935750235,3.0,1.0,1.0,0.75,0.7891445083103221,0.4186710698156646,164.0,1.0,-0.1465348744354826,1
