ticker,name,corp_code,year,quarter,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Debt_to_Equity,Debt_to_Equity_log,CFO_isnull,CFO_warn,CFO_safe,industry4,industry,market_cap,cap_bucket,peer_key,score_core,z_Revenue_ttm_yoy,z_OpIncome_ttm_yoy,z_Debt_to_Equity_log,z_CFO_safe,z_rev_cagr,z_ebit_cagr,z_gross_margin,z_ebit_margin,z_roic,z_fcf_conv,z_fcf_stability,z_capex_ratio,z_capex_growth,z_rd_ratio,z_rev_vol,z_ebit_vol,p_pattern_razor,p_pattern_commodity,p_pattern_platform,p_pattern_rnd,p_pattern_infra,score_pattern,score_total,weight
005090,SGC에너지,00125150,2021,4,465812280121.0,5.6553389139074,6.399515265454698,75233927314.0,12.322419604936197,15.474485925639968,26033616521.0,130.4400370442801,131.40571624866877,-4.807515743898653,0.0,1,0,0.0,351,351,571330053450.0,0,351|0,12.582185249416217,6.0,6.0,1.1643704988324315,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.582185249416217,0.03333333333333333
082920,비츠로셀,00154718,2019,3,121571154991.0,1.4515800756342827,,21754453615.0,2.5276707853778304,,,,,-0.08470553191856398,0.0,1,0,0.0,28201,28201,468880366500.0,0,28201|0,12.527404100509221,6.0,6.0,1.0548082010184432,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.527404100509221,0.03333333333333333
042700,한미반도체,00161383,2024,4,555547131225.0,2.5366835033718527,3.051787891782385,255609648684.0,5.754811719147414,6.4093293058108385,53733752441.0,0.9597920579429757,-0.9999639712296575,-0.712830120824322,0.0,1,0,0.0,29271,29271,19564387447500.0,4,29271|4,12.288727187775496,5.944753700260176,6.0,0.6879469750306411,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.288727187775496,0.03333333333333333
036930,주성엔지니어링,00252135,2022,3,393858244554.0,1.0741333078753965,1.1432516385160185,109869445722.0,8.201180691513716,7.019831474554986,,,,-0.4444522909604666,0.0,1,0,0.0,29229,29229,2410684371000.0,2,29229|2,12.271137148770359,6.0,6.0,0.5422742975407173,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.271137148770359,0.03333333333333333
229640,LS에코에너지,01093007,2020,2,39703620402.0,4.093619473678637,4.05319375965411,37651319974.0,5.092084313901235,5.068398255359652,,,,-0.1810444297920524,0.0,1,0,0.0,64992,64992,1353619651800.0,2,64992|2,12.201479273878068,6.0,6.0,0.40295854775613515,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.201479273878068,0.03333333333333333
229640,LS에코에너지,01093007,2022,2,14537803766.0,4.47925228149253,5.412425984692998,12117420720.0,45.52583409002862,46.51891680274148,7540000.0,,,-0.8990490629590631,0.0,1,0,0.0,64992,64992,1353619651800.0,2,64992|2,12.201479273878068,6.0,6.0,0.40295854775613515,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.201479273878068,0.03333333333333333
003380,하림지주,00148364,2021,4,44863865613.0,1.9582203097367339,1.8042846818976168,29883200494.0,10.817097419175221,-0.13892645353110034,575028200.0,,,-5.842875158065513,0.0,1,0,0.0,64992,64992,1692404933310.0,2,64992|2,12.201479273878068,6.0,6.0,0.40295854775613515,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.201479273878068,0.03333333333333333
003090,대웅,00111810,2023,1,170418666993.0,3.1377411001139377,3.7153851411668857,105439873395.0,8.201818311171067,9.001171285996314,1505900049.0,3.1558560983528254,1.6921514200172698,0.04969346470844056,0.04849818317421587,1,0,0.0,212,212,1566926361000.0,2,212|2,12.127152455019138,6.0,6.0,0.2543049100382757,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.127152455019138,0.03333333333333333
086520,에코프로,00536541,2023,3,134220074341.0,4.357499286830004,4.996273248804343,109439025583.0,11.047934981069286,10.793494428859535,5812410239.0,,,-2.605451387011884,0.0,1,0,0.0,64992,64992,20024006336000.0,4,64992|4,12.114885274270797,6.0,6.0,0.22977054854159576,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.114885274270797,0.03333333333333333
000990,DB하이텍,00160843,2016,4,1732936366133.0,59.42115761782745,60.369739928531416,380066804926.0,37.739543808437965,38.661360772675984,62706895581.0,-0.2773363956209328,0.12479232084474623,-1.9053833852379045,0.0,1,0,0.0,2611,2611,4129068684000.0,3,2611|3,12.072223633383528,6.0,6.0,0.14444726676705624,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.072223633383528,0.03333333333333333
