ticker,name,action,reason,industry4,industry_name,score,score_adj,hold_bonus_applied,score_rank,score_adj_rank,op_acc2,op_acc2_log1p,contrib_op_log,op_growth_streak2,contrib_op_streak,rev_acc2,contrib_rev,rev_growth_streak2,contrib_rev_streak,debt_log,contrib_debt,cfo_to_assets,cfo_isnull,score_rebuilt,price,mcap,year,quarter,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,revenue,op_income,net_income,per,pbr,psr,cohort_status,score_availability_reason
060280,큐렉소,BUY,전략 신규 편입 (rank=1),47812.0,기타 상품 전문 소매업,3.553165298384555,3.553165298384555,0.0,1.0,1.0,4.721379518579405,1.7442099508906124,2.5,0.0,0.0,0.580228132847816,0.625,0.0,0.0,0.0495453562144527,0.428165298384555,-0.11131726076255632,0.0,3.553165298384555,17460,716609425600.0,2025.0,4.0,17227825501.0,20799882849.0,0.20734232232574318,341181360.0,1383167831.0,3.0540545093084805,74531816400.0,2361804478.0,2771488547.0,258.56481578309047,7.445372836590382,9.614812307190732,,
041920,메디아나,BUY,전략 신규 편입 (rank=2),27112.0,,3.529750463129177,3.529750463129177,0.0,2.0,2.0,4.40571443774348,1.6874566232521575,2.5,0.0,0.0,0.4112630857650592,0.625,0.0,0.0,0.0808440058004924,0.4047504631291773,0.03748477013146562,0.0,3.529750463129177,19900,479834153400.0,2025.0,4.0,15003243410.0,19229755285.0,0.2817065456781788,1579805028.0,1873913860.0,0.1861678034866971,64944817855.0,5950379397.0,5274496431.0,90.97250508690315,3.542982986710904,7.3883362714375265,,
322000,HD현대에너지솔루션,BUY,전략 신규 편입 (rank=3),2612.0,반도체 제조업,3.4116390618919814,3.4116390618919814,0.0,3.0,3.0,11.569138282747275,2.531244466771533,2.5,0.0,0.0,0.393010459036454,0.625,0.0,0.0,0.2387237140760429,0.2866390618919816,0.033410709098804885,0.0,3.4116390618919814,123200,911680000000.0,2025.0,4.0,121048903311.0,152645481443.0,0.26102324984160963,14675004746.0,14520929057.0,-0.010499191766326124,492659873672.0,41222890455.0,41676678809.0,21.875063609990065,2.1821791341232553,1.8505261920457776,,
425420,티에프이,BUY,전략 신규 편입 (rank=4),262.0,전자부품 제조업,3.385118577991137,3.385118577991137,0.0,4.0,4.0,3.863937580103367,1.5818483115435626,2.5,0.0,0.0,0.6010818700044805,0.625,0.0,0.0,0.2741736894190931,0.2601185779911376,0.08917505164036063,0.0,3.3851185779911375,69000,499056850000.0,2025.0,4.0,27219872546.0,37449464085.0,0.37581335187049775,4826605353.0,7333413860.0,0.5193730010351646,111742413458.0,19055611474.0,18106528316.0,27.56226048916312,4.570447527878399,4.466136308999427,,
218410,RFHIC,BUY,전략 신규 편입 (rank=5),264.0,통신 및 방송 장비 제조업,3.350549329532591,3.350549329532591,0.0,5.0,5.0,15.143604168997992,2.781523944541956,2.5,0.0,0.0,0.5865324602488591,0.625,0.0,0.0,0.3203824618557173,0.2255493295325908,0.05400963563674987,0.0,3.350549329532591,82400,1332167432600.0,2025.0,4.0,40496598375.0,68794455517.0,0.6987712123364238,7362813800.0,11485832303.0,0.5599786460714244,185803786324.0,30889493523.0,35505822915.0,37.51968897578219,3.360158592501505,7.169753959033966,,
098460,고영,BUY,전략 신규 편입 (rank=6),29271.0,특수 목적용 기계 제조업,3.330400224238243,3.330400224238243,0.0,6.0,6.0,5.056814388302362,1.8011839833658807,2.5,0.0,0.0,0.251005614690228,0.5165493561236049,0.0,0.0,0.2023496470250895,0.3138508681146381,0.04408646575106034,0.0,3.3304002242382427,27300,2131730142750.0,2025.0,4.0,60286386588.0,69145594228.0,0.14695204243280066,4696263718.0,6945453122.0,0.4789316654810568,232647218656.0,17342338477.0,14756087568.0,144.46445461416633,6.360229308943,9.162929843154703,,
053610,프로텍,BUY,전략 신규 편입 (rank=7),29271.0,특수 목적용 기계 제조업,3.240711189643327,3.240711189643327,0.0,7.0,7.0,2.673449116080559,1.3011310343640652,2.400918194038148,0.0,0.0,0.2627267104070239,0.5418336273143767,0.0,0.0,0.2235918415123911,0.2979593682908019,0.06689359604114349,0.0,3.240711189643327,54900,623700000000.0,2025.0,4.0,51043854828.0,84640759640.0,0.6581968569029486,15552015645.0,18008273289.0,0.1579382184321356,230542705719.0,46306851990.0,35376620336.0,17.63028785893687,1.7613683296943028,2.705355600190643,,
100840,SNT에너지,BUY,전략 신규 편입 (rank=8),29176.0,일반 목적용 기계 제조업,3.2306483243809,3.2306483243809,0.0,8.0,8.0,3.934856679672202,1.596323630857286,2.5,0.0,0.0,1.1457911592997267,0.625,0.0,0.0,0.4806543366874994,0.1056483243809,0.17460869397357323,0.0,3.2306483243809,48200,980269114200.0,2025.0,4.0,148299040553.0,201884235798.0,0.36133204264291513,24317080233.0,46752685574.0,0.9226274341338602,606119987434.0,111313927765.0,84373067879.0,11.6182703656789,2.68755352986315,1.6172855779759958,,
353200,대덕전자,BUY,전략 신규 편입 (rank=9),2622.0,전자부품 제조업,3.1969275521447127,3.1969275521447127,0.0,9.0,9.0,3.8829029955421572,1.5857399191320751,2.5,0.0,0.0,0.2133497499140821,0.4353196554260177,0.0,0.0,0.272182914576249,0.261607896718695,0.060739662834670874,0.0,3.1969275521447127,85400,2841473187500.0,2025.0,4.0,286173331095.0,317887737499.0,0.11082236867652728,24447836803.0,28949052994.0,0.1841151111761207,1065294559811.0,49061483387.0,47605327690.0,59.68813419378859,3.166674297271026,2.667312210816248,,
356860,티엘비,BUY,전략 신규 편입 (rank=10),2622.0,전자부품 제조업,3.0890648144939963,3.0890648144939963,0.0,10.0,10.0,6.628851238171372,2.031937275399213,2.5,0.0,0.0,0.3853332584994324,0.625,0.0,0.0,0.6699092519914207,-0.0359351855060038,0.03323317355474315,0.0,3.0890648144939963,73100,545710965000.0,2025.0,4.0,68887950289.0,72566838514.0,0.05340394378938929,8652412088.0,8579643355.0,-0.008410225063242504,258497722389.0,25962618716.0,18952806811.0,28.79314765574856,4.329552934885771,2.1110861633774376,,
