ticker,name_final,shares,current_shares,current_weight,target_shares,target_value,score,score_rank,industry4,cohort_status,score_availability_reason,filter_status_diag,passed_filters_diag,selected_topk_diag,in_target_topk_diag,current_price_diag,price_date_diag,current_value_diag,is_current,is_target,action,reason
042520,한스바이오메드,,,,,,15.556249778439422,1.0,213.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=1)
322000,HD현대에너지솔루션,,,,,,5.988372488250289,2.0,2612.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=2)
027360,아주IB투자,,,,,,5.205082163352273,3.0,649.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=3)
001270,부국증권,,,,,,1.7354341246156508,4.0,66121.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=4)
018880,한온시스템,,,,,,1.476590514387485,5.0,29172.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=5)
095610,테스,,,,,,1.4547459371139355,6.0,29271.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=6)
003670,포스코퓨처엠,,,,,,0.8715685618118824,7.0,282.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=7)
033240,자화전자,,,,,,0.5702337343115804,8.0,26292.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=8)
403870,HPSP,,,,,,0.5134596420029679,9.0,29271.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=9)
356860,티엘비,,,,,,0.5012245653860428,10.0,2622.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=10)
214150,클래시스,600.0,600.0,,,,,,,not_in_target_cohort,no_feature_history,not_in_target_cohort,False,0.0,0.0,,,,1,0,HOLD_REVIEW,평가 보류 유지 (no_feature_history)
058470,리노공업,125.0,125.0,,,,0.3698222202192047,22.0,2629.0,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,,,,1,0,SELL,전략 탈락 (universe_rank=22)
005930,삼성전자,100.0,100.0,,,,0.1883823917296287,126.0,264.0,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,,,,1,0,SELL,전략 탈락 (universe_rank=126)
