ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib
042520,213,0,0,4,2025,00349060,한스바이오메드,2026-03-31,8.249315291967747,8.249315291967747,1.0,914.6440940967984,8.581153965047863,1.0,1.0,8.581153965047863,0.11033166298595853,0.06703757302060274,21.0,1.0,0.016759393255150686,1.3164907840037212,0.9199012950221764,13.0,1.0,-0.3219654532577617,0.009538962858548805,-0.26632613077504397,56.0,1.0,-0.026632613077504398,0,0.0,1.0,1.0,-0.0
322000,2612,0,0,4,2025,01199550,HD현대에너지솔루션,2026-03-31,3.350396249461218,3.350396249461218,2.0,331.35215204500884,3.0096846626643843,2.0,1.0,3.0096846626643843,0.36102654694538605,0.38854035068091486,10.0,1.0,0.09713508767022871,0.23872371407604293,-0.9685420145299838,75.0,1.0,0.3389897050854943,-0.011711383786811906,-0.9541320595888928,76.0,1.0,-0.09541320595888929,0,0.0,1.0,1.0,-0.0
095610,29271,0,0,4,2025,00524421,테스,2026-03-31,0.8514408280291123,0.8514408280291123,3.0,67.84288655189508,0.4927052947955445,3.0,1.0,0.4927052947955445,-0.08953404920000563,-0.18927951096601497,64.0,1.0,-0.047319877741503744,0.21859296976161705,-1.0038147283450698,78.0,1.0,0.3513351549207744,0.03467362072093153,0.5472025605429707,20.0,1.0,0.05472025605429707,0,0.0,1.0,1.0,-0.0
000370,65121,0,0,4,2025,00135917,한화손해보험,2026-03-31,0.7401464790144461,0.7401464790144461,4.0,-0.07946089775134535,-0.15607320955062015,53.0,1.0,-0.15607320955062015,5.460538639155049,6.928391808611322,1.0,1.0,1.7320979521528306,2.02401988710407,2.159620561220348,6.0,1.0,-0.7558671964271217,-0.006952762570691483,-0.8001106716064269,74.0,1.0,-0.0800110671606427,0,0.0,1.0,1.0,-0.0
298380,211,0,0,4,2025,01256864,에이비엘바이오,2026-03-31,0.630745246778098,0.630745246778098,5.0,17.741805684422815,0.014151394175107294,5.0,1.0,0.014151394175107294,2.6123110693487375,3.275692317346041,2.0,1.0,0.8189230793365102,0.5838037860418026,-0.36389916419011803,50.0,1.0,0.1273647074665413,-0.08409439880440796,-3.2969393420006075,86.0,1.0,-0.32969393420006077,0,0.0,1.0,1.0,-0.0
100840,29176,0,0,4,2025,00648721,SNT에너지,2026-03-31,0.4082632402213108,0.4082632402213108,6.0,4.084069368219204,-0.11630413442024605,12.0,1.0,-0.11630413442024605,1.0852600533981915,1.3173310795612374,3.0,1.0,0.32933276989030935,0.48065433668749946,-0.5446357008243227,55.0,1.0,0.1906224952885129,0.01919228448610767,0.04612109462734601,40.0,1.0,0.004612109462734601,0,0.0,1.0,1.0,-0.0
041920,27112,0,0,4,2025,00273439,메디아나,2026-03-31,0.408205269769238,0.408205269769238,7.0,1.9089062941197898,-0.13708078744993415,13.0,1.0,-0.13708078744993415,0.4149844530359782,0.45773847874350104,8.0,1.0,0.11443461968587526,0.08084400580049247,-1.245175887586633,85.0,1.0,0.4358115606553215,0.01623486216573095,-0.04960123122024675,47.0,1.0,-0.004960123122024675,0,0.0,1.0,1.0,-0.0
003670,282,0,0,4,2025,00155276,포스코퓨처엠,2026-03-31,0.3528762219460445,0.3528762219460445,8.0,51.84458929691228,0.33989327114062406,4.0,1.0,0.33989327114062406,-0.056218451457201724,-0.1465540390913733,59.0,1.0,-0.036638509772843324,0.7063285679793946,-0.14921353205263832,43.0,1.0,0.05222473621842341,0.01696303015442872,-0.026032756401596024,44.0,1.0,-0.002603275640159603,0,0.0,1.0,1.0,-0.0
302440,211,0,0,4,2025,01319899,SK바이오사이언스,2026-03-31,0.34886801662206823,0.34886801662206823,9.0,-0.3012909048514487,-0.15819207831221876,64.0,1.0,-0.15819207831221876,0.9358406316747347,1.1257086644493934,5.0,1.0,0.28142716611234836,0.3720491410360144,-0.7349316941175793,62.0,1.0,0.25722609294115273,0.008006358605338501,-0.3159316411921412,59.0,1.0,-0.03159316411921412,0,0.0,1.0,1.0,-0.0
098460,29271,1,0,4,2025,00579999,고영,2026-03-31,0.3369397198519973,0.3369397198519973,10.0,4.671794582701394,-0.11069031952815976,10.0,1.0,-0.11069031952815976,0.2128991497020375,0.19857488784747154,14.0,1.0,0.049643721961867886,0.20234964702508956,-1.0322759747521901,80.0,1.0,0.3612965911632665,0.03666000360410823,0.6114954375837108,19.0,0.6,0.036689726255022655,0,0.0,1.0,0.6,-0.0
