ticker,name_current,shares,price_date,current_price,current_value,current_weight,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,Revenue_ttm_ready,Revenue_ttm_yoy_ready,Revenue_acc2_ready,Revenue_acc2_missing_reason,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,OpIncome_ttm_ready,OpIncome_ttm_yoy_ready,OpIncome_acc2_ready,OpIncome_acc2_missing_reason,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,NetIncome_ttm_ready,NetIncome_ttm_yoy_ready,NetIncome_acc2_ready,NetIncome_acc2_missing_reason,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CFO_ttm_ready,CFO_ttm_yoy_ready,CFO_acc2_ready,CFO_acc2_missing_reason,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,CAPEX_ttm_ready,CAPEX_ttm_yoy_ready,CAPEX_acc2_ready,CAPEX_acc2_missing_reason,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,history_quarters,first_quarter_key,latest_quarter_key,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,rebalance_month,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,industry4,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,hold_bonus_applied,score_adj,score_rank,score_adj_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,selected_topk,latest_available_rebalance_month_x,latest_available_year_x,latest_available_quarter_x,latest_available_rebalance_month_y,latest_available_year_y,latest_available_quarter_y,latest_available_name,latest_available_group,latest_OpIncome_acc2,latest_Revenue_acc2,latest_Debt_to_Equity_log,in_target_topk,cohort_status,score_availability_reason
005930,삼성전자,100,2025-11-14,97200,9720000,0.19269465232690688,2025,3,202503,삼성전자,00126380,CFS,CFS,523659586000000.0,413501494000000.0,110158092000000.0,0.2664031293681372,0.23618070065563088,315556836000000.0,0.07749117220755686,-0.04192792937526435,1,1,1,,30020094000000.0,0.03311032513449397,-2.57729809195265,1,1,1,,33319454000000.0,0.008405707754576275,0.00664948133206833,1,1,1,,78537767000000.0,0.10763875152898761,-0.5488363487032324,1,1,1,,55137428000000.0,0.0232330007256496,0.15568577881164958,1,1,1,,523659586000000.0,0.14997866763008136,0.10529250198811409,0.0951337146757296,0.05732749824997952,41,20154,20254,0,0,78537767000000.0,0.14997866763008136,2025-11-30,74566317000000.0,86061747000000.0,0.15416384317331913,4676057000000.0,12166062000000.0,1.6017779509531214,264,True,passed,264,0,0,3,2025,00126380,-2.846052781185924,-2.846052781185924,0.2,-2.646052781185924,423.0,419.0,-2.57729809195265,-3.0,419.0,1.0,-3.0,-0.04192792937526435,-0.4623841267417909,325.0,1.0,-0.11559603168544773,0.23618070065563088,-0.7701235728557819,374.0,1.0,0.26954325049952366,0,2026-03-31,2025,4,2026-03-31,2025,4,삼성전자,264,-3.65110639581233,-0.053152178629700675,0.26188050828400256,0,in_target_cohort,scored_in_target_cohort
058470,리노공업,125,2025-11-14,56500,7062500,0.1400109035039897,2025,3,202503,리노공업,00369657,CFS,OFS,762438669514.0,689545505354.0,72893164160.0,0.10571189804591358,0.10048937915399032,371192980206.0,0.4687918322292848,0.45494518613605295,1,1,1,,173663700155.0,0.4791104338769807,0.30396487647012393,1,1,1,,150668799016.0,0.4718331328774552,0.3539385022091157,1,1,1,,173472847832.0,0.60126049608852,0.00451113747358356,1,1,1,,48648974271.0,-0.30297600560798155,-3.006506520084722,1,1,1,,762438669514.0,0.22752367471415963,0.06380706569094959,0.46785286741851184,0.22777399297663925,41,20154,20254,0,0,173472847832.0,0.22752367471415963,2025-11-30,112522064123.0,96841827642.0,-0.13935254923745122,53444357551.0,48261344084.0,-0.09697961963625513,2629,True,passed,2629,0,0,3,2025,00369657,1.5887687752954385,1.5887687752954385,0.2,1.7887687752954384,76.0,71.0,0.30396487647012393,0.5166603238381449,126.0,1.0,0.5166603238381449,0.45494518613605295,2.80185656587696,42.0,1.0,0.70046414146924,0.10048937915399032,-1.0618408856801536,435.0,1.0,0.3716443099880537,0,2026-03-31,2025,4,2026-03-31,2025,4,리노공업,2629,0.3392016081180602,0.2506735649232621,0.07975774800642708,0,in_target_cohort,scored_in_target_cohort
214150,클래시스,600,2025-11-14,56100,33660000,0.6672944441691034,2025,3,202503,클래시스,01061327,CFS,CFS,654403558092.0,518354418849.0,136049139243.0,0.2624635467468292,0.23306500788662213,317798226287.0,0.47442850086855737,0.23273709300959866,1,1,1,,155205037348.0,0.42955339180280117,0.18350958154252095,1,1,1,,117689661512.0,0.38691162775532884,0.42877504968923574,1,1,1,,112081862518.0,0.1785038572849731,-0.7804982255197095,1,1,1,,20525849458.0,1.2444552835344749,0.9427893302486414,1,1,1,,654403558092.0,0.17127330854494355,0.03136573633225013,0.48837603394248047,0.2371702223021537,34,20154,20254,0,0,112081862518.0,0.17127330854494355,2025-11-30,83283805952.0,82997291548.0,-0.0034402174675486185,43010649853.0,37618140937.0,-0.12537613206101958,271,True,passed,271,0,0,3,2025,01061327,0.9576203752957266,0.9576203752957266,0.2,1.1576203752957266,106.0,98.0,0.18350958154252095,0.3502212570938507,148.0,1.0,0.3502212570938507,0.23273709300959866,1.3420458472669128,83.0,1.0,0.3355114618167282,0.23306500788662213,-0.7768218753861363,377.0,1.0,0.2718876563851477,0,2026-03-31,2025,4,2026-03-31,2025,4,클래시스,271,0.02710759449645228,0.03769648525914526,0.24474299343029438,0,in_target_cohort,scored_in_target_cohort
