ticker,year,quarter,quarter_key,name,corp_code,fs_div,fs_div_used,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,OpMargin_ttm,OpIncome_to_Assets_ttm,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,industry4,rebalance_month,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CAPEX_ttm_yoy__raw,CAPEX_ttm_yoy__z,CAPEX_ttm_yoy__rank,CAPEX_ttm_yoy__mult,CAPEX_ttm_yoy__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,selected_topk
042520,2025,4,202504,한스바이오메드,00349060,CFS,,126407117302.0,33886510129.0,92520607173.0,2.730307925507533,1.3164907840037212,67745961528.0,0.12305422094793572,0.11033166298595853,-25931354125.0,913.6507234287205,914.6440940967984,-28642191436.0,2.6873062758463355,3.3567083460088596,1205792797.0,-2.6107765869491315,-2.400588909301879,448853038.0,-0.3545735413837864,-1.1348179983492486,126407117302.0,0.009538962858548805,0.0035508525752362703,-0.38277343091930793,-0.20514156701356653,0,0,1205792797.0,0.009538962858548805,213,2026-03-31,True,passed,213,0,0,4,2025,00349060,8.021742745418116,8.021742745418116,1.0,914.6440940967984,8.732952231581828,1.0,1.0,8.732952231581828,1.3164907840037212,0.8072726950587578,15.0,1.0,-0.6458181560470062,0.009538962858548805,-0.26134392577346843,57.0,1.0,-0.06533598144336711,-0.3545735413837864,0.0003689911555968015,66.0,1.0,-5.534867333952022e-05,0,0.0,1.0,1.0,-0.0,1
322000,2025,4,202504,HD현대에너지솔루션,01199550,CFS,,530430417283.0,417784216586.0,112646200697.0,0.26962770785720197,0.23872371407604293,371610970361.0,0.15504644157424452,0.36102654694538605,26547885709.0,330.35938550168385,331.35215204500884,29705468294.0,-48.68470480595912,-47.762016226342965,-6212074189.0,-1.1792679042882137,-0.8961128016831201,1056098140.0,-0.7767304559426826,-0.8832676545341498,530430417283.0,-0.011711383786811906,0.001991021075694724,0.07143999458145749,0.05004970462475559,0,0,-6212074189.0,-0.011711383786811906,2612,2026-03-31,True,passed,2612,0,0,4,2025,01199550,3.6000019318991305,3.6000019318991305,2.0,331.35215204500884,3.0664811086646195,2.0,1.0,3.0664811086646195,0.23872371407604293,-0.952837382673289,78.0,1.0,0.7622699061386312,-0.011711383786811906,-0.9595370256139096,79.0,1.0,-0.2398842564034774,-0.7767304559426826,-0.07423448999571565,85.0,1.0,0.011135173499357347,0,0.0,1.0,1.0,-0.0,1
095610,2025,4,202504,테스,00524421,CFS,,487468886334.0,391753766498.0,95715119836.0,0.24432469582009406,0.21859296976161705,283547331902.0,0.4979921778457592,-0.08953404920000563,49421972958.0,0.43623734753681864,67.84288655189508,44817128622.0,0.11587494077453853,-6.021556660924148,16902311278.0,0.49347007222799144,2.712255125568911,62513702290.0,-3.620737702929877,1.61905442341408,487468886334.0,0.03467362072093153,0.12824142020659626,0.1742988467797725,0.10138487674501025,0,0,16902311278.0,0.03467362072093153,29271,2026-03-31,True,passed,29271,0,0,4,2025,00524421,1.522795632518174,1.522795632518174,3.0,67.84288655189508,0.5065835069842635,3.0,1.0,0.5065835069842635,0.21859296976161705,-0.9857130632620881,81.0,1.0,0.7885704506096705,0.03467362072093153,0.5644705881839829,20.0,1.0,0.14111764704599572,-3.620737702929877,-0.5768268525216276,87.0,1.0,0.08652402787824413,0,0.0,1.0,1.0,-0.0,1
042700,2025,4,202504,한미반도체,00161383,CFS,,813331626120.0,690327519537.0,123004106583.0,0.17818224408248765,0.1639727796154585,410453262426.0,0.1714125938188491,-1.570105496041904,183568130453.0,0.17606479646082707,-3.7527024678870378,148294300129.0,0.2982772054444329,0.8459041941419514,88360913617.0,0.039314751134645665,-4.072934680576493,48288157182.0,2.2013348874647187,-8.375844174245657,813331626120.0,0.1086406956022673,0.05937080968111217,0.4472327235700684,0.22569899479836053,0,0,88360913617.0,0.1086406956022673,29271,2026-03-31,True,passed,29271,0,0,4,2025,00161383,1.3518578338326148,1.3518578338326148,4.0,-3.7527024678870378,-0.1889418525497155,86.0,1.0,-0.1889418525497155,0.1639727796154585,-1.0749137354725922,85.0,1.0,0.8599309883780738,0.1086406956022673,2.994703946697427,2.0,1.0,0.7486759866743568,2.2013348874647187,0.4520485911340021,6.0,1.0,-0.06780728867010032,0,0.0,1.0,1.0,-0.0,1
100790,2025,4,202504,미래에셋벤처투자,00340096,CFS,,1100137937076.0,378332006272.0,721805930804.0,1.9078637779460326,1.0674187146765506,218074856782.0,-0.07726809056373407,-0.29798969745711756,25309314031.0,0.3302798952592372,0.7494170636406072,23691033448.0,,,81491074845.0,0.28260467843035175,-9.361138833634216,225268040.0,-51.22609184228598,,1100137937076.0,0.07407350669279794,0.00020476345048033552,0.11605791884710774,0.023005582462021376,0,0,81491074845.0,0.07407350669279794,649,2026-03-31,True,passed,649,0,0,4,2025,00340096,1.347575463743478,1.347575463743478,5.0,0.7494170636406072,-0.14520538290539825,18.0,1.0,-0.14520538290539825,1.0674187146765506,0.4005110936547125,23.0,1.0,-0.32040887492377,0.07407350669279794,1.8589778721892964,4.0,1.0,0.4647444680473241,-51.22609184228598,-8.989635023502148,89.0,1.0,1.3484452535253222,0,0.0,1.0,1.0,-0.0,1
030190,2025,4,202504,NICE평가정보,00158325,CFS,,646531372501.0,469548309154.0,176983063347.0,0.3769219479586157,0.31985053546651265,451095582703.0,0.12591257281540202,0.0339047526445877,77392774235.0,0.205986508966435,-0.09245799219666773,55114988928.0,-0.03581911362782264,-0.36843379531866083,45771128089.0,-0.03498909755740354,-0.4783663757204978,2685539291.0,-0.5319162593445601,-0.7020547674283888,646531372501.0,0.0707949065363092,0.004153764852293918,0.17156624272677742,0.11970459211533513,0,0,45771128089.0,0.0707949065363092,63991,2026-03-31,True,passed,63991,0,0,4,2025,00158325,0.9453549308410923,0.9453549308410923,6.0,-0.09245799219666773,-0.1533838958404915,55.0,1.0,-0.1533838958404915,0.31985053546651265,-0.8203485176040349,70.0,1.0,0.656278814083228,0.0707949065363092,1.7512574643955734,5.0,1.0,0.43781436609889335,-0.5319162593445601,-0.03097097666308332,72.0,1.0,0.004645646499462498,0,0.0,1.0,1.0,-0.0,1
041920,2025,4,202504,메디아나,00273439,CFS,,146835881738.0,135432248814.0,11403632924.0,0.084201754189739,0.08084400580049247,49941574445.0,0.1350387385333769,0.4149844530359782,4370574369.0,1.180374769618802,1.9089062941197898,3000957137.0,-0.5933901542798659,-0.7851238347895226,2383860301.0,-0.19804440461810813,0.13651757544230436,107940201.0,-0.6469843092274332,-2.0802977054237335,146835881738.0,0.01623486216573095,0.0007351077932885522,0.08751374816613473,0.029765029618567196,0,0,2383860301.0,0.01623486216573095,27112,2026-03-31,True,passed,27112,0,0,4,2025,00273439,0.8319555906663602,0.8319555906663602,7.0,1.9089062941197898,-0.13394136266412354,13.0,1.0,-0.13394136266412354,0.08084400580049247,-1.2106720051616522,88.0,1.0,0.9685376041293218,0.01623486216573095,-0.04134607013747122,48.0,1.0,-0.010336517534367805,-0.6469843092274332,-0.05130577823686534,81.0,1.0,0.007695866735529801,0,0.0,1.0,1.0,-0.0,1
005930,2025,4,202504,삼성전자,00126380,CFS,,566942110000000.0,436320337000000.0,130621773000000.0,0.2993712690499687,0.26188050828400256,247544191000000.0,0.11620943587097132,-0.04168330706387158,31434989000000.0,0.33523919840595284,-4.360398964655245,32981058000000.0,0.35443337036071654,-1.1707793528689163,28799652000000.0,0.30775123056109877,0.2036139453988175,12759490000000.0,-0.18955302253227924,-0.18049774206135205,566942110000000.0,0.05079822347293977,0.022505807515338736,0.12698738303255114,0.05544655873242508,0,0,28799652000000.0,0.05079822347293977,264,2026-03-31,True,passed,264,0,0,4,2025,00126380,0.806304317543929,0.806304317543929,8.0,-4.360398964655245,-0.19484540513150184,88.0,1.0,-0.19484540513150184,0.26188050828400256,-0.915019835644197,75.0,1.0,0.7320158685153576,0.05079822347293977,1.0942542461638944,9.0,1.0,0.2735635615409736,-0.18955302253227924,0.029531382539335845,57.0,1.0,-0.004429707380900377,0,0.0,1.0,1.0,-0.0,1
026960,2025,4,202504,동서,00144395,CFS,,1798366336076.0,1737278347482.0,61087988594.0,0.03516304032830463,0.03455894119852598,395556317133.0,0.060997332221572,0.0493093912902518,31878617432.0,-0.07339568186511647,-0.10539702834330966,112428097523.0,-0.10952479845285057,-0.2555391158423913,20453992000.0,0.3321584777324422,0.529241484973492,823547134.0,0.38203573506600774,0.625361020222278,1798366336076.0,0.011373651513423127,0.0004579418094518849,0.08059185519537862,0.017726431368571164,0,0,20453992000.0,0.011373651513423127,4632,2026-03-31,True,passed,4632,0,0,4,2025,00144395,0.8056514275935347,0.8056514275935347,9.0,-0.10539702834330966,-0.15350959391618482,56.0,1.0,-0.15350959391618482,0.03455894119852598,-1.2862605167496586,89.0,1.0,1.0290084133997268,0.011373651513423127,-0.20106411102190777,55.0,1.0,-0.05026602775547694,0.38203573506600774,0.13054242756353557,26.0,1.0,-0.019581364134530335,0,0.0,1.0,1.0,-0.0,1
281820,2025,4,202504,케이씨텍,01261893,CFS,,600479162239.0,530239452127.0,70239710112.0,0.1324679063963286,0.12439923925061419,286892657970.0,,,45097098548.0,,,38393555988.0,,,14485546480.0,,,14184491213.0,,,600479162239.0,0.024123312499284576,0.02362195410763372,0.15719153939699546,0.07510185429224046,0,0,14485546480.0,0.024123312499284576,272,2026-03-31,True,passed,272,0,0,4,2025,01261893,0.8050344804892003,0.8050344804892003,10.0,,-0.15238683409032583,42.0,1.0,-0.15238683409032583,0.12439923925061419,-1.1395416028023786,86.0,1.0,0.9116332822419029,0.024123312499284576,0.21783377681921734,31.0,1.0,0.054458444204804335,,0.057802745781207185,44.0,1.0,-0.008670411867181078,0,0.0,1.0,1.0,-0.0,1
