ticker,name,action,reason,industry_code,industry_name,score,score_adj,hold_bonus_applied,score_rank,op_acc2,op_acc2_log1p,contrib_op_log,op_growth_streak2,contrib_op_streak,rev_acc2,contrib_rev,rev_growth_streak2,contrib_rev_streak,debt_log,contrib_debt,cfo_to_assets,cfo_isnull,score_rebuilt,price,mcap,year,quarter,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,revenue,op_income,net_income,per,pbr,psr,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps,cohort_status,score_availability_reason
218410,RFHIC,BUY,전략 신규 편입 (rank=1),032604,통신 및 방송 장비 제조업,5.188174929908726,5.188174929908726,0.0,1.0,15.143604168997992,2.781523944541956,4.0,0.0,0.0,0.5865324602488591,1.0,0.0,0.0,0.3203824618557173,0.1881749299087262,0.05400963563674987,0.0,5.188174929908726,82400.0,1332167432600.0,2025.0,4.0,40496598375.0,68794455517.0,0.6987712123364238,7362813800.0,11485832303.0,0.5599786460714244,185803786324.0,30889493523.0,35505822915.0,37.51968897578219,3.360158592501505,7.169753959033966,133.0,10959200.0,53.0,4367200.0,40.0,3296000.0,40.0,3296000.0,5.001591548372874,,
171090,선익시스템,BUY,전략 신규 편입 (rank=2),032902,특수 목적용 기계 제조업,4.687160220105934,4.687160220105934,0.0,2.0,16.054092699958822,2.836390215977585,4.0,0.0,0.0,2.7579613134265983,1.0,0.0,0.0,0.9331366710194042,-0.3128397798940665,0.2661307089996847,0.0,4.687160220105934,92800.0,949440500000.0,2025.0,4.0,88763491261.0,221048965214.0,1.4903140026796382,19797084035.0,53561228179.0,1.7055109774907817,515761033577.0,111525548096.0,96523950618.0,9.836320352836307,6.602242018894425,1.8408534925860278,117.0,10857600.0,47.0,4361600.0,35.0,3248000.0,35.0,3248000.0,5.0049252859946325,,
060280,큐렉소,BUY,전략 신규 편입 (rank=3),074708,기타 상품 전문 소매업,4.499499063518583,4.499499063518583,0.0,3.0,4.721379518579405,1.7442099508906124,2.889875840220103,1.0,0.15,0.580228132847816,1.0,1.0,0.05,0.0495453562144527,0.4096232232984796,-0.11131726076255632,0.0,4.4994990635185825,17460.0,716609425600.0,2025.0,4.0,17227825501.0,20799882849.0,0.20734232232574318,341181360.0,1383167831.0,3.0540545093084805,74531816400.0,2361804478.0,2771488547.0,258.56481578309047,7.445372836590382,9.614812307190732,634.0,11069640.0,254.0,4434840.0,190.0,3317400.0,190.0,3317400.0,5.005310249327086,,
041920,메디아나,BUY,전략 신규 편입 (rank=4),032701,의료용 기기 제조업,4.054977170428522,4.054977170428522,0.0,4.0,4.40571443774348,1.6874566232521575,2.793602498301074,1.0,0.15,0.4112630857650592,0.7273425971312715,0.0,0.0,0.0808440058004924,0.3840320749961756,0.03748477013146562,0.0,4.054977170428521,19900.0,479834153400.0,2025.0,4.0,15003243410.0,19229755285.0,0.2817065456781788,1579805028.0,1873913860.0,0.1861678034866971,64944817855.0,5950379397.0,5274496431.0,90.97250508690315,3.542982986710904,7.3883362714375265,557.0,11084300.0,223.0,4437700.0,167.0,3323300.0,167.0,3323300.0,5.0158701999882735,,
425420,티에프이,BUY,전략 신규 편입 (rank=5),032602,전자부품 제조업,4.040411394994715,4.040411394994715,0.0,5.0,3.863937580103367,1.5818483115435626,2.614454146553609,1.0,0.15,0.6010818700044805,1.0,1.0,0.05,0.2741736894190931,0.2259572484411054,0.08917505164036063,0.0,4.040411394994714,69000.0,499056850000.0,2025.0,4.0,27219872546.0,37449464085.0,0.37581335187049775,4826605353.0,7333413860.0,0.5193730010351646,111742413458.0,19055611474.0,18106528316.0,27.56226048916312,4.570447527878399,4.466136308999427,160.0,11040000.0,64.0,4416000.0,48.0,3312000.0,48.0,3312000.0,5.006065571102326,,
042000,카페24,BUY,전략 신규 편입 (rank=6),106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",3.991892675176144,3.991892675176144,0.0,6.0,11.546736281844609,2.529460574533512,4.0,0.0,0.0,-0.0469887339666941,-0.0931284276719821,0.0,0.0,0.4465423140237413,0.085021102848126,0.19863019686001415,0.0,3.991892675176144,27800.0,823391183300.0,2025.0,4.0,76773795757.0,87319520287.0,0.13736098920234086,10043542279.0,12989119490.0,0.29328071004976947,314764225560.0,40226994367.0,39063119745.0,21.07847987244778,3.096434646915239,2.6158982388646517,397.0,11036600.0,159.0,4420200.0,119.0,3308200.0,119.0,3308200.0,5.031348953981355,,
131290,티에스이,BUY,전략 신규 편입 (rank=7),032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",3.926225397318579,3.926225397318579,0.0,7.0,17.99578020197024,2.94421685986663,4.0,0.0,0.0,-0.1646903375082116,-0.3038657365499365,0.0,0.0,0.2691178384704384,0.2300911338685163,0.0798807496502777,0.0,3.9262253973185794,110300.0,962344323000.0,2025.0,4.0,104399326045.0,123856058356.0,0.18636837083233107,11481525703.0,19770552249.0,0.7219446927540445,428900789083.0,49172057097.0,40043908888.0,24.032227365505438,2.0715004375626838,2.243745750753956,100.0,11030000.0,40.0,4412000.0,30.0,3309000.0,30.0,3309000.0,5.009140911473863,,
005930,삼성전자,HOLD,기존 보유 상위 점수 유지 (rank=150),032604,통신 및 방송 장비 제조업,-2.3445284209451747,-1.8445284209451749,0.5,150.0,-3.65110639581233,-1.537105125880618,-2.676373426122713,1.0,0.15,-0.0531521786297006,-0.1041636871979242,1.0,0.05,0.2618805082840025,0.2360086923754633,0.15048299728520784,0.0,-2.344528420945174,179700.0,1081724598060000.0,2025.0,4.0,86061747000000.0,93837371000000.0,0.09034936276624736,12166062000000.0,20073660000000.0,0.6499718643551217,333605938000000.0,43601051000000.0,45206805000000.0,23.928357645712854,2.4791982090442874,3.2425220142814126,37.0,6648900.0,26.0,4672200.0,11.0,1976700.0,0.0,0.0,5.000010325685007,in_target_cohort,scored_in_target_cohort
058470,리노공업,HOLD_REVIEW,평가 보류 유지 (no_feature_history),032602,전자부품 제조업,,,,,0.3392016081180602,,,0.0,,0.2506735649232621,,0.0,,0.07975774800642708,,0.22662263350659798,0.0,,104900.0,1486131075000.0,2025.0,4.0,96841827642.0,84759949290.0,-0.12475888411218013,48261344084.0,40353726844.0,-0.16384991736319252,372534084608.0,176997188289.0,151960670406.0,9.77970859847774,2.0324022923410374,3.989248598725632,49.0,5140100.0,34.0,3566600.0,15.0,1573500.0,0.0,0.0,5.000389722585328,not_in_target_cohort,no_feature_history
214150,클래시스,HOLD,기존 보유 상위 점수 유지 (rank=68),032701,의료용 기기 제조업,0.2849782459854147,0.7849782459854147,0.5,68.0,0.02710759449645228,0.0267466912781963,-0.0235379542866697,0.0,0.0,0.0376964852591452,0.058495124296857,0.0,0.0,0.2447429934302943,0.2500210759752274,0.23264855787908,0.0,0.28497824598541466,54000.0,4153058780600.0,2025.0,4.0,82997291548.0,93425243822.0,0.1256420791510911,37618140937.0,51190151685.0,0.36078366474115164,336819637856.0,170600874067.0,131970250448.0,31.469659006492698,7.528096931490888,12.330215681710195,393.0,21222000.0,275.0,14850000.0,118.0,6372000.0,0.0,0.0,5.012426064795531,in_target_cohort,scored_in_target_cohort
