ticker,name,score,score_rank,industry4,is_current,is_target,action,reason
131290,티에스이,2.8377131500006474,11.0,27212,0,0,CHECK,후보군 참고용 (비보유/비선정)
100840,SNT에너지,2.8213273607859555,12.0,29176,0,0,CHECK,후보군 참고용 (비보유/비선정)
336260,두산퓨얼셀,2.802638690606934,13.0,28111,0,0,CHECK,후보군 참고용 (비보유/비선정)
348370,엔켐,2.7314982367501908,14.0,20119,0,0,CHECK,후보군 참고용 (비보유/비선정)
036540,SFA반도체,2.705424856677906,15.0,2611,0,0,CHECK,후보군 참고용 (비보유/비선정)
171090,선익시스템,2.6733698599400397,16.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
006120,SK디스커버리,2.670335414719764,17.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
005420,코스모화학,2.66167458176257,18.0,2049,0,0,CHECK,후보군 참고용 (비보유/비선정)
068270,셀트리온,2.628305514424593,19.0,211,0,0,CHECK,후보군 참고용 (비보유/비선정)
042000,카페24,2.570840635366644,20.0,63112,0,0,CHECK,후보군 참고용 (비보유/비선정)
388720,유일로보틱스,2.5494375357792944,21.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
126340,비나텍,2.547245051770528,22.0,282,0,0,CHECK,후보군 참고용 (비보유/비선정)
018670,SK가스,2.5308637940739573,23.0,46713,0,0,CHECK,후보군 참고용 (비보유/비선정)
071320,지역난방공사,2.520411550788075,24.0,35300,0,0,CHECK,후보군 참고용 (비보유/비선정)
251270,넷마블,2.516435699816765,25.0,5821,0,0,CHECK,후보군 참고용 (비보유/비선정)
004800,효성,2.4631128722505142,26.0,649,0,0,CHECK,후보군 참고용 (비보유/비선정)
041510,에스엠,2.423331941453841,27.0,59201,0,0,CHECK,후보군 참고용 (비보유/비선정)
278280,천보,2.338141058398125,28.0,201,0,0,CHECK,후보군 참고용 (비보유/비선정)
003240,태광산업,2.284646808288762,29.0,20501,0,0,CHECK,후보군 참고용 (비보유/비선정)
425420,티에프이,2.277950315683532,30.0,262,0,0,CHECK,후보군 참고용 (비보유/비선정)
141080,리가켐바이오,2.25814511932428,31.0,70113,0,0,CHECK,후보군 참고용 (비보유/비선정)
066970,엘앤에프,2.25,32.0,28202,0,0,CHECK,후보군 참고용 (비보유/비선정)
035760,CJ ENM,2.2302911980103923,33.0,602,0,0,CHECK,후보군 참고용 (비보유/비선정)
139480,이마트,2.220965148677152,34.0,471,0,0,CHECK,후보군 참고용 (비보유/비선정)
020150,롯데에너지머티리얼즈,2.1624874159164573,35.0,2629,0,0,CHECK,후보군 참고용 (비보유/비선정)
090710,휴림로봇,2.144068033356905,36.0,29280,0,0,CHECK,후보군 참고용 (비보유/비선정)
323280,태성,2.133330959872575,37.0,292,0,0,CHECK,후보군 참고용 (비보유/비선정)
006360,GS건설,2.131888003904604,38.0,4111,0,0,CHECK,후보군 참고용 (비보유/비선정)
249420,일동제약,2.0852423945969987,39.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
189300,인텔리안테크,2.0788673728216542,40.0,26429,0,0,CHECK,후보군 참고용 (비보유/비선정)
336570,원텍,2.06380318448335,41.0,271,0,0,CHECK,후보군 참고용 (비보유/비선정)
000880,한화,2.053419137687894,42.0,20494,0,0,CHECK,후보군 참고용 (비보유/비선정)
052400,코나아이,2.041035631017732,43.0,58221,0,0,CHECK,후보군 참고용 (비보유/비선정)
025980,아난티,2.0398461954627414,44.0,551,0,0,CHECK,후보군 참고용 (비보유/비선정)
005440,현대지에프홀딩스,2.034161142967536,45.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
389470,인벤티지랩,2.03363600476584,46.0,701,0,0,CHECK,후보군 참고용 (비보유/비선정)
004000,롯데정밀화학,2.027421421696228,47.0,20119,0,0,CHECK,후보군 참고용 (비보유/비선정)
000660,SK하이닉스,2.025103947633757,48.0,2612,0,0,CHECK,후보군 참고용 (비보유/비선정)
326030,에스케이바이오팜,2.020248321237992,49.0,7011,0,0,CHECK,후보군 참고용 (비보유/비선정)
278470,에이피알,1.9894393020842385,50.0,20423,0,0,CHECK,후보군 참고용 (비보유/비선정)
281820,케이씨텍,1.9764752975168896,51.0,272,0,0,CHECK,후보군 참고용 (비보유/비선정)
002020,코오롱,1.973147642002149,52.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
039200,오스코텍,1.9613682628043452,53.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
358570,지아이이노베이션,1.943705382265967,54.0,70113,0,0,CHECK,후보군 참고용 (비보유/비선정)
114090,GKL,1.9208648954283083,55.0,91249,0,0,CHECK,후보군 참고용 (비보유/비선정)
090430,아모레퍼시픽,1.8815803784655092,56.0,20423,0,0,CHECK,후보군 참고용 (비보유/비선정)
077970,STX엔진,1.8034322547409347,57.0,29111,0,0,CHECK,후보군 참고용 (비보유/비선정)
241560,두산밥캣,1.7962737528124946,58.0,29241,0,0,CHECK,후보군 참고용 (비보유/비선정)
080220,제주반도체,1.7669903276979515,59.0,2611,0,0,CHECK,후보군 참고용 (비보유/비선정)
002790,아모레퍼시픽홀딩스,1.7577114257132715,60.0,20423,0,0,CHECK,후보군 참고용 (비보유/비선정)
204270,제이앤티씨,1.7526797292861134,61.0,262,0,0,CHECK,후보군 참고용 (비보유/비선정)
017960,한국카본,1.7421199202680295,62.0,2512,0,0,CHECK,후보군 참고용 (비보유/비선정)
042660,한화오션,1.706463805095906,63.0,3111,0,0,CHECK,후보군 참고용 (비보유/비선정)
140860,파크시스템스,1.6651088125433855,64.0,27219,0,0,CHECK,후보군 참고용 (비보유/비선정)
000990,DB하이텍,1.6517768327706537,65.0,2611,0,0,CHECK,후보군 참고용 (비보유/비선정)
039440,에스티아이,1.6489085109215615,66.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
166090,하나머티리얼즈,1.6443258464991022,67.0,2612,0,0,CHECK,후보군 참고용 (비보유/비선정)
000500,가온전선,1.579200995207206,68.0,28302,0,0,CHECK,후보군 참고용 (비보유/비선정)
067310,하나마이크론,1.5692729895681377,69.0,2611,0,0,CHECK,후보군 참고용 (비보유/비선정)
010140,삼성중공업,1.5161412579124958,71.0,3111,0,0,CHECK,후보군 참고용 (비보유/비선정)
009240,한샘,1.5153169242458755,72.0,46431,0,0,CHECK,후보군 참고용 (비보유/비선정)
012450,한화에어로스페이스,1.5049418493299431,73.0,31321,0,0,CHECK,후보군 참고용 (비보유/비선정)
007660,이수페타시스,1.4825909392942154,74.0,2622,0,0,CHECK,후보군 참고용 (비보유/비선정)
087010,펩트론,1.4650644893727771,75.0,211,0,0,CHECK,후보군 참고용 (비보유/비선정)
082920,비츠로셀,1.4474033293138526,76.0,28201,0,0,CHECK,후보군 참고용 (비보유/비선정)
114810,한솔아이원스,1.445605949995194,77.0,2927,0,0,CHECK,후보군 참고용 (비보유/비선정)
053610,프로텍,1.3964946680342722,78.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
100090,SK오션플랜트,1.3866859915838092,79.0,2413,0,0,CHECK,후보군 참고용 (비보유/비선정)
122640,예스티,1.3837066845025898,80.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
214450,파마리서치,1.3476102154014602,81.0,213,0,0,CHECK,후보군 참고용 (비보유/비선정)
237690,에스티팜,1.345252864174851,82.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
023160,태광,1.3109213058304343,83.0,2413,0,0,CHECK,후보군 참고용 (비보유/비선정)
035900,JYP Ent.,1.303982453308849,84.0,59201,0,0,CHECK,후보군 참고용 (비보유/비선정)
064350,현대로템,1.2930544521903953,85.0,31201,0,0,CHECK,후보군 참고용 (비보유/비선정)
032820,우리기술,1.2660108677291522,86.0,281,0,0,CHECK,후보군 참고용 (비보유/비선정)
023590,다우기술,1.2584201547404072,87.0,631,0,0,CHECK,후보군 참고용 (비보유/비선정)
032190,다우데이타,1.2269531837426817,88.0,46510,0,0,CHECK,후보군 참고용 (비보유/비선정)
015760,한국전력공사,1.224981218732044,89.0,35120,0,0,CHECK,후보군 참고용 (비보유/비선정)
140410,메지온,1.221323597829947,90.0,70113,0,0,CHECK,후보군 참고용 (비보유/비선정)
006040,동원산업,1.213688403166277,91.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
111770,영원무역,1.199734546073353,92.0,46800,0,0,CHECK,후보군 참고용 (비보유/비선정)
068760,셀트리온제약,1.1579977001626005,93.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
069260,티케이지휴켐스,1.1277527729535537,94.0,2049,0,0,CHECK,후보군 참고용 (비보유/비선정)
033240,자화전자,1.1262381509720674,95.0,26292,0,0,CHECK,후보군 참고용 (비보유/비선정)
