month_end,rebalance_month,ret,turnover,tcost,nav_gross,nav_net
2016-02-29,2016-05-31,-0.029280728530908275,0.0,0.0,0.9707192714690918,0.9707192714690918
2016-03-31,2016-05-31,0.07474831610273089,0.0,0.0,1.043278902419876,1.043278902419876
2016-04-30,2016-05-31,-0.01204078843623033,0.0,0.0,1.0307170018758558,1.0307170018758558
2016-05-31,2016-05-31,0.0045313813403117225,1.0,0.003,1.035387573665298,1.0322954226596706
2016-06-30,2016-05-31,-0.004623720351803808,0.0,0.0,1.030600231068937,1.0275223773048452
2016-07-31,2016-05-31,0.06051642654163317,0.0,0.0,1.0929684742462105,1.0897043597708982
2016-08-31,2016-08-31,-0.02981686307548743,0.3,0.0009,1.0603795829037868,1.0562320601590538
2016-09-30,2016-08-31,-0.0009622721185163615,0.0,0.0,1.0593592091961144,1.0552156774968795
2016-10-31,2016-08-31,-0.06038384677306984,0.0,0.0,0.9953910250303758,0.9914976957143669
2016-11-30,2016-11-30,-0.05665951560085357,0.7000000000000001,0.0021000000000000003,0.9389926517187176,0.9332377713948281
2016-12-31,2016-11-30,0.09671533948463447,0.0,0.0,1.0298076448032705,1.0234961792751627
2017-01-31,2016-11-30,-0.028836830197894337,0.0,0.0,1.000111256613585,0.9939817937452112
2017-02-28,2016-11-30,0.05080652627971123,0.0,0.0,1.0509234354553583,1.0444825558706818
2017-03-31,2017-03-31,0.06972433988157248,0.6000000000000001,0.0018000000000000004,1.1241983782585576,1.1154283439960155
2017-04-30,2017-03-31,0.11451669382188137,0.0,0.0,1.2529378597366485,1.2431635101456553
2017-05-31,2017-05-31,0.12094807869834143,0.39999999999999997,0.0012,1.4044782866002081,1.3920299519934836
2017-06-30,2017-05-31,0.07578422576589006,0.0,0.0,1.5109155861552088,1.497523864148239
2017-07-31,2017-05-31,-0.010270318561918113,0.0,0.0,1.4953980017652277,1.482143817009362
2017-08-31,2017-08-31,-0.03380348542710132,0.3,0.0009,1.4448483372048404,1.4307082606549093
2017-09-30,2017-08-31,0.017422609571633066,0.0,0.0,1.4700213656741834,1.4556349320912099
2017-10-31,2017-08-31,-0.032753460905506473,0.0,0.0,1.421873078343315,1.407957850250271
2017-11-30,2017-11-30,0.10896106173225012,0.7000000000000002,0.0021000000000000007,1.5768018786081053,1.5584137210022713
