ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
098460,고영,3.9116189964214994,8.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003620,KG모빌리티,3.87292278433116,9.0,033001,자동차용 엔진 및 자동차 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005690,파미셀,3.838981591537658,10.0,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
097230,HJ중공업,3.755907494171993,11.0,064102,토목 건설업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
100840,SNT에너지,3.746138929634955,12.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
095610,테스,3.626462951374572,13.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
353200,대덕전자,3.4216318898788765,14.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
035760,CJ ENM,3.037257489143658,15.0,106002,텔레비전 방송업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
251270,넷마블,3.0318700313144413,16.0,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
053610,프로텍,3.016972967992135,17.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000250,삼천당제약,2.545833964710479,18.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
033240,자화전자,2.542559966082349,19.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000660,SK하이닉스,2.32655435322293,20.0,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
189300,인텔리안테크,2.1059804551673325,21.0,032604,통신 및 방송 장비 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
237690,에스티팜,2.0991810153971358,22.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
083650,비에이치아이,2.02772849254162,23.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
124500,아이티센글로벌,1.9773469981910377,24.0,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
041510,에스엠,1.9175769093547848,25.0,105902,오디오물 출판 및 원판 녹음업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
336570,원텍,1.6901767879011116,26.0,032701,의료용 기기 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
121600,나노신소재,1.687709569637871,27.0,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
232140,와이씨,1.68159778521898,28.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009970,영원무역홀딩스,1.6333741973461653,29.0,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
075580,세진중공업,1.4586665947393327,30.0,033101,선박 및 보트 건조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
249420,일동제약,1.3792338713627552,31.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
035900,JYP Ent.,1.3472090893647048,32.0,105902,오디오물 출판 및 원판 녹음업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
023160,태광,1.321319648802258,33.0,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
101490,에스앤에스텍,1.3193922415775814,34.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
376300,디어유,1.192386084494128,35.0,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
403870,HPSP,1.182711335899501,36.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
068270,셀트리온,1.1681174122793103,37.0,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000100,유한양행,1.1402650717816585,38.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036570,엔씨소프트,1.136695669832331,39.0,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
010130,고려아연,1.1255436524122644,40.0,032402,1차 비철금속 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
043260,성호전자,1.0462440751281257,41.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
195870,해성디에스,0.9382618229890142,42.0,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009520,포스코엠텍,0.883108721562801,43.0,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
035720,카카오,0.8464238289663797,44.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
064960,SNT모티브,0.8340189893854841,45.0,033003,자동차 신품 부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
058610,에스피지,0.7977863877095036,46.0,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
383220,F&F,0.7422090253830123,47.0,031401,봉제의복 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
071970,HD현대마린엔진,0.7413590662033129,48.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
298040,효성중공업,0.7004894392111362,49.0,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
071320,지역난방공사,0.6870195537449771,50.0,043503,"증기, 냉·온수 및 공기조절 공급업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
185750,종근당,0.6841403025921543,51.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000720,현대건설,0.5771444309450964,52.0,064102,토목 건설업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006730,서부T&D,0.5378714329909233,53.0,095501,일반 및 생활 숙박시설 운영업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
402340,SK스퀘어,0.5295933252893658,54.0,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
069960,현대백화점,0.4904910301409014,55.0,074701,종합 소매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
128940,한미약품,0.4735968615783154,56.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
267250,HD현대,0.4693084587476057,57.0,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
241560,두산밥캣,0.4432124715084782,58.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
166090,하나머티리얼즈,0.4341432994800719,59.0,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
103590,일진전기,0.4294062799194882,60.0,032803,절연선 및 케이블 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
458870,씨어스테크놀로지,0.3938729008397106,61.0,032701,의료용 기기 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
062040,산일전기,0.3753993816891806,62.0,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
420770,기가비스,0.3473164728628952,63.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000150,두산,0.340515174846011,64.0,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
271560,오리온,0.3277631689925976,65.0,031008,기타 식품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
