ticker,name,action,reason,score,score_rank,industry4,price,mcap,year,quarter,revenue,op_income,net_income,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,op_acc2,rev_acc2,debt_log,cfo_to_assets,cfo_isnull,per,pbr,psr,contrib_op,contrib_rev,contrib_debt,contrib_cfo,contrib_missing,score_rebuilt,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps
095610,테스,BUY,전략 신규 편입 (rank=1),4.233081023501406,1.0,29271,41700,1306679738600.0,2025,3,320731821144.0,67071751544.0,67202580757.0,-2431946754.0,-14495873980.0,4.96060499933133,4097624361.0,-11951894728.0,-3.916786331552171,6.715815653251147,0.8726870165924935,0.2072515796930208,0.1684786941133964,0,19.44389224165164,3.524894917878477,4.074057054704702,3.0,0.75,0.3032188922381305,0.1685572908940303,0.0113048403692444,4.233081023501406,237,9882900.0,95,3961500.0,71,2960700.0,71,2960700.0,5.00642614372574
039030,이오테크닉스,BUY,전략 신규 편입 (rank=2),4.110180590428912,2.0,29271,277000,4496635750000.0,2025,3,370297955362.0,74958722465.0,57024859966.0,9425247087.0,6263656967.0,-0.335438433689521,11342648917.0,177208460.0,-0.9843768011073317,2.038518461415926,0.3638030436262798,0.1167573415446809,0.1347874528577181,0,78.85395514659807,6.7328500753762475,12.143290787560868,3.0,0.6122491062969827,0.3679284433940736,0.1186982003686112,0.0113048403692444,4.110180590428912,34,9418000.0,14,3878000.0,10,2770000.0,10,2770000.0,5.002175058308113
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=3),3.9347292959479914,3.0,211,54600,3858604180250.0,2025,3,624031259808.0,-122667971135.0,-2440732817.0,7301810930.0,-11094735357.0,-2.5194498273594714,-22269079927.0,18024055645.0,-1.809375856752252,19.92374284725002,2.619807644486259,0.3426629601723541,0.0225454049142058,0,,1.8597342108205597,6.183350785082792,3.0,0.75,0.2063905213769847,-0.028444129650541,0.0067829042215466,3.9347292959479905,181,9882600.0,73,3985800.0,54,2948400.0,54,2948400.0,5.006063237435057
450080,에코프로머티,BUY,전략 신규 편입 (rank=4),3.915792566686561,4.0,28202,62900,4588797774400.0,2025,3,365397733574.0,-78259371013.0,115123995490.0,-58012285515.0,-14914787954.0,-0.7429029416511517,-14006175104.0,3649088765.0,-1.2605342813369413,2.577577837596768,0.6331963042456609,0.3675025969281667,0.0315097102323425,0,39.859611846069015,3.663700623580348,12.558364085941111,3.0,0.75,0.1886284872603984,-0.0341407609430817,0.0113048403692444,3.915792566686561,157,9875300.0,63,3962700.0,47,2956300.0,47,2956300.0,5.001934907205046
218410,RFHIC,BUY,전략 신규 편입 (rank=5),3.8473214494268952,5.0,264,30400,1332167432600.0,2025,3,155662482434.0,21866212577.0,14354987061.0,12764611868.0,-4142073775.0,-1.3244966488471062,4570091140.0,-942655480.0,-1.2062662321434579,3.997376733347082,0.3301657049416056,0.2987848835726918,0.0870725204549398,0,92.80171601263696,3.572346611225606,8.558050801771271,3.0,0.5501645811720506,0.2377663382295002,0.0480856896561003,0.0113048403692444,3.8473214494268952,327,9940800.0,131,3982400.0,98,2979200.0,98,2979200.0,5.006774610322228
004800,효성,BUY,전략 신규 편입 (rank=6),3.5277082695608173,6.0,649,134700,2710271893300.0,2025,3,2478118059186.0,432266182203.0,373033345214.0,48016557751.0,10257562300.0,-0.7863744762131273,17317312924.0,22715523347.0,0.3117233283645664,2.066141401963013,0.2911258288471604,0.607694527111543,0.0690537178348675,0,7.265494970014501,1.0138924992603608,1.0936815069215293,3.0,0.4781085784370861,0.0168748782851176,0.0214199724693693,0.0113048403692444,3.5277082695608173,73,9833100.0,29,3906300.0,22,2963400.0,22,2963400.0,5.007294996571982
041510,에스엠,BUY,전략 신규 편입 (rank=7),3.49981008886742,7.0,59201,101500,2723032908200.0,2025,3,1129490893002.0,162077814339.0,304553051481.0,71487571601.0,18677170111.0,-0.7387354236167852,15024932639.0,603168597.0,-0.9598554874426283,2.0937667821170267,0.1693641859411596,0.4152770202787469,0.109087945697862,0,8.941079049966048,2.1046284284693906,2.4108498130185265,3.0,0.2533727915451565,0.1544665167857427,0.0806659401672759,0.0113048403692444,3.4998100888674197,97,9845500.0,39,3958500.0,29,2943500.0,29,2943500.0,5.004882922262675
336260,두산퓨얼셀,BUY,전략 신규 편입 (rank=8),3.4336437174194483,8.0,28111,34050,2318477900400.0,2025,3,580603775047.0,-31624196579.0,-36416743199.0,28718638390.0,-37660877007.0,-2.3113740455088476,9635216798.0,-13689342108.0,-2.420761192508042,17.115009570497456,1.296710136170254,1.022816141433747,0.0223502159898528,0,,4.942391984226645,3.993218783691716,3.0,0.75,-0.2799653834549403,-0.0476957394948554,0.0113048403692444,3.4336437174194483,293,9976650.0,117,3983850.0,88,2996400.0,88,2996400.0,5.000836510288852
068270,셀트리온,BUY,전략 신규 편입 (rank=9),3.415635976209718,9.0,211,196100,51664695852000.0,2025,3,3895986631913.0,889703635035.0,739124982366.0,119545704273.0,67511711984.0,-0.43526442548008926,93046041268.0,58945111743.0,-0.3664952217233969,2.405113584235138,0.1064181464835138,0.2244815359283789,0.0385241021756759,0,69.89981002484458,3.0676548481294175,13.26100439585741,3.0,0.1371931197566831,0.2908982986043243,-0.0237602825205337,0.0113048403692444,3.415635976209718,50,9805000.0,20,3922000.0,15,2941500.0,15,2941500.0,5.000582881951312
003240,태광산업,BUY,전략 신규 편입 (rank=10),3.234223601610393,10.0,20501,815000,1224740000000.0,2025,3,1903792758439.0,-68705732665.0,163116158148.0,-42867363604.0,-19436274418.0,-0.5465950601126686,-21612272612.0,-22990136223.0,0.06375375860449561,2.000439257913312,-0.0034952468885063,0.1523249324693614,0.0181563920449645,0,7.508391651112565,0.30539771980244645,0.6433158202598774,3.0,-0.0656743215810831,0.3424951904983311,-0.0539021076760993,0.0113048403692444,3.234223601610393,10,8150000.0,4,3260000.0,3,2445000.0,3,2445000.0,5.053680002963927
