"source","destination","reason"
"C:\Users\chanw\ai_inv_adv\data\processed\factors_ttm_acc2__asof=2026-03-31__metric=revenue_op__v=208.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\factors_ttm_acc2\factors_ttm_acc2__asof=2026-03-31__metric=revenue_op__v=208.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\factors_ttm_acc2__asof=2026-03-31__metric=revenue_op__v=209.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\factors_ttm_acc2\factors_ttm_acc2__asof=2026-03-31__metric=revenue_op__v=209.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2025-11-16__metric=revenue_op__v=311.meta.json","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2025-11-16__metric=revenue_op__v=311.parquet","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2025-11-30__metric=revenue_op__v=301.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2025-11-30__metric=revenue_op__v=301.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2025-11-30__metric=revenue_op__v=301.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2025-11-30__metric=revenue_op__v=301.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-02-18__metric=revenue_op__v=2.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-02-18__metric=revenue_op__v=2.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-02-18__metric=revenue_op__v=2.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-02-18__metric=revenue_op__v=2.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=10.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=10.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=10.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=10.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=11.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=11.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=11.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=11.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=110.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=110.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=12.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=12.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=12.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=12.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=205.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=205.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=4.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=4.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=4.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=4.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=5.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=5.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=5.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=5.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=6.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=6.meta.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=6.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=6.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\features_live__asof=2026-03-13__metric=revenue_op__v=7.meta.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\features_live\features_live__asof=2026-03-13__metric=revenue_op__v=7.meta.json","already_exists_same_size"
